Targets: 13000 (skipped top 10000)
Files to modify: 23
Resuming from checkpoint: 0 already processed
Warming up Gemma...
Ready.
  25/13000 ok=24 fail=1 rate=0.16/s ETA=1391m file=worldbank.jsonl
  50/13000 ok=49 fail=1 rate=0.22/s ETA=979m file=worldbank.jsonl
  75/13000 ok=74 fail=1 rate=0.26/s ETA=840m file=worldbank.jsonl
  100/13000 ok=99 fail=1 rate=0.28/s ETA=770m file=worldbank.jsonl
  125/13000 ok=124 fail=1 rate=0.29/s ETA=731m file=worldbank.jsonl
  150/13000 ok=149 fail=1 rate=0.31/s ETA=700m file=worldbank.jsonl
  175/13000 ok=174 fail=1 rate=0.32/s ETA=677m file=worldbank.jsonl
  200/13000 ok=199 fail=1 rate=0.33/s ETA=654m file=worldbank.jsonl
  225/13000 ok=224 fail=1 rate=0.33/s ETA=636m file=worldbank.jsonl
  250/13000 ok=249 fail=1 rate=0.34/s ETA=621m file=worldbank.jsonl
  275/13000 ok=274 fail=1 rate=0.35/s ETA=613m file=worldbank.jsonl
  300/13000 ok=299 fail=1 rate=0.35/s ETA=603m file=worldbank.jsonl
  325/13000 ok=324 fail=1 rate=0.35/s ETA=597m file=worldbank.jsonl
  350/13000 ok=349 fail=1 rate=0.36/s ETA=593m file=worldbank.jsonl
  375/13000 ok=374 fail=1 rate=0.36/s ETA=586m file=worldbank.jsonl
  400/13000 ok=399 fail=1 rate=0.36/s ETA=580m file=worldbank.jsonl
  425/13000 ok=424 fail=1 rate=0.36/s ETA=576m file=worldbank.jsonl
  450/13000 ok=449 fail=1 rate=0.36/s ETA=574m file=worldbank.jsonl
  475/13000 ok=474 fail=1 rate=0.37/s ETA=571m file=worldbank.jsonl
  500/13000 ok=499 fail=1 rate=0.37/s ETA=567m file=worldbank.jsonl
  525/13000 ok=524 fail=1 rate=0.37/s ETA=563m file=worldbank.jsonl
  550/13000 ok=549 fail=1 rate=0.37/s ETA=558m file=worldbank.jsonl
  575/13000 ok=574 fail=1 rate=0.37/s ETA=555m file=worldbank.jsonl
  600/13000 ok=599 fail=1 rate=0.37/s ETA=554m file=worldbank.jsonl
