[100] Average income of small-scale food producers, by sex and indigenous status | pub=United Nations | desc: Average income of small-scale food producers, by sex and indigenous status | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG2, target-2.3
[101] Proportion of agricultural area under productive and sustainable agriculture | pub=United Nations | desc: Proportion of agricultural area under productive and sustainable agriculture | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG2, target-2.4
[102] Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medi | pub=United Nations | desc: Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG2, target-2.5
[103] Proportion of local and transboundary breeds classified as being at risk of extinction | pub=United Nations | desc: Proportion of local and transboundary breeds classified as being at risk of extinction | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG2, target-2.5
[104] The agriculture orientation index for government expenditures | pub=United Nations | desc: The agriculture orientation index for government expenditures | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG2, target-2.a
[105] Total official flows (official development assistance plus other official flows) to the agriculture  | pub=United Nations | desc: Total official flows (official development assistance plus other official flows) to the agriculture sector | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG2, target-2.a
[106] Proportion of births attended by skilled health personnel | pub=United Nations | desc: Proportion of births attended by skilled health personnel | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.1
[107] Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations | pub=United Nations | desc: Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.3
[108] Number of people requiring interventions against neglected tropical diseases | pub=United Nations | desc: Number of people requiring interventions against neglected tropical diseases | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.3
[109] Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease | pub=United Nations | desc: Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.4
[110] Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure al | pub=United Nations | desc: Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.5
[111] Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare  | pub=United Nations | desc: Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.5
[112] Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning s | pub=United Nations | desc: Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.7
