[200] Ratio of land consumption rate to population growth rate | pub=United Nations | desc: Ratio of land consumption rate to population growth rate | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG11, target-11.3
[201] Proportion of cities with a direct participation structure of civil society in urban planning and ma | pub=United Nations | desc: Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG11, target-11.3
[202] Total per capita expenditure on the preservation, protection and conservation of all cultural and na | pub=United Nations | desc: Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and lev | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG11, target-11.4
[203] Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000  | pub=United Nations | desc: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG11, target-11.5
[204] Direct economic loss attributed to disasters in relation to global gross domestic product (GDP) | pub=United Nations | desc: Direct economic loss attributed to disasters in relation to global gross domestic product (GDP) | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG11, target-11.5
[205] (a) Damage to critical infrastructure and (b) number of disruptions to basic services, attributed to | pub=United Nations | desc: (a) Damage to critical infrastructure and (b) number of disruptions to basic services, attributed to disasters | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG11, target-11.5
[206] Proportion of municipal solid waste collected and managed in controlled facilities out of total muni | pub=United Nations | desc: Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated, by cities | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG11, target-11.6
[207] Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted) | pub=United Nations | desc: Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted) | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG11, target-11.6
[208] Average share of the built-up area of cities that is open space for public use for all, by sex, age  | pub=United Nations | desc: Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG11, target-11.7
[209] Proportion of persons victim of non-sexual or sexual harassment, by sex, age, disability status and  | pub=United Nations | desc: Proportion of persons victim of non-sexual or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG11, target-11.7
[210] Number of countries that have national urban policies or regional development plans that (a) respond | pub=United Nations | desc: Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal  | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG11, target-11.a
[211] Number of countries that adopt and implement national disaster risk reduction strategies in line wit | pub=United Nations | desc: Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG11, target-11.b
[212] Proportion of local governments that adopt and implement local disaster risk reduction strategies in | pub=United Nations | desc: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG11, target-11.b
[213] Total official development assistance and other official flows in support of urban infrastructure or | pub=United Nations | desc: Total official development assistance and other official flows in support of urban infrastructure or urban infrastructure projects, by sector | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG11, target-11.c
[214] Number of countries developing, adopting or implementing policy instruments aimed at supporting the  | pub=United Nations | desc: Number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG12, target-12.1
[215] Material footprint, material footprint per capita, and material footprint per GDP | pub=United Nations | desc: Material footprint, material footprint per capita, and material footprint per GDP | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG12, target-12.2
[216] Domestic material consumption, domestic material consumption per capita, and domestic material consu | pub=United Nations | desc: Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG12, target-12.2
[217] Number of parties to international multilateral environmental agreements on hazardous waste, and oth | pub=United Nations | desc: Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by  | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG12, target-12.4
[218] (a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of  | pub=United Nations | desc: (a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG12, target-12.4
[219] Number of companies publishing sustainability reports | pub=United Nations | desc: Number of companies publishing sustainability reports | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG12, target-12.6
[220] Number of countries implementing sustainable public procurement policies and action plans | pub=United Nations | desc: Number of countries implementing sustainable public procurement policies and action plans | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG12, target-12.7
[221] Extent to which (i) global citizenship education and (ii) education for sustainable development are  | pub=United Nations | desc: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) stude | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG12, target-12.8
[222] Installed renewable energy-generating capacity in developing and developed countries (in watts per c | pub=United Nations | desc: Installed renewable energy-generating capacity in developing and developed countries (in watts per capita) | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG12, target-12.a
[223] Implementation of standard accounting tools to monitor the economic and environmental aspects of tou | pub=United Nations | desc: Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG12, target-12.b
[224] Amount of fossil-fuel subsidies (production and consumption) per unit of GDP | pub=United Nations | desc: Amount of fossil-fuel subsidies (production and consumption) per unit of GDP | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG12, target-12.c
[225] Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000  | pub=United Nations | desc: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG13, target-13.1
[226] Number of countries that adopt and implement national disaster risk reduction strategies in line wit | pub=United Nations | desc: Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG13, target-13.1
[227] Proportion of local governments that adopt and implement local disaster risk reduction strategies in | pub=United Nations | desc: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG13, target-13.1
[228] Number of countries with reports under the Paris Agreement, as submitted to the secretariat of the U | pub=United Nations | desc: Number of countries with reports under the Paris Agreement, as submitted to the secretariat of the United Nations Framework Convention on Climate Change | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG13, target-13.2
[229] Extent to which (i) global citizenship education and (ii) education for sustainable development are  | pub=United Nations | desc: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) stude | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG13, target-13.3
[230] Amounts provided and mobilized in United States dollars per year in relation to the continued existi | pub=United Nations | desc: Amounts provided and mobilized in United States dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025 | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG13, target-13.a
[231] Number of least developed countries and small island developing States with reports under the Paris  | pub=United Nations | desc: Number of least developed countries and small island developing States with reports under the Paris Agreement, as submitted to the secretariat of the United Nations Framework Convention on Climate Cha | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG13, target-13.b
[232] (a) Index of coastal eutrophication; and (b) plastic debris density | pub=United Nations | desc: (a) Index of coastal eutrophication; and (b) plastic debris density | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG14, target-14.1
[233] Degree of implementation of international instruments aiming to combat illegal, unreported and unreg | pub=United Nations | desc: Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG14, target-14.6
[234] Number of countries using ecosystem-based approaches to managing marine areas | pub=United Nations | desc: Number of countries using ecosystem-based approaches to managing marine areas | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG14, target-14.2
[235] Sustainable fisheries as a proportion of GDP in small island developing States, least developed coun | pub=United Nations | desc: Sustainable fisheries as a proportion of GDP in small island developing States, least developed countries and all countries | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG14, target-14.7
