[300] Population pushed below the $3.20 a day poverty line by household health expenditures (%, national,  | pub=WHO | desc: Population pushed below the $3.20 a day poverty line by household health expenditures (%, national, rural, urban) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[301] Increase in poverty gap  due to household  health expenditures at the $3.10a day poverty line, in ce | pub=WHO | desc: Increase in poverty gap  due to household  health expenditures at the $3.10a day poverty line, in cents of international dollars | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[302] Increase in poverty gap due to household health expenditures, expressed as a proportion of the $3.20 | pub=WHO | desc: Increase in poverty gap due to household health expenditures, expressed as a proportion of the $3.20 a-day poverty line (%, national, rural, urban) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[303] Demand for family planning satisfied - modern methods (%) | pub=WHO | desc: Demand for family planning satisfied - modern methods (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[304] Population  pushed below the $1.90 a day  poverty line by household  health expenditures (%) | pub=WHO | desc: Population  pushed below the $1.90 a day  poverty line by household  health expenditures (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[305] Lack of integration between various health services | pub=WHO | desc: Lack of integration between various health services | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[306] Reported number of people receiving antiretroviral therapy | pub=WHO | desc: Reported number of people receiving antiretroviral therapy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[307] Population with household spending on health greater than 10% of total household budget (SDG 3.8.2,  | pub=WHO | desc: Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (millions) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[308] Population with household spending on health greater than 10% of total household budget (SDG 3.8.2,  | pub=WHO | desc: Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[309] Population with household spending on health greater than 10% of total household budget (SDG 3.8.2,  | pub=WHO | desc: Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[310] Percentage of health-care facilities with reliable electricity supply (%) | pub=WHO | desc: Percentage of health-care facilities with reliable electricity supply (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[311] Testing and counselling facilities, reported number | pub=WHO | desc: Testing and counselling facilities, reported number | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[312] Testing and counselling facilities, estimated number per 100 000 adult population | pub=WHO | desc: Testing and counselling facilities, estimated number per 100 000 adult population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[313] Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child | pub=WHO | desc: Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[314] Availability of  atleast one assistive technology for people with dementia | pub=WHO | desc: Availability of  atleast one assistive technology for people with dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[315] Existence of dementia national nongovernmental organization | pub=WHO | desc: Existence of dementia national nongovernmental organization | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[316] Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child | pub=WHO | desc: Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[317] Estimated number of people eligible for antiretroviral therapy according to 2010 guidelines | pub=WHO | desc: Estimated number of people eligible for antiretroviral therapy according to 2010 guidelines | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[318] Demand for family planning satisfied - modern and traditional methods (%) | pub=WHO | desc: Demand for family planning satisfied - modern and traditional methods (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[319] Implementation level [national/subnational] of dementia carer support services | pub=WHO | desc: Implementation level [national/subnational] of dementia carer support services | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[320] Existence of dedicated resources for dementia carer support services | pub=WHO | desc: Existence of dedicated resources for dementia carer support services | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[321] Testing and counselling facilities, reporting period | pub=WHO | desc: Testing and counselling facilities, reporting period | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[322] Population with household spending on health greater than 25% of total household budget (SDG 3.8.2,  | pub=WHO | desc: Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, estimated data) (millions) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[323] Population with household spending on health greater than 25% of total household budget (SDG 3.8.2,  | pub=WHO | desc: Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, reported data) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[324] Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (mill | pub=WHO | desc: Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (millions) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[325] Estimated number of people (all ages) living with HIV | pub=WHO | desc: Estimated number of people (all ages) living with HIV | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[326] Total population pushed below the $3.20 a day poverty line by household health expenditures (million | pub=WHO | desc: Total population pushed below the $3.20 a day poverty line by household health expenditures (millions) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[327] Total population pushed below the $3.20 a day poverty line by household health expenditures (%, regi | pub=WHO | desc: Total population pushed below the $3.20 a day poverty line by household health expenditures (%, regional, global) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[328] Research and development (R&amp;D) expenditure as a proportion of GDP | pub=WHO | desc: Research and development (R&amp;D) expenditure as a proportion of GDP | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[329] National regulator approval of anti-dementia medication | pub=WHO | desc: National regulator approval of anti-dementia medication | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[330] Availability of atleast one adult hygiene products for people with dementia | pub=WHO | desc: Availability of atleast one adult hygiene products for people with dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[331] Dementia nongovernmental organization staff primarily salaried/volunteer | pub=WHO | desc: Dementia nongovernmental organization staff primarily salaried/volunteer | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[332] Provision of governmental funding to dementia nongovernmental organization for activities/services | pub=WHO | desc: Provision of governmental funding to dementia nongovernmental organization for activities/services | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[333] Majority provider of psycho-social supports for dementia carers (Public sector) | pub=WHO | desc: Majority provider of psycho-social supports for dementia carers (Public sector) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[334] Accessibility of respite care for dementia carers [Capital/capital and main cities/capital, main cit | pub=WHO | desc: Accessibility of respite care for dementia carers [Capital/capital and main cities/capital, main cities, rural areas] | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[335] Pharmaceutical personnel density (per 1000 population) | pub=WHO | desc: Pharmaceutical personnel density (per 1000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[336] Number of licensed qualified anaesthesiologists actively working | pub=WHO | desc: Number of licensed qualified anaesthesiologists actively working | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[337] Biomedical technicians density (per 10 000 population) | pub=WHO | desc: Biomedical technicians density (per 10 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[338] Laboratory health workers density (per 1000 population) | pub=WHO | desc: Laboratory health workers density (per 1000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[339] Dementia nongovernmental organization office branches (Sub-national) | pub=WHO | desc: Dementia nongovernmental organization office branches (Sub-national) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[340] Dementia nongovernmental organization office branches (Local) | pub=WHO | desc: Dementia nongovernmental organization office branches (Local) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[341] Dementia nongovernmental organization office branches (National only) | pub=WHO | desc: Dementia nongovernmental organization office branches (National only) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[342] Dementia nongovernmental organization's involvement in policy development | pub=WHO | desc: Dementia nongovernmental organization's involvement in policy development | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[343] Existence of implementation plan for dementia carer support services | pub=WHO | desc: Existence of implementation plan for dementia carer support services | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[344] Existence of financial benefits/social protection for dementia carers | pub=WHO | desc: Existence of financial benefits/social protection for dementia carers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[345] Environmental and public health workers density (per 1000 population) | pub=WHO | desc: Environmental and public health workers density (per 1000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[346] Health management & support workers density (per 1000 population) | pub=WHO | desc: Health management & support workers density (per 1000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[347] Accessibility of dementia carer training and education [Capital/capital and main cities/capital, mai | pub=WHO | desc: Accessibility of dementia carer training and education [Capital/capital and main cities/capital, main cities, rural areas] | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[348] Majority provider of dementia carer training and education (Private sector) | pub=WHO | desc: Majority provider of dementia carer training and education (Private sector) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[349] Majority provider of dementia carer training and education (NGO) | pub=WHO | desc: Majority provider of dementia carer training and education (NGO) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[350] Majority provider of respite care for dementia carers (Public sector) | pub=WHO | desc: Majority provider of respite care for dementia carers (Public sector) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[351] Accessibility of psycho-social supports for dementia carers [Capital/capital and main cities/capital | pub=WHO | desc: Accessibility of psycho-social supports for dementia carers [Capital/capital and main cities/capital, main cities, rural areas] | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[352] Majority provider of psycho-social supports for dementia carers (Private sector) | pub=WHO | desc: Majority provider of psycho-social supports for dementia carers (Private sector) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[353] Majority provider of respite care for dementia carers (Private sector) | pub=WHO | desc: Majority provider of respite care for dementia carers (Private sector) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
