[400] Countries that have monitored the progress of their national health policy/strategy/plan regularly | pub=WHO | desc: Countries that have monitored the progress of their national health policy/strategy/plan regularly | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[401] Countries that have passed legislation on Universal Health Coverage (UHC) | pub=WHO | desc: Countries that have passed legislation on Universal Health Coverage (UHC) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[402] Household air pollution  attributable DALYs per 100'000 children under 5 years | pub=WHO | desc: Household air pollution  attributable DALYs per 100'000 children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[403] Ambient air pollution attributable deaths in children under 5 years | pub=WHO | desc: Ambient air pollution attributable deaths in children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[404] Ambient air pollution attributable deaths (per 100 000 population, age-standardized) | pub=WHO | desc: Ambient air pollution attributable deaths (per 100 000 population, age-standardized) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[405] Household air pollution attributable death rate (per 100 000 population) | pub=WHO | desc: Household air pollution attributable death rate (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[406] Household air pollution attributable death rate (per 100 000 population, age-standardized) | pub=WHO | desc: Household air pollution attributable death rate (per 100 000 population, age-standardized) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[407] Majority provider of respite care for dementia carers (NGO) | pub=WHO | desc: Majority provider of respite care for dementia carers (NGO) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[408] Majority provider of information on legal rights for dementia carers (Private sector) | pub=WHO | desc: Majority provider of information on legal rights for dementia carers (Private sector) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[409] Estimated number of dementia carers receiving training and education | pub=WHO | desc: Estimated number of dementia carers receiving training and education | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[410] Household and ambient air pollution attributable DALYs in children under 5 years ('000) | pub=WHO | desc: Household and ambient air pollution attributable DALYs in children under 5 years ('000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[411] Ambient air pollution attributable DALYs  (per 100 000 population) | pub=WHO | desc: Ambient air pollution attributable DALYs  (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[412] Number of local clinical laboratories in each country performing AST to support national AMR surveil | pub=WHO | desc: Number of local clinical laboratories in each country performing AST to support national AMR surveillance sites | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[413] Antenatal care coverage - at least one visit (in the five years preceding the survey) (%) | pub=WHO | desc: Antenatal care coverage - at least one visit (in the five years preceding the survey) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[414] Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%) | pub=WHO | desc: Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[415] Environmental and Occupational Health and Hygiene Professionals  (number) | pub=WHO | desc: Environmental and Occupational Health and Hygiene Professionals  (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[416] Organochlorine resistance reported for at least one site | pub=WHO | desc: Organochlorine resistance reported for at least one site | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[417] EQA provided to local laboratories participating in GLASS | pub=WHO | desc: EQA provided to local laboratories participating in GLASS | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[418] Number of National surveillance sites in each country providing data to GLASS: outpatient facility c | pub=WHO | desc: Number of National surveillance sites in each country providing data to GLASS: outpatient facility category | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[419] Environmental and Occupational Health Inspectors and Associates  (number) | pub=WHO | desc: Environmental and Occupational Health Inspectors and Associates  (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[420] Traditional and Complementary Medicine Professionals  (number) | pub=WHO | desc: Traditional and Complementary Medicine Professionals  (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[421] Adolescent fertility rate (per 1000 women aged 15-19 years) | pub=WHO | desc: Adolescent fertility rate (per 1000 women aged 15-19 years) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[422] Process evaluation was employed to assess implementation | pub=WHO | desc: Process evaluation was employed to assess implementation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[423] Earned media/public relations were used to promote the campaign | pub=WHO | desc: Earned media/public relations were used to promote the campaign | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[424] Children aged < 5 years with pneumonia symptoms taken to a health facility (%) | pub=WHO | desc: Children aged < 5 years with pneumonia symptoms taken to a health facility (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[425] Establishment of National Coordination Centre (NCC) | pub=WHO | desc: Establishment of National Coordination Centre (NCC) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
