[500] Ambient air pollution  attributable deaths per 100'000 children under 5 years | pub=WHO | desc: Ambient air pollution  attributable deaths per 100'000 children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[501] Total density per 100 000 population: Health centres | pub=WHO | desc: Total density per 100 000 population: Health centres | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[502] Availability of national standards or recommended lists of medical devices | pub=WHO | desc: Availability of national standards or recommended lists of medical devices | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[503] Total density per million population: Positron Emission tomography | pub=WHO | desc: Total density per million population: Positron Emission tomography | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[504] Household and ambient air pollution attributable DALYs | pub=WHO | desc: Household and ambient air pollution attributable DALYs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[505] Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized) | pub=WHO | desc: Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[506] Percentage of the children under 15 years with blood lead levels above 10ug/dl | pub=WHO | desc: Percentage of the children under 15 years with blood lead levels above 10ug/dl | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[507] Disability-adjusted life years (DALYs) due to leptospirosis | pub=WHO | desc: Disability-adjusted life years (DALYs) due to leptospirosis | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[508] Years of healthy life lost to disability (YLDs) due to leptospirosis | pub=WHO | desc: Years of healthy life lost to disability (YLDs) due to leptospirosis | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[509] Contraceptive prevalence - modern and traditional methods (%) | pub=WHO | desc: Contraceptive prevalence - modern and traditional methods (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[510] Births by caesarean section (in the two or three years preceding the survey) (%) | pub=WHO | desc: Births by caesarean section (in the two or three years preceding the survey) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
