[600] Compliance of ban on advertising on local magazines and newspapers | pub=WHO | desc: Compliance of ban on advertising on local magazines and newspapers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[601] Ban on advertising: International magazines and newspapers | pub=WHO | desc: Ban on advertising: International magazines and newspapers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[602] Law requires fines for violations of direct advertising bans | pub=WHO | desc: Law requires fines for violations of direct advertising bans | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[603] Early initiation of breastfeeding (in the five years preceding the survey) (%) | pub=WHO | desc: Early initiation of breastfeeding (in the five years preceding the survey) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[604] Number of investigational pharmaceutical trials for dementia | pub=WHO | desc: Number of investigational pharmaceutical trials for dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[605] Births by caesarean section (in the five years preceding the survey) (%) | pub=WHO | desc: Births by caesarean section (in the five years preceding the survey) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[606] Total density per 100 000 population: District/rural hospitals | pub=WHO | desc: Total density per 100 000 population: District/rural hospitals | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[607] Total density per 100 000 population: Provincial hospitals | pub=WHO | desc: Total density per 100 000 population: Provincial hospitals | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[608] Total density per million population: Magnetic Resonance Imaging | pub=WHO | desc: Total density per million population: Magnetic Resonance Imaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[609] Total density per million population: Computed tomography units | pub=WHO | desc: Total density per million population: Computed tomography units | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[610] Total density per million population: Gamma camera or Nuclear medicine | pub=WHO | desc: Total density per million population: Gamma camera or Nuclear medicine | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[611] Total density per million population: Linear Accelerator | pub=WHO | desc: Total density per million population: Linear Accelerator | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[612] Unit in the Ministry of Health responsible for the management of medical devices | pub=WHO | desc: Unit in the Ministry of Health responsible for the management of medical devices | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[613] Procurement of medical devices carried out at the national level | pub=WHO | desc: Procurement of medical devices carried out at the national level | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[614] Percentage of the adults (15+ years) with blood lead levels above 5ug/dl | pub=WHO | desc: Percentage of the adults (15+ years) with blood lead levels above 5ug/dl | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[615] Years of healthy life lost to disability (YLDs) (per 100 000 population) due to leptospirosis | pub=WHO | desc: Years of healthy life lost to disability (YLDs) (per 100 000 population) due to leptospirosis | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[616] Ban on Corporate Social Responsibility activities (CSR) | pub=WHO | desc: Ban on Corporate Social Responsibility activities (CSR) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[617] Inclusion of multisectoral collaboration as a guiding principles of the dementia plan | pub=WHO | desc: Inclusion of multisectoral collaboration as a guiding principles of the dementia plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[618] Inclusion of universal health coverage as a guiding principle of the dementia plan | pub=WHO | desc: Inclusion of universal health coverage as a guiding principle of the dementia plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[619] Inclusion of dementia-friendly communities as a specific action of the dementia plan | pub=WHO | desc: Inclusion of dementia-friendly communities as a specific action of the dementia plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[620] Inclusion of dementia diagnosis, care and support as a specific action of the dementia plan | pub=WHO | desc: Inclusion of dementia diagnosis, care and support as a specific action of the dementia plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[621] Inclusion of improved information system as a specific action of the dementia plan | pub=WHO | desc: Inclusion of improved information system as a specific action of the dementia plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[622] Existence of legislation for advanced care directives for people with dementia | pub=WHO | desc: Existence of legislation for advanced care directives for people with dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[623] Compliance of ban on advertising on billboards and outdoor advertising | pub=WHO | desc: Compliance of ban on advertising on billboards and outdoor advertising | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[624] Ban on display of tobacco products at points of sale | pub=WHO | desc: Ban on display of tobacco products at points of sale | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[625] Compliance of ban on free distribution of tobacco products in the mail or through other means | pub=WHO | desc: Compliance of ban on free distribution of tobacco products in the mail or through other means | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[626] Ban on free distribution of tobacco products in the mail or through other means | pub=WHO | desc: Ban on free distribution of tobacco products in the mail or through other means | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[627] Early initiation of breastfeeding (in the two or three years preceding the survey) (%) | pub=WHO | desc: Early initiation of breastfeeding (in the two or three years preceding the survey) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[628] New leprosy case detection rate per 1 000 000 population | pub=WHO | desc: New leprosy case detection rate per 1 000 000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[629] Leprosy - Number of new leprosy cases among children (less than 15 years of age) | pub=WHO | desc: Leprosy - Number of new leprosy cases among children (less than 15 years of age) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[630] Estimated population-based prevalence of depression | pub=WHO | desc: Estimated population-based prevalence of depression | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[631] Existence of other laws that apply to the rights of people with dementia | pub=WHO | desc: Existence of other laws that apply to the rights of people with dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[632] Existence of legislation to end discrimination against carers of people with dementia | pub=WHO | desc: Existence of legislation to end discrimination against carers of people with dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[633] Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis | pub=WHO | desc: Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
