[700] Treatment programmes for children and adolescents with drug use disorders | pub=WHO | desc: Treatment programmes for children and adolescents with drug use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[701] Treatment for tobacco dependence available in health clinics or other primary care facilities | pub=WHO | desc: Treatment for tobacco dependence available in health clinics or other primary care facilities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[702] Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol | pub=WHO | desc: Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[703] Treatment for tobacco dependence in hospitals cost covered | pub=WHO | desc: Treatment for tobacco dependence in hospitals cost covered | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[704] Treatment for tobacco dependence in other settings cost covered | pub=WHO | desc: Treatment for tobacco dependence in other settings cost covered | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[705] Nicotine replacement therapy on the Essential Medicines List | pub=WHO | desc: Nicotine replacement therapy on the Essential Medicines List | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[706] Treatment for tobacco dependence in offices of health professionals cost covered | pub=WHO | desc: Treatment for tobacco dependence in offices of health professionals cost covered | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[707] Alcohol, drinkers only per capita (15+) consumption in litres of pure alcohol, three-year average | pub=WHO | desc: Alcohol, drinkers only per capita (15+) consumption in litres of pure alcohol, three-year average | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[708] Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol) | pub=WHO | desc: Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[709] Alcohol, consumers past 12 months (%), age-standardized | pub=WHO | desc: Alcohol, consumers past 12 months (%), age-standardized | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[710] Age-standardized DALYs, alcohol use disorders, per 100,000 | pub=WHO | desc: Age-standardized DALYs, alcohol use disorders, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[711] Implementation level [national/subnational] of dementia care coordination | pub=WHO | desc: Implementation level [national/subnational] of dementia care coordination | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[712] Inclusion of basic dementia competencies in training of nurses | pub=WHO | desc: Inclusion of basic dementia competencies in training of nurses | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[713] Inclusion of basic dementia competencies in training of personal support workers | pub=WHO | desc: Inclusion of basic dementia competencies in training of personal support workers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[714] Availability of diagnostic services in community for dementia | pub=WHO | desc: Availability of diagnostic services in community for dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[715] Availability of psychosocial and rehabilitation services in community for dementia | pub=WHO | desc: Availability of psychosocial and rehabilitation services in community for dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[716] Existence of approved government dementia standards/ guidelines/ protocols | pub=WHO | desc: Existence of approved government dementia standards/ guidelines/ protocols | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[717] Existence of standards/ guidelines/ protocols for management of dementia | pub=WHO | desc: Existence of standards/ guidelines/ protocols for management of dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[718] Existence of standards/ guidelines/ protocols of care in nursing & residential care facilities for p | pub=WHO | desc: Existence of standards/ guidelines/ protocols of care in nursing & residential care facilities for people with dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[719] Identification of different sectors in dementia care coordination  (Health) | pub=WHO | desc: Identification of different sectors in dementia care coordination  (Health) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[720] Identification of different sectors in dementia care coordination (Employment) | pub=WHO | desc: Identification of different sectors in dementia care coordination (Employment) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[721] Identification of different sectors in dementia care coordination (Private sector) | pub=WHO | desc: Identification of different sectors in dementia care coordination (Private sector) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[722] Availability of mechanisms to coordinate dementia care across sectors | pub=WHO | desc: Availability of mechanisms to coordinate dementia care across sectors | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[723] Identification of different sectors in dementia care coordination (Housing) | pub=WHO | desc: Identification of different sectors in dementia care coordination (Housing) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[724] Alcohol, tourist consumption (in litres of pure alcohol) | pub=WHO | desc: Alcohol, tourist consumption (in litres of pure alcohol) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[725] Inclusion of basic dementia competencies in training of pharmaceutical personnel | pub=WHO | desc: Inclusion of basic dementia competencies in training of pharmaceutical personnel | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[726] Inclusion of basic dementia competencies in training of social workers | pub=WHO | desc: Inclusion of basic dementia competencies in training of social workers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[727] Age-standardized DALYs, colon and rectum cancers, per 100,000 | pub=WHO | desc: Age-standardized DALYs, colon and rectum cancers, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[728] Age-standardized DALYs, diabetes mellitus, per 100,000 | pub=WHO | desc: Age-standardized DALYs, diabetes mellitus, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[729] Identification of different sectors in dementia care coordination (Other) | pub=WHO | desc: Identification of different sectors in dementia care coordination (Other) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[730] Number of geriatricians or psychogeriatricians (per 100,000) | pub=WHO | desc: Number of geriatricians or psychogeriatricians (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[731] Alcohol, abstainers past 12 months (%), age-standardized | pub=WHO | desc: Alcohol, abstainers past 12 months (%), age-standardized | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[732] Inclusion of basic dementia competencies in training of specialists | pub=WHO | desc: Inclusion of basic dementia competencies in training of specialists | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[733] Existence of community-based health or social care services for dementia | pub=WHO | desc: Existence of community-based health or social care services for dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[734] Availability of activities of daily living support services in community for dementia | pub=WHO | desc: Availability of activities of daily living support services in community for dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[735] Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%), age-standardized | pub=WHO | desc: Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%), age-standardized | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[736] Inclusion of research and innovation as a specific action of the dementia plan | pub=WHO | desc: Inclusion of research and innovation as a specific action of the dementia plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[737] Existence of legislation for supported decision making for people with dementia | pub=WHO | desc: Existence of legislation for supported decision making for people with dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[738] Existence of legislation to promote community-based services for people with dementia | pub=WHO | desc: Existence of legislation to promote community-based services for people with dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[739] Leprosy registered prevalence rate per 1 000 000 population | pub=WHO | desc: Leprosy registered prevalence rate per 1 000 000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[740] Leprosy - New leprosy cases with G2D rate per 1 000 000 population | pub=WHO | desc: Leprosy - New leprosy cases with G2D rate per 1 000 000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[741] Number of people operated for trachomatous trichiasis | pub=WHO | desc: Number of people operated for trachomatous trichiasis | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[742] Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), model-based  | pub=WHO | desc: Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), model-based estimates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[743] Essential list of medicines, pharmacotherapy for substance use disorders | pub=WHO | desc: Essential list of medicines, pharmacotherapy for substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[744] Funding method for substance use disorder prevention | pub=WHO | desc: Funding method for substance use disorder prevention | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[745] Standards of care for professionals providing treatment for alcohol and drug use disorders | pub=WHO | desc: Standards of care for professionals providing treatment for alcohol and drug use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[746] Programmes for the prevention of substance use disorders for special populations | pub=WHO | desc: Programmes for the prevention of substance use disorders for special populations | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[747] Accessibility of diagnostic services in community for dementia [Capital/capital and main cities/capi | pub=WHO | desc: Accessibility of diagnostic services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas] | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[748] Epidemiological data collection system for substance use disorders | pub=WHO | desc: Epidemiological data collection system for substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[749] Standards of care for health professionals, maintenance | pub=WHO | desc: Standards of care for health professionals, maintenance | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[750] Occupational ergonomic stressors attributable deaths | pub=WHO | desc: Occupational ergonomic stressors attributable deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[751] Occupational airborne particulates attributable deaths | pub=WHO | desc: Occupational airborne particulates attributable deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[752] Commitments to recipient countries (Million, constant 2009 US$) | pub=WHO | desc: Commitments to recipient countries (Million, constant 2009 US$) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[753] Accessibility of behaviour and psychological management in community for dementia [Capital/capital a | pub=WHO | desc: Accessibility of behaviour and psychological management in community for dementia [Capital/capital and main cities/capital, main cities, rural areas] | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[754] Occupational carcinogens attributable DALYs per 100'000 capita | pub=WHO | desc: Occupational carcinogens attributable DALYs per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[755] Occupational noise attributable DALYs per 100'000 capita | pub=WHO | desc: Occupational noise attributable DALYs per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[756] Occupational ergonomic stressors attributable DALYs per 100'000 capita | pub=WHO | desc: Occupational ergonomic stressors attributable DALYs per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[757] Occupational risk factors attributable DALYs ('000) | pub=WHO | desc: Occupational risk factors attributable DALYs ('000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[758] Occupational injuries attributable deaths per 100'000 capita | pub=WHO | desc: Occupational injuries attributable deaths per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[759] Occupational risk factors attributable deaths per 100'000 capita | pub=WHO | desc: Occupational risk factors attributable deaths per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[760] Occupational risk factors attributable DALYs per 100'000 capita | pub=WHO | desc: Occupational risk factors attributable DALYs per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[761] Accessibility of social and financial protection for dementia [Capital/capital and main cities/capit | pub=WHO | desc: Accessibility of social and financial protection for dementia [Capital/capital and main cities/capital, main cities, rural areas] | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[762] Majority provider of diagnostic services in community for dementia [public, private] | pub=WHO | desc: Majority provider of diagnostic services in community for dementia [public, private] | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[763] Disbursements to recipient countries (Million, constant 2009 US$) | pub=WHO | desc: Disbursements to recipient countries (Million, constant 2009 US$) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[764] Occupational airborne particulates attributable DALYs per 100'000 capita | pub=WHO | desc: Occupational airborne particulates attributable DALYs per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[765] Children aged < 5 years with diarrhoea receiving oral rehydration salts (%) | pub=WHO | desc: Children aged < 5 years with diarrhoea receiving oral rehydration salts (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[766] Majority provider of palliative and end-of-life care services in community for dementia [public, pri | pub=WHO | desc: Majority provider of palliative and end-of-life care services in community for dementia [public, private] | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[767] Majority provider of social and financial protection for dementia [public, private] | pub=WHO | desc: Majority provider of social and financial protection for dementia [public, private] | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[768] Estimated number of people receiving psychosocial and rehabilitation services in community for demen | pub=WHO | desc: Estimated number of people receiving psychosocial and rehabilitation services in community for dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[769] Dementia-specific hospital beds (per 10,000 population) | pub=WHO | desc: Dementia-specific hospital beds (per 10,000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[770] Estimated percentage of hospitals following national dementia standards | pub=WHO | desc: Estimated percentage of hospitals following national dementia standards | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[771] Density of residential long-term care facilities (per 100,000 population) | pub=WHO | desc: Density of residential long-term care facilities (per 100,000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[772] Age-standardized DALYs, ischaemic heart disease, per 100,000 | pub=WHO | desc: Age-standardized DALYs, ischaemic heart disease, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[773] Age-standardized DALYs, self-inflicted injury, per 100,000 | pub=WHO | desc: Age-standardized DALYs, self-inflicted injury, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[774] Age-standardized death rates, colon and rectum cancers, per 100,000 | pub=WHO | desc: Age-standardized death rates, colon and rectum cancers, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[775] Age-standardized death rates, ischaemic heart disease, per 100,000 | pub=WHO | desc: Age-standardized death rates, ischaemic heart disease, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[776] Age-standardized death rates, liver cancer, per 100,000 | pub=WHO | desc: Age-standardized death rates, liver cancer, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[777] Overweight prevalence in children aged <five years (%) | pub=WHO | desc: Overweight prevalence in children aged <five years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[778] Compliance of ban on smoking in HEALTH-CARE FACILITIES | pub=WHO | desc: Compliance of ban on smoking in HEALTH-CARE FACILITIES | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[779] National smoking ban: DEDICATED FUNDS FOR ENFORCEMENT | pub=WHO | desc: National smoking ban: DEDICATED FUNDS FOR ENFORCEMENT | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[780] Age-standardized DALYs, liver cirrhosis, per 100,000 | pub=WHO | desc: Age-standardized DALYs, liver cirrhosis, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
