[800] Treatment for tobacco dependence in the community cost covered | pub=WHO | desc: Treatment for tobacco dependence in the community cost covered | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[801] Treatment for tobacco dependence in health clinics or other primary care facilities cost covered | pub=WHO | desc: Treatment for tobacco dependence in health clinics or other primary care facilities cost covered | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[802] Opioid agonist pharmacotherapy for the treatment of opioid dependence (maintenance) | pub=WHO | desc: Opioid agonist pharmacotherapy for the treatment of opioid dependence (maintenance) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[803] Treatment programmes for children and adolescents with alcohol use disorders | pub=WHO | desc: Treatment programmes for children and adolescents with alcohol use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[804] Alcohol, consumption of pure alcohol by type of beverage (%) | pub=WHO | desc: Alcohol, consumption of pure alcohol by type of beverage (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[805] Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol) | pub=WHO | desc: Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[806] Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average | pub=WHO | desc: Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[807] Alcohol, estimate of five-year change in recorded per capita (15+) consumption 2006-2010 | pub=WHO | desc: Alcohol, estimate of five-year change in recorded per capita (15+) consumption 2006-2010 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[808] Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%) | pub=WHO | desc: Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[809] Occupational carcinogens attributable deaths per 100'000 capita | pub=WHO | desc: Occupational carcinogens attributable deaths per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[810] Residential long-term care beds (per 10 000 population) | pub=WHO | desc: Residential long-term care beds (per 10 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
