[900] Alcohol-related road traffic crashes (% of all traffic crashes) | pub=WHO | desc: Alcohol-related road traffic crashes (% of all traffic crashes) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[901] Alcohol-related road traffic crashes (% of all traffic crashes) | pub=WHO | desc: Alcohol-related road traffic crashes (% of all traffic crashes) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[902] Alcohol-related disease mortality, per 100,000 (15+ years) | pub=WHO | desc: Alcohol-related disease mortality, per 100,000 (15+ years) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[903] Annual revenues from alcohol excise tax in millions US$ | pub=WHO | desc: Annual revenues from alcohol excise tax in millions US$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[904] Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%) | pub=WHO | desc: Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[905] Overweight prevalence in children aged <three years (%) | pub=WHO | desc: Overweight prevalence in children aged <three years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[906] Majority provider of psychosocial and rehabilitation services in community for dementia [public, pri | pub=WHO | desc: Majority provider of psychosocial and rehabilitation services in community for dementia [public, private] | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[907] Estimated number of people receiving behaviour and psychological management services in community fo | pub=WHO | desc: Estimated number of people receiving behaviour and psychological management services in community for dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[908] Estimated number of people receiving palliative and end-of-life care services in community for demen | pub=WHO | desc: Estimated number of people receiving palliative and end-of-life care services in community for dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[909] Dementia-specific residential long-term care beds (per 10,000 population) | pub=WHO | desc: Dementia-specific residential long-term care beds (per 10,000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[910] Estimated number of people with dementia living in residential long-term care | pub=WHO | desc: Estimated number of people with dementia living in residential long-term care | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
