[1000] Involvement of representatives of affected or targeted populations in the development and implementa | pub=WHO | desc: Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1001] National survey on substance use among children and adolescents | pub=WHO | desc: National survey on substance use among children and adolescents | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1002] Data on substance use disorders disseminated in national annual reports | pub=WHO | desc: Data on substance use disorders disseminated in national annual reports | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1003] Ministry/office that takes primary responsibility for prevention for substance use | pub=WHO | desc: Ministry/office that takes primary responsibility for prevention for substance use | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1004] Five years change in international cooperation for prevention for substance use | pub=WHO | desc: Five years change in international cooperation for prevention for substance use | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1005] Voluntary treatment for people with alcohol use disorders in the criminal justice system | pub=WHO | desc: Voluntary treatment for people with alcohol use disorders in the criminal justice system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1006] Voluntary treatment for people with drug use disorders in the criminal justice system | pub=WHO | desc: Voluntary treatment for people with drug use disorders in the criminal justice system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1007] Hypothecated taxes to be spent on prevention and treatment for substance use disorders | pub=WHO | desc: Hypothecated taxes to be spent on prevention and treatment for substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1008] Excise tax as a per cent of the retail price of alcoholic beverages | pub=WHO | desc: Excise tax as a per cent of the retail price of alcoholic beverages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1009] Excise tax as a per cent of the total retail price for 1 litre of pure alcohol | pub=WHO | desc: Excise tax as a per cent of the total retail price for 1 litre of pure alcohol | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1010] Five years change in international cooperation for treatment of substance use disorders | pub=WHO | desc: Five years change in international cooperation for treatment of substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1011] Confidentiality of health records on substance use disorders  protected by law | pub=WHO | desc: Confidentiality of health records on substance use disorders  protected by law | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1012] Confidentiality of people in treatment for substance use disorders | pub=WHO | desc: Confidentiality of people in treatment for substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
