[1100] Importance of measures for enhancing compliance with age limits | pub=WHO | desc: Importance of measures for enhancing compliance with age limits | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1101] Importance of measures for enhancing compliance with age limits | pub=WHO | desc: Importance of measures for enhancing compliance with age limits | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1102] Substance use policy at the national level, level of integration | pub=WHO | desc: Substance use policy at the national level, level of integration | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1103] Ministry/office that takes primary responsibility for treatment of substance use disorders | pub=WHO | desc: Ministry/office that takes primary responsibility for treatment of substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1104] Involvement of representatives of affected or targeted populations in the development and formulatio | pub=WHO | desc: Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1105] Legislative provision for treatment and rehabilitation of substance use disorders | pub=WHO | desc: Legislative provision for treatment and rehabilitation of substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1106] Involvement of representatives of affected or targeted populations in the development and formulatio | pub=WHO | desc: Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for prevention for alcohol and drugs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1107] Programmes diverting clients from the justice system towards treatment | pub=WHO | desc: Programmes diverting clients from the justice system towards treatment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1108] Financing method for substance use disorder treatment | pub=WHO | desc: Financing method for substance use disorder treatment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1109] Governement benefits for persons with substance use disorders | pub=WHO | desc: Governement benefits for persons with substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1110] Government benefits for drug use disorders, subsidy or disability pension | pub=WHO | desc: Government benefits for drug use disorders, subsidy or disability pension | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1111] Sector for inpatient detoxification of alcohol use disorders | pub=WHO | desc: Sector for inpatient detoxification of alcohol use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1112] Age-standardized death rates, alcohol and drug use disorders, per 100 000 | pub=WHO | desc: Age-standardized death rates, alcohol and drug use disorders, per 100 000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1113] Government benefits for people with drug use disorders | pub=WHO | desc: Government benefits for people with drug use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1114] Community-based interventions involving stakeholders | pub=WHO | desc: Community-based interventions involving stakeholders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1115] National alcohol policy specifically involves young people activities | pub=WHO | desc: National alcohol policy specifically involves young people activities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1116] Designation of alcohol tax revenues to health services | pub=WHO | desc: Designation of alcohol tax revenues to health services | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1117] Community-based interventions/projects involving stakeholders | pub=WHO | desc: Community-based interventions/projects involving stakeholders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1118] Training in screening and brief interventions for alcohol problems | pub=WHO | desc: Training in screening and brief interventions for alcohol problems | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1119] Counselling to children in families with alcohol problems | pub=WHO | desc: Counselling to children in families with alcohol problems | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1120] Counselling to pregnant women with alcohol problems | pub=WHO | desc: Counselling to pregnant women with alcohol problems | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1121] Smoking cessation support is available in health clinics or other primary care facilities | pub=WHO | desc: Smoking cessation support is available in health clinics or other primary care facilities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1122] Percentage of principal display area mandated to be covered by health warnings - front and back of o | pub=WHO | desc: Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1123] Percentage of principal display area mandated to be covered by health warnings - front of other smok | pub=WHO | desc: Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1124] Registration of medications for alcohol dependence and withdrawal | pub=WHO | desc: Registration of medications for alcohol dependence and withdrawal | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1125] Percentage of principal display area mandated to be covered by health warnings - back of other smoke | pub=WHO | desc: Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1126] Groups and agencies involved in prevention programs | pub=WHO | desc: Groups and agencies involved in prevention programs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1127] Buprenorphine/naloxone provision in clinical and community-based settings | pub=WHO | desc: Buprenorphine/naloxone provision in clinical and community-based settings | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1128] Supervision requirements for methadone administration | pub=WHO | desc: Supervision requirements for methadone administration | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1129] Prevention programmes for specific populations for drugs | pub=WHO | desc: Prevention programmes for specific populations for drugs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1130] HIV, Hepatitis counselling and treatment availability in specialized facilities and services | pub=WHO | desc: HIV, Hepatitis counselling and treatment availability in specialized facilities and services | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1131] Prescription requirements for buprenorphine/naloxone | pub=WHO | desc: Prescription requirements for buprenorphine/naloxone | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1132] Community-based interventions involving stakeholders | pub=WHO | desc: Community-based interventions involving stakeholders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1133] Smoking cessation support is available in offices of health professionals | pub=WHO | desc: Smoking cessation support is available in offices of health professionals | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1134] Smoking cessation support is available in other settings | pub=WHO | desc: Smoking cessation support is available in other settings | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1135] Health warnings appear on each other smoked tobacco package and any outside packaging and labelling  | pub=WHO | desc: Health warnings appear on each other smoked tobacco package and any outside packaging and labelling used in the retail sale | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1136] Recommendations for screening and brief interventions for substance use in antenatal services | pub=WHO | desc: Recommendations for screening and brief interventions for substance use in antenatal services | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1137] Buprenorphine provision in clinical and community-based settings | pub=WHO | desc: Buprenorphine provision in clinical and community-based settings | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1138] Supervision requirements for buprenorphine/naloxone administration | pub=WHO | desc: Supervision requirements for buprenorphine/naloxone administration | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1139] Sector for the treatment of alcohol-induced psychoses and other alcohol-induced psychiatric conditio | pub=WHO | desc: Sector for the treatment of alcohol-induced psychoses and other alcohol-induced psychiatric conditions | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1140] Specialized treatment facilities for drug use disorders | pub=WHO | desc: Specialized treatment facilities for drug use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1141] Guidelines on pharmacological treatment for substance use disorders | pub=WHO | desc: Guidelines on pharmacological treatment for substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1142] Total (recorded+unrecorded) alcohol per capita (15+) consumption | pub=WHO | desc: Total (recorded+unrecorded) alcohol per capita (15+) consumption | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1143] Age-standardized DALYs, cerebrovascular disease, per 100,000 | pub=WHO | desc: Age-standardized DALYs, cerebrovascular disease, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1144] Central coordinating entity for alcohol policy implementation | pub=WHO | desc: Central coordinating entity for alcohol policy implementation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1145] Alcohol-related road traffic crashes with fatalities (% of all road traffic crashes with fatalities) | pub=WHO | desc: Alcohol-related road traffic crashes with fatalities (% of all road traffic crashes with fatalities) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1146] Adopted written national policy on alcohol, year adopted | pub=WHO | desc: Adopted written national policy on alcohol, year adopted | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1147] Brief interventions as health promotion/disease prevention | pub=WHO | desc: Brief interventions as health promotion/disease prevention | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1148] Country has specific legislation governing the use of national EHR system | pub=WHO | desc: Country has specific legislation governing the use of national EHR system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1149] National strategy does not promote the adoption of EHR | pub=WHO | desc: National strategy does not promote the adoption of EHR | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1150] Which governs the sharing of digital data between health professionals  in health services in other  | pub=WHO | desc: Which governs the sharing of digital data between health professionals  in health services in other countries through the use of an EHR | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1151] Which allows individuals electronic access to their own health-related data when held in an EHR | pub=WHO | desc: Which allows individuals electronic access to their own health-related data when held in an EHR | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1152] Which allows individuals to demand the deletion of health-related data from their EHR | pub=WHO | desc: Which allows individuals to demand the deletion of health-related data from their EHR | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1153] Ill-defined causes in cause-of-death registration (%) | pub=WHO | desc: Ill-defined causes in cause-of-death registration (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1154] Age-standardized NCD mortality rate  (per 100 000 population) | pub=WHO | desc: Age-standardized NCD mortality rate  (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1155] Methadone provision in clinical and community-based settings | pub=WHO | desc: Methadone provision in clinical and community-based settings | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1156] Standards of treatment and care for public specialized treatment facilities | pub=WHO | desc: Standards of treatment and care for public specialized treatment facilities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1157] Treatment programmes for women with drug use disorders | pub=WHO | desc: Treatment programmes for women with drug use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1158] Pharmacotherapy used for the management of alcohol withdrawal | pub=WHO | desc: Pharmacotherapy used for the management of alcohol withdrawal | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1159] Number of national population surveys -  adult health | pub=WHO | desc: Number of national population surveys -  adult health | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1160] Distribution of years of life lost by major cause group | pub=WHO | desc: Distribution of years of life lost by major cause group | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1161] Distribution of causes of death among children aged <5 years (%) - Injuries | pub=WHO | desc: Distribution of causes of death among children aged <5 years (%) - Injuries | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1162] Distribution of causes of death among children aged <5 years (%) - Diarrhoea | pub=WHO | desc: Distribution of causes of death among children aged <5 years (%) - Diarrhoea | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1163] Distribution of causes of death among children aged <5 years (%) - Measles | pub=WHO | desc: Distribution of causes of death among children aged <5 years (%) - Measles | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1164] Specific health warnings are mandated for other smoked tobacco packaging | pub=WHO | desc: Specific health warnings are mandated for other smoked tobacco packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1165] Pharmacotherapy used for the management of benzodiazepine withdrawal | pub=WHO | desc: Pharmacotherapy used for the management of benzodiazepine withdrawal | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1166] Psychoactive substance causing entry into treatment | pub=WHO | desc: Psychoactive substance causing entry into treatment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1167] Health warnings on other smoked tobacco packaging must be written in the principal language(s) of th | pub=WHO | desc: Health warnings on other smoked tobacco packaging must be written in the principal language(s) of the country | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1168] Health warnings on other smoked tobacco packaging must include a photograph or graphic | pub=WHO | desc: Health warnings on other smoked tobacco packaging must include a photograph or graphic | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1169] Age-standardized DALYs attributable to the environment (per 100 000 population) | pub=WHO | desc: Age-standardized DALYs attributable to the environment (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1170] Deaths attributable to the environment in children under 5 years (%) | pub=WHO | desc: Deaths attributable to the environment in children under 5 years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
