[1200] Buprenorphine/naloxone used for detoxification or maintenance | pub=WHO | desc: Buprenorphine/naloxone used for detoxification or maintenance | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1201] Prevention programmes for specific populations for alcohol | pub=WHO | desc: Prevention programmes for specific populations for alcohol | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1202] Supervision requirements for buprenorphine administration | pub=WHO | desc: Supervision requirements for buprenorphine administration | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1203] National guidelines for implementing effective community-based interventions | pub=WHO | desc: National guidelines for implementing effective community-based interventions | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1204] National guidelines for implementing effective community-based interventions | pub=WHO | desc: National guidelines for implementing effective community-based interventions | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1205] National alcohol policy specifically involves young people activities | pub=WHO | desc: National alcohol policy specifically involves young people activities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1206] Consumer information about calories, additives, etc on containers | pub=WHO | desc: Consumer information about calories, additives, etc on containers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1207] National treatment policy for alcohol use disorders | pub=WHO | desc: National treatment policy for alcohol use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1208] Interventions/projects actively involving young people and civil society | pub=WHO | desc: Interventions/projects actively involving young people and civil society | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1209] Prevention/counselling at workplaces for those with alcohol problems | pub=WHO | desc: Prevention/counselling at workplaces for those with alcohol problems | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1210] Smoking cessation support is available in hospitals | pub=WHO | desc: Smoking cessation support is available in hospitals | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1211] Smoking cessation support is available in the community | pub=WHO | desc: Smoking cessation support is available in the community | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1212] Number of health warnings approved by the law for other smoked tobacco packaging | pub=WHO | desc: Number of health warnings approved by the law for other smoked tobacco packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1213] Health warnings on other smoked tobacco packaging must be rotated | pub=WHO | desc: Health warnings on other smoked tobacco packaging must be rotated | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1214] Children aged <5 years with diarrhoea receiving ORS (%) | pub=WHO | desc: Children aged <5 years with diarrhoea receiving ORS (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1215] Proportion of newborns who have postnatal contact with a health provider within 2 days of delivery ( | pub=WHO | desc: Proportion of newborns who have postnatal contact with a health provider within 2 days of delivery (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1216] Child maltreatment: Extent of implementation of home-visiting programmes | pub=WHO | desc: Child maltreatment: Extent of implementation of home-visiting programmes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1217] Children aged <5 years with diarrhoea receiving ORT (%) | pub=WHO | desc: Children aged <5 years with diarrhoea receiving ORT (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1218] Hib (Hib3) immunization coverage among 1-year-olds (%) | pub=WHO | desc: Hib (Hib3) immunization coverage among 1-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1219] Alcohol-attributable fractions (15+), liver cirrhosis deaths (%) | pub=WHO | desc: Alcohol-attributable fractions (15+), liver cirrhosis deaths (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1220] Alcohol-attributable fractions (15+), road traffic crash deaths (%) | pub=WHO | desc: Alcohol-attributable fractions (15+), road traffic crash deaths (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1221] Alcohol, regional prevalence of alcohol dependence (%) | pub=WHO | desc: Alcohol, regional prevalence of alcohol dependence (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
