[1300] Health warnings on other smoked tobacco packaging do not remove or diminish the liability of the tob | pub=WHO | desc: Health warnings on other smoked tobacco packaging do not remove or diminish the liability of the tobacco industry | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1301] Do health warnings on smokeless tobacco packaging describe the harmful effects of tobacco use on hea | pub=WHO | desc: Do health warnings on smokeless tobacco packaging describe the harmful effects of tobacco use on health? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1302] Does the law mandate specific health warnings on smokeless tobacco packaging? | pub=WHO | desc: Does the law mandate specific health warnings on smokeless tobacco packaging? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1303] Health warnings on smokeless tobacco packaging law requires or establishes fines for violations | pub=WHO | desc: Health warnings on smokeless tobacco packaging law requires or establishes fines for violations | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1304] Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI | pub=WHO | desc: Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1305] 15-19 years old heavy episodic drinkers (population), % with 95%CI | pub=WHO | desc: 15-19 years old heavy episodic drinkers (population), % with 95%CI | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1306] 15-19 years old heavy episodic drinkers (drinkers only), % | pub=WHO | desc: 15-19 years old heavy episodic drinkers (drinkers only), % | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1307] 15-19 years old total alcohol consumption in litres of pure alcohol | pub=WHO | desc: 15-19 years old total alcohol consumption in litres of pure alcohol | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1308] National guidelines for the prevention and reduction of alcohol-related harm in schools | pub=WHO | desc: National guidelines for the prevention and reduction of alcohol-related harm in schools | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1309] Underweight prevalence in children aged < 3 years (%) | pub=WHO | desc: Underweight prevalence in children aged < 3 years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1310] Underweight prevalence in children aged < 5 years (%) | pub=WHO | desc: Underweight prevalence in children aged < 5 years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1311] Consumer information about calories, additives, etc on containers | pub=WHO | desc: Consumer information about calories, additives, etc on containers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1312] Number of standard alcoholic drinks displayed on containers | pub=WHO | desc: Number of standard alcoholic drinks displayed on containers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1313] Alcohol, regional per capita (15+) consumption (in litres of pure alcohol) | pub=WHO | desc: Alcohol, regional per capita (15+) consumption (in litres of pure alcohol) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1314] Alcohol-attributable Years of Life Lost (YLL) score | pub=WHO | desc: Alcohol-attributable Years of Life Lost (YLL) score | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1315] Alcohol-attributable fractions, all-cause deaths (%) | pub=WHO | desc: Alcohol-attributable fractions, all-cause deaths (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1316] Alcohol, regional prevalence of alcohol dependence (%) | pub=WHO | desc: Alcohol, regional prevalence of alcohol dependence (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1317] Alcohol, regional prevalence of alcohol use disorders (%) | pub=WHO | desc: Alcohol, regional prevalence of alcohol use disorders (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1318] Antenatal care coverage - at least one visit, among girls aged 15-19 (%) | pub=WHO | desc: Antenatal care coverage - at least one visit, among girls aged 15-19 (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1319] Hepatitis B (HepB3) immunization coverage among 1-year-olds (%) | pub=WHO | desc: Hepatitis B (HepB3) immunization coverage among 1-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1320] Polio (Pol3) immunization coverage among 1-year-olds (%) | pub=WHO | desc: Polio (Pol3) immunization coverage among 1-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1321] Antiretroviral therapy coverage among HIV-infected pregnant women for PMTCT (%) | pub=WHO | desc: Antiretroviral therapy coverage among HIV-infected pregnant women for PMTCT (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
