[1400] Ban on deceitful terms on smokeless tobacco packaging | pub=WHO | desc: Ban on deceitful terms on smokeless tobacco packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1401] Other smoked tobacco packaging and labelling must not use figurative or other signs including colors | pub=WHO | desc: Other smoked tobacco packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1402] Smokeless tobacco packaging and labelling must not use figurative or other signs including colors or | pub=WHO | desc: Smokeless tobacco packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1403] Legal obligation for schools to include alcohol use prevention | pub=WHO | desc: Legal obligation for schools to include alcohol use prevention | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1404] Legal obligation for schools to interact with parents regarding education and well-being | pub=WHO | desc: Legal obligation for schools to interact with parents regarding education and well-being | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1405] Legal obligation for schools to interact with parents regarding education and well-being | pub=WHO | desc: Legal obligation for schools to interact with parents regarding education and well-being | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1406] Population using at least basic drinking-water services (%) | pub=WHO | desc: Population using at least basic drinking-water services (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1407] Percentage of principal display area mandated to be covered by health warnings - back of other smoke | pub=WHO | desc: Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1408] Are the health warnings on other smoked tobacco packaging written in the principal language(s) of th | pub=WHO | desc: Are the health warnings on other smoked tobacco packaging written in the principal language(s) of the country? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1409] Health warnings on smokeless tobacco packaging must not be obscured in any way including by required | pub=WHO | desc: Health warnings on smokeless tobacco packaging must not be obscured in any way including by required markings such as tax stamps | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1410] Population using safely managed sanitation services (%) | pub=WHO | desc: Population using safely managed sanitation services (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1411] Does the law mandate font style, font size and colour of health warnings on other smoked tobacco pac | pub=WHO | desc: Does the law mandate font style, font size and colour of health warnings on other smoked tobacco packaging? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1412] Are the health warnings on smokeless tobacco packaging written in the principal language(s) of the c | pub=WHO | desc: Are the health warnings on smokeless tobacco packaging written in the principal language(s) of the country? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1413] Percentage of principal display area mandated to be covered by health warnings - front and back of s | pub=WHO | desc: Percentage of principal display area mandated to be covered by health warnings - front and back of smokeless tobacco packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1414] Cigarette packaging and labelling must not display quantitative information on emission yields (such | pub=WHO | desc: Cigarette packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1415] Cigarette packaging and labelling must display qualitative information on relevant constituents and  | pub=WHO | desc: Cigarette packaging and labelling must display qualitative information on relevant constituents and emissions | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1416] Health warnings on cigarette packaging must not be obscured in any way including by required marking | pub=WHO | desc: Health warnings on cigarette packaging must not be obscured in any way including by required markings such as tax stamps | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1417] Adult mortality rate (probability of dying between 15 and 60 years per 1000 population) | pub=WHO | desc: Adult mortality rate (probability of dying between 15 and 60 years per 1000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1418] Ambient and household air pollution attributable death rate (per 100 000 population, age-standardize | pub=WHO | desc: Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1419] Estimated direct deaths from major conflicts (per 100 000 population) | pub=WHO | desc: Estimated direct deaths from major conflicts (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1420] New HIV infections (per 1000 uninfected population) | pub=WHO | desc: New HIV infections (per 1000 uninfected population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1421] Out-of-pocket expenditure as a percentage of total expenditure on health | pub=WHO | desc: Out-of-pocket expenditure as a percentage of total expenditure on health | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1422] Infants exclusively breastfed for the first six months of life (%) | pub=WHO | desc: Infants exclusively breastfed for the first six months of life (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
