[1500] Second-hand smoke  attributable DALYs per 100'000 children under 5 years | pub=WHO | desc: Second-hand smoke  attributable DALYs per 100'000 children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1501] Second-hand smoke attributable DALYs per 100'000 capita | pub=WHO | desc: Second-hand smoke attributable DALYs per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1502] Laboratories providing tuberculosis diagnostic services using culture (per 5 million population) | pub=WHO | desc: Laboratories providing tuberculosis diagnostic services using culture (per 5 million population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1503] Laboratories providing drug susceptibility testing (DST) (per 5 million population) | pub=WHO | desc: Laboratories providing drug susceptibility testing (DST) (per 5 million population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1504] Treatment success rate for new pulmonary smear-negative and extrapulmonary tuberculosis cases | pub=WHO | desc: Treatment success rate for new pulmonary smear-negative and extrapulmonary tuberculosis cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1505] Number of deaths due to tuberculosis, excluding HIV | pub=WHO | desc: Number of deaths due to tuberculosis, excluding HIV | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1506] Alcohol-attributable fractions (15+), cancer deaths | pub=WHO | desc: Alcohol-attributable fractions (15+), cancer deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1507] Report with data from health services on alcohol use and AUDs | pub=WHO | desc: Report with data from health services on alcohol use and AUDs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1508] Tax incentives for production low/no alcohol content beer | pub=WHO | desc: Tax incentives for production low/no alcohol content beer | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1509] Tax incentives for production of other alcoholic beverages | pub=WHO | desc: Tax incentives for production of other alcoholic beverages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1510] Heavy episodic drinking (youth 15 -19 years) past 30 days (%) | pub=WHO | desc: Heavy episodic drinking (youth 15 -19 years) past 30 days (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1511] Water, sanitation and hygiene attributable DALYs ('000) | pub=WHO | desc: Water, sanitation and hygiene attributable DALYs ('000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1512] Water, sanitation and hygiene attributable DALYs ('000) in children under 5 years | pub=WHO | desc: Water, sanitation and hygiene attributable DALYs ('000) in children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1513] Water, sanitation and hygiene attributable DALYs per 100'000 capita | pub=WHO | desc: Water, sanitation and hygiene attributable DALYs per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1514] Population using at least basic sanitation services (%) | pub=WHO | desc: Population using at least basic sanitation services (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1515] Population using safely managed drinking-water services (%) | pub=WHO | desc: Population using safely managed drinking-water services (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1516] Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol), three-year average | pub=WHO | desc: Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol), three-year average | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1517] Alcohol, tourist consumption (in litres of pure alcohol), three-year average | pub=WHO | desc: Alcohol, tourist consumption (in litres of pure alcohol), three-year average | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1518] New HIV infections among adults 15-24 years old (per 1000 uninfected population) | pub=WHO | desc: New HIV infections among adults 15-24 years old (per 1000 uninfected population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1519] Does the law mandate font style, font size and colour of health warnings on smokeless tobacco packag | pub=WHO | desc: Does the law mandate font style, font size and colour of health warnings on smokeless tobacco packaging? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1520] Are the health warnings on other smoked tobacco packaging rotating? | pub=WHO | desc: Are the health warnings on other smoked tobacco packaging rotating? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1521] Are the health warnings on smokeless tobacco packaging rotating? | pub=WHO | desc: Are the health warnings on smokeless tobacco packaging rotating? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1522] Are the health warnings on cigarette packaging written in the principal language(s) of the country? | pub=WHO | desc: Are the health warnings on cigarette packaging written in the principal language(s) of the country? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
