[1600] Compliance with smoke-free health-care facilities law (score) | pub=WHO | desc: Compliance with smoke-free health-care facilities law (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1601] Existence of national reference level for workplaces | pub=WHO | desc: Existence of national reference level for workplaces | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1602] General availability of chemotherapy in the public health system | pub=WHO | desc: General availability of chemotherapy in the public health system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1603] Existence of operational policy/strategy/action plan for chronic respiratory diseases | pub=WHO | desc: Existence of operational policy/strategy/action plan for chronic respiratory diseases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1604] General availability of diabetes testing (by blood glucose measurement, OGTT) at the primary health  | pub=WHO | desc: General availability of diabetes testing (by blood glucose measurement, OGTT) at the primary health care level | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1605] Implementation of diet and/or physical activity public awareness program | pub=WHO | desc: Implementation of diet and/or physical activity public awareness program | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1606] Existence of a national target on essential medicines and technologies | pub=WHO | desc: Existence of a national target on essential medicines and technologies | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1607] General availability of diabetes testing (by HbA1c) at the primary health care level | pub=WHO | desc: General availability of diabetes testing (by HbA1c) at the primary health care level | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1608] General availability of insulin in the public health sector | pub=WHO | desc: General availability of insulin in the public health sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1609] Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs | pub=WHO | desc: Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1610] Existence of a set of national NCD indicators and has set time-bound national targets for these indi | pub=WHO | desc: Existence of a set of national NCD indicators and has set time-bound national targets for these indicators | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1611] Compliance with smoke-free government facilities law (score) | pub=WHO | desc: Compliance with smoke-free government facilities law (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1612] Alcohol, 15-19 years heavy continuous drinkers past year (%) | pub=WHO | desc: Alcohol, 15-19 years heavy continuous drinkers past year (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1613] Cigarette packaging and labelling must not display quantitative information on emission yields (such | pub=WHO | desc: Cigarette packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1614] Existence of an operational, multisectoral national NCD policy, strategy or action plan that integra | pub=WHO | desc: Existence of an operational, multisectoral national NCD policy, strategy or action plan that integrates several NCDs and their risk factors | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1615] IHR Coordination, National IHR Focal Point functions and advocacy | pub=WHO | desc: IHR Coordination, National IHR Focal Point functions and advocacy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1616] General availability of oral morphine in the public health sector | pub=WHO | desc: General availability of oral morphine in the public health sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1617] General availability of palliative care in community or home-based care in the public health system | pub=WHO | desc: General availability of palliative care in community or home-based care in the public health system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1618] General availability of peak flow measurement at the primary health care level | pub=WHO | desc: General availability of peak flow measurement at the primary health care level | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1619] Has systems for follow-up/recall to deliver long-term penicillin prophylaxis to patients with rheuma | pub=WHO | desc: Has systems for follow-up/recall to deliver long-term penicillin prophylaxis to patients with rheumatic fever and rheumatic heart disease | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
