[1700] NLIS: Children with diarrhoea <5 y receiving oral rehydration therapy (ORT) and continued feeding (% | pub=WHO | desc: NLIS: Children with diarrhoea <5 y receiving oral rehydration therapy (ORT) and continued feeding (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1701] General availability of cancer centres or cancer departments at tertiary level in the public sector | pub=WHO | desc: General availability of cancer centres or cancer departments at tertiary level in the public sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1702] Illnesses caused by hazards, aged 5 years and above | pub=WHO | desc: Illnesses caused by hazards, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1703] Number of children aged 6-59 months with anaemia (thousands) | pub=WHO | desc: Number of children aged 6-59 months with anaemia (thousands) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1704] Existence of policy promoting physical activity: community-based and sports initiatives | pub=WHO | desc: Existence of policy promoting physical activity: community-based and sports initiatives | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1705] Substance use disorders service coverage, data on service provision | pub=WHO | desc: Substance use disorders service coverage, data on service provision | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1706] Ban on tobacco companies/the tobacco industry publicizing their CSR activities | pub=WHO | desc: Ban on tobacco companies/the tobacco industry publicizing their CSR activities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1707] Number of reported cases of poliomyelitis by wild poliovirus (WPV) | pub=WHO | desc: Number of reported cases of poliomyelitis by wild poliovirus (WPV) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1708] Prevalence of anaemia in children aged 6-59 months (%) | pub=WHO | desc: Prevalence of anaemia in children aged 6-59 months (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1709] Existence of a health surveillance system which includes meteorological information | pub=WHO | desc: Existence of a health surveillance system which includes meteorological information | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1710] Tobacco Monitor: population-based national surveys, tobacco use and smoking | pub=WHO | desc: Tobacco Monitor: population-based national surveys, tobacco use and smoking | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1711] Substance use disorders service coverage, psychosocial treatment services progress | pub=WHO | desc: Substance use disorders service coverage, psychosocial treatment services progress | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1712] Prevalence of daily tobacco use among adolescents (%) | pub=WHO | desc: Prevalence of daily tobacco use among adolescents (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1713] Foodborne years lived with disability per case, aged 5 years and above | pub=WHO | desc: Foodborne years lived with disability per case, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1714] National authority responsible for regulating medical devices | pub=WHO | desc: National authority responsible for regulating medical devices | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1715] Affordability of cigarettes: category of change over past 2 years | pub=WHO | desc: Affordability of cigarettes: category of change over past 2 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1716] Substance use disorders service coverage, information on governmental support available | pub=WHO | desc: Substance use disorders service coverage, information on governmental support available | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1717] General availability of Fixed dose combination avail (lisinopril + amlodipine) in the public health  | pub=WHO | desc: General availability of Fixed dose combination avail (lisinopril + amlodipine) in the public health sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1718] Has conducted a recent, national adult risk factor survey covering raised blood glucose/diabetes | pub=WHO | desc: Has conducted a recent, national adult risk factor survey covering raised blood glucose/diabetes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1719] Agencies responsible for delivering prison healthcare | pub=WHO | desc: Agencies responsible for delivering prison healthcare | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1720] Number of deaths among children ages 10 to 14 years | pub=WHO | desc: Number of deaths among children ages 10 to 14 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1721] Has conducted a recent, national adult risk factor survey covering harmful alcohol use | pub=WHO | desc: Has conducted a recent, national adult risk factor survey covering harmful alcohol use | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1722] Tobacco Raise taxes: Retail price for tobacco and nicotine products | pub=WHO | desc: Tobacco Raise taxes: Retail price for tobacco and nicotine products | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1723] Number of malaria positive cases by rapid diagnostic test (RDT) | pub=WHO | desc: Number of malaria positive cases by rapid diagnostic test (RDT) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1724] SDG 6.3.1 Proportion of safely treated domestic wastewater flows (%) | pub=WHO | desc: SDG 6.3.1 Proportion of safely treated domestic wastewater flows (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1725] Availability of government/registered services for assistive technology | pub=WHO | desc: Availability of government/registered services for assistive technology | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1726] Most sold brand of cigarettes - price in US$ at official exchange rates | pub=WHO | desc: Most sold brand of cigarettes - price in US$ at official exchange rates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1727] Total population pushed further below the $1.90 a day poverty line by household health expenditures  | pub=WHO | desc: Total population pushed further below the $1.90 a day poverty line by household health expenditures (millions, regional, global) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1728] Population pushed below the $3.65 a day poverty line by household health expenditures (%, national,  | pub=WHO | desc: Population pushed below the $3.65 a day poverty line by household health expenditures (%, national, rural, urban) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1729] Population pushed further below the $1.90 a day poverty line by household health expenditures (%, na | pub=WHO | desc: Population pushed further below the $1.90 a day poverty line by household health expenditures (%, national, rural, urban) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1730] Antimicrobial resistance or decreased susceptibiity (DS/R) to antimicrobials testing  in Neisseria g | pub=WHO | desc: Antimicrobial resistance or decreased susceptibiity (DS/R) to antimicrobials testing  in Neisseria gonorrhoea isolates (WHO-GASP) (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1731] Foodborne years of life lost, aged 5 years and above | pub=WHO | desc: Foodborne years of life lost, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1732] Healthcare staff in prisons (FTEs per 1000 prisoners) | pub=WHO | desc: Healthcare staff in prisons (FTEs per 1000 prisoners) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1733] Tobacco Raise taxes: Annual tax revenues from tobacco products, previous reporting period | pub=WHO | desc: Tobacco Raise taxes: Annual tax revenues from tobacco products, previous reporting period | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1734] Proportion of population with primary reliance on clean fuels and technologies for cooking (%) | pub=WHO | desc: Proportion of population with primary reliance on clean fuels and technologies for cooking (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1735] General availability of Fixed dose combination avail (lisinopril + hydrochlorothiazide) in the publi | pub=WHO | desc: General availability of Fixed dose combination avail (lisinopril + hydrochlorothiazide) in the public health sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1736] Foodborne years of life lost per 100 000, aged less than 5 years | pub=WHO | desc: Foodborne years of life lost per 100 000, aged less than 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1737] Number of deaths among children 5 to 14 years of age | pub=WHO | desc: Number of deaths among children 5 to 14 years of age | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1738] Pregnant women attending antenatal care  at least once and receiving at least 3 doses of Intermitten | pub=WHO | desc: Pregnant women attending antenatal care  at least once and receiving at least 3 doses of Intermittent Preventive Treatment of Malaria for Pregnant Women (IPTp3) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1739] Percentage of people living with HIV who know their status receiving antiretroviral therapy | pub=WHO | desc: Percentage of people living with HIV who know their status receiving antiretroviral therapy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1740] Existence of operational policy/strategy/action plan to reduce overweight/obesity | pub=WHO | desc: Existence of operational policy/strategy/action plan to reduce overweight/obesity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1741] Pattern of antibiotic consumption at national level (relative use by AWaRe classification) | pub=WHO | desc: Pattern of antibiotic consumption at national level (relative use by AWaRe classification) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1742] New leprosy child case detection rate (less than 15 years of age) per 1 000 000 child population | pub=WHO | desc: New leprosy child case detection rate (less than 15 years of age) per 1 000 000 child population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1743] In-prison regular assessments of essential medicines | pub=WHO | desc: In-prison regular assessments of essential medicines | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1744] Alcohol-related road traffic deaths, per 100,000 population | pub=WHO | desc: Alcohol-related road traffic deaths, per 100,000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1745] Prevalence of daily cigarette smoking among adults (%) | pub=WHO | desc: Prevalence of daily cigarette smoking among adults (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1746] Existence of regulations/standards/guidelines/protocols on assistive technology | pub=WHO | desc: Existence of regulations/standards/guidelines/protocols on assistive technology | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1747] Pregnant women attending antenatal care, tested positive for HBsAg (percent) | pub=WHO | desc: Pregnant women attending antenatal care, tested positive for HBsAg (percent) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1748] Estimate of current tobacco smoking prevalence (%) (age-standardized) | pub=WHO | desc: Estimate of current tobacco smoking prevalence (%) (age-standardized) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1749] Number of people newly-admitted to prison (per 100 000 inhabitants) | pub=WHO | desc: Number of people newly-admitted to prison (per 100 000 inhabitants) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1750] Prevalence of daily tobacco smoking among adults (%) | pub=WHO | desc: Prevalence of daily tobacco smoking among adults (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1751] Estimate of daily tobacco use prevalence (%) (age-standardized) | pub=WHO | desc: Estimate of daily tobacco use prevalence (%) (age-standardized) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1752] Prevalence of daily e-cigarette use among adults (%) | pub=WHO | desc: Prevalence of daily e-cigarette use among adults (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1753] NLIS: Introduction to solid, semisolid or soft foods in infants 6-8 months (%) | pub=WHO | desc: NLIS: Introduction to solid, semisolid or soft foods in infants 6-8 months (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1754] Substance use disorders service coverage, medicine included into official manual/ national treatment | pub=WHO | desc: Substance use disorders service coverage, medicine included into official manual/ national treatment guidelines | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1755] Raised fasting blood glucose (>=7.0 mmol/L) (age-standardized estimate) | pub=WHO | desc: Raised fasting blood glucose (>=7.0 mmol/L) (age-standardized estimate) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1756] Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%) | pub=WHO | desc: Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1757] Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths | pub=WHO | desc: Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1758] Prevalence of anaemia in pregnant women (aged 15-49) (%) | pub=WHO | desc: Prevalence of anaemia in pregnant women (aged 15-49) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1759] Domestic general government expenditure on PHC as % of primary health care expenditure (PHCE) (%) | pub=WHO | desc: Domestic general government expenditure on PHC as % of primary health care expenditure (PHCE) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1760] Mean hemoglobin level of non-pregnant women (aged 15-49 years) | pub=WHO | desc: Mean hemoglobin level of non-pregnant women (aged 15-49 years) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1761] Gender distribution between international and local WCO staff | pub=WHO | desc: Gender distribution between international and local WCO staff | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1762] Proportion of health facilities with a core set of relevant essential medicines available and afford | pub=WHO | desc: Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basis | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1763] Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB  | pub=WHO | desc: Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB among Q1 (lowest) income or expenditure quantile. | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1764] In-prison people who use/have used drugs (number of prisoners, in the last 12 months) | pub=WHO | desc: In-prison people who use/have used drugs (number of prisoners, in the last 12 months) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1765] Regional prevalence, alcohol-attributable DALYs, (%) | pub=WHO | desc: Regional prevalence, alcohol-attributable DALYs, (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1766] Meningococcal A conjugate (MENGA) vaccine immunization coverage (%) | pub=WHO | desc: Meningococcal A conjugate (MENGA) vaccine immunization coverage (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1767] General availability of foot vibration perception by tuning fork at the primary health care level | pub=WHO | desc: General availability of foot vibration perception by tuning fork at the primary health care level | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1768] NLIS: Minimum dietary diversity (MDD) in children 6-23 months (%) | pub=WHO | desc: NLIS: Minimum dietary diversity (MDD) in children 6-23 months (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1769] Annual budget for tobacco control in currency reported | pub=WHO | desc: Annual budget for tobacco control in currency reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1770] Dracunculiasis certification status of countries at the beginning of the year | pub=WHO | desc: Dracunculiasis certification status of countries at the beginning of the year | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1771] Alcohol, 15-19 years heavy continuous drinkers, drinkers only, past year (%) | pub=WHO | desc: Alcohol, 15-19 years heavy continuous drinkers, drinkers only, past year (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1772] General availability of bone marrow transplantation in the public health system | pub=WHO | desc: General availability of bone marrow transplantation in the public health system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1773] Has conducted a recent, national adult risk factor survey covering raised total cholesterol | pub=WHO | desc: Has conducted a recent, national adult risk factor survey covering raised total cholesterol | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1774] Foodborne disability-adjusted life years per case, aged 5 years and above | pub=WHO | desc: Foodborne disability-adjusted life years per case, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1775] Substance use disorders service coverage, specialized treatment services progress | pub=WHO | desc: Substance use disorders service coverage, specialized treatment services progress | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1776] Tobacco Monitor: school-based national surveys, smokeless tobacco or e-cigarettes | pub=WHO | desc: Tobacco Monitor: school-based national surveys, smokeless tobacco or e-cigarettes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1777] International Health Regulations core capacity scores, SPAR version, 2nd edition | pub=WHO | desc: International Health Regulations core capacity scores, SPAR version, 2nd edition | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1778] Contraceptive prevalence - use of modern methods (%) | pub=WHO | desc: Contraceptive prevalence - use of modern methods (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1779] Foodborne disability-adjusted life years, aged less than 5 years | pub=WHO | desc: Foodborne disability-adjusted life years, aged less than 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1780] Years lived with disability caused by hazards, aged 5 years and above | pub=WHO | desc: Years lived with disability caused by hazards, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1781] Incident cases of gonorrhoea in individuals (per 1000) | pub=WHO | desc: Incident cases of gonorrhoea in individuals (per 1000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1782] Status of elimination of trachoma as a public health problem | pub=WHO | desc: Status of elimination of trachoma as a public health problem | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1783] Number of people who received treatment with antibiotics for trachoma | pub=WHO | desc: Number of people who received treatment with antibiotics for trachoma | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1784] Number of imported cases of cutaneous leishmaniasis reported | pub=WHO | desc: Number of imported cases of cutaneous leishmaniasis reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1785] Number of imported cases of visceral leishmaniasis reported | pub=WHO | desc: Number of imported cases of visceral leishmaniasis reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1786] Compliance with smoke-free indoor offices law (score) | pub=WHO | desc: Compliance with smoke-free indoor offices law (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1787] Tobacco Monitor: population-based national surveys, smokeless tobacco or e-cigarettes | pub=WHO | desc: Tobacco Monitor: population-based national surveys, smokeless tobacco or e-cigarettes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1788] Total number of staff in country offices, by region (%) | pub=WHO | desc: Total number of staff in country offices, by region (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1789] Total population pushed further below the $2.15 a day poverty line by household health expenditures  | pub=WHO | desc: Total population pushed further below the $2.15 a day poverty line by household health expenditures (%, regional, global) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
