[1800] General availability of blood pressure measurement at the primary health care level | pub=WHO | desc: General availability of blood pressure measurement at the primary health care level | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1801] Publication year of the policy or plan (latest revision) | pub=WHO | desc: Publication year of the policy or plan (latest revision) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1802] NLIS: Minimum acceptable diet (MAD) in children 6-23 months (%) | pub=WHO | desc: NLIS: Minimum acceptable diet (MAD) in children 6-23 months (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1803] Foodborne deaths per 100 000, aged less than 5 years | pub=WHO | desc: Foodborne deaths per 100 000, aged less than 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1804] HIV tests performed where results were received by a person (testing volume), estimated number per 1 | pub=WHO | desc: HIV tests performed where results were received by a person (testing volume), estimated number per 1000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1805] Existence of operational policy/strategy/action plan for eye health | pub=WHO | desc: Existence of operational policy/strategy/action plan for eye health | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1806] People living with chronic hepatitis C (HCV) (number) | pub=WHO | desc: People living with chronic hepatitis C (HCV) (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1807] Yellow fever vaccine (YFV) immunization coverage among 1-year olds (%) | pub=WHO | desc: Yellow fever vaccine (YFV) immunization coverage among 1-year olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1808] The number of new and relapse cases of tuberculosis detected in a given year by age and sex | pub=WHO | desc: The number of new and relapse cases of tuberculosis detected in a given year by age and sex | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1809] Households further impoverished by out-of-pocket payments (relative poverty line reflecting basic ne | pub=WHO | desc: Households further impoverished by out-of-pocket payments (relative poverty line reflecting basic needs: food, housing, utilities - developed by WHO/Europe) (%, national) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1810] Foodborne years lived with disability, aged less than 5 years | pub=WHO | desc: Foodborne years lived with disability, aged less than 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1811] Tobacco Warning: W2b smoked tobacco packaging health warnings, other characteristics | pub=WHO | desc: Tobacco Warning: W2b smoked tobacco packaging health warnings, other characteristics | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1812] Prevalence of anaemia in non-pregnant women (aged 15-49) (%) | pub=WHO | desc: Prevalence of anaemia in non-pregnant women (aged 15-49) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1813] Satisfaction with assistive products and related services (%) | pub=WHO | desc: Satisfaction with assistive products and related services (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1814] Substance use disorders service coverage, medicine included in basic insurance package | pub=WHO | desc: Substance use disorders service coverage, medicine included in basic insurance package | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1815] Prevalence of chronic hepatitis B (HBV) in the general population (%) | pub=WHO | desc: Prevalence of chronic hepatitis B (HBV) in the general population (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1816] Hypertension: effective treatment coverage (controlled hypertension) among adults aged 30-79 with hy | pub=WHO | desc: Hypertension: effective treatment coverage (controlled hypertension) among adults aged 30-79 with hypertension, crude (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1817] Percentage of people living with HIV receiving treatment who have suppressed viral loads | pub=WHO | desc: Percentage of people living with HIV receiving treatment who have suppressed viral loads | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1818] Most recent survey among adults was recent (in the past 5 years) | pub=WHO | desc: Most recent survey among adults was recent (in the past 5 years) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1819] In-prison suicide mortality rate (per 100 000 incarcerated persons per year) | pub=WHO | desc: In-prison suicide mortality rate (per 100 000 incarcerated persons per year) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1820] Incident cases of gonorrhoea in individuals (in thousands) | pub=WHO | desc: Incident cases of gonorrhoea in individuals (in thousands) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1821] Funds available per type of country office by Strategy (%) | pub=WHO | desc: Funds available per type of country office by Strategy (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1822] HIV tests performed where results were received by a person (testing volume), reported number | pub=WHO | desc: HIV tests performed where results were received by a person (testing volume), reported number | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1823] Existence of evidence-based national guidelines/protocols/standards for the management of cardiovasc | pub=WHO | desc: Existence of evidence-based national guidelines/protocols/standards for the management of cardiovascular diseases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1824] Estimate of daily cigarette smoking prevalence (%) (age-standardized) | pub=WHO | desc: Estimate of daily cigarette smoking prevalence (%) (age-standardized) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1825] Hypertension treatment coverage among adults aged 30-79 with hypertension, age-standardized (%) | pub=WHO | desc: Hypertension treatment coverage among adults aged 30-79 with hypertension, age-standardized (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1826] Foodborne years of life lost per 100 000, aged 5 years and above | pub=WHO | desc: Foodborne years of life lost per 100 000, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1827] Foodborne years lived with disability, aged 5 years and above | pub=WHO | desc: Foodborne years lived with disability, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1828] Tobacco Offer help: O1 Support for treatment of tobacco dependence / Availability of smoking cessati | pub=WHO | desc: Tobacco Offer help: O1 Support for treatment of tobacco dependence / Availability of smoking cessation support | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1829] Population pushed further below the $3.20 a day poverty line by household health expenditures (%, na | pub=WHO | desc: Population pushed further below the $3.20 a day poverty line by household health expenditures (%, national, rural, urban) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1830] Persons on chronic hepatitis B (HBV) treatment (number) | pub=WHO | desc: Persons on chronic hepatitis B (HBV) treatment (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1831] Percentage of TB-affected households facing costs >20% of household income or expenditure due to DR- | pub=WHO | desc: Percentage of TB-affected households facing costs >20% of household income or expenditure due to DR-TB. | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1832] Existence of a multi-stakeholder mechanism on health and climate change | pub=WHO | desc: Existence of a multi-stakeholder mechanism on health and climate change | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1833] Population with primary reliance on polluting fuels and technologies for cooking (in millions) | pub=WHO | desc: Population with primary reliance on polluting fuels and technologies for cooking (in millions) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1834] Dental prosthetic technicians (per 10 000 population) | pub=WHO | desc: Dental prosthetic technicians (per 10 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
