[1900] Tobacco Warning: W1a cigarette packaging health warnings | pub=WHO | desc: Tobacco Warning: W1a cigarette packaging health warnings | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1901] Prevalence of untreated caries of deciduous teeth in children 1-9 years (%) | pub=WHO | desc: Prevalence of untreated caries of deciduous teeth in children 1-9 years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1902] Foodborne years lived with disability per 100 000, aged less than 5 years | pub=WHO | desc: Foodborne years lived with disability per 100 000, aged less than 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1903] General availability of Fixed dose combination avail (telmisartan + amlodipine) in the public health | pub=WHO | desc: General availability of Fixed dose combination avail (telmisartan + amlodipine) in the public health sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1904] Substance use disorders service coverage, system of ongoing support for health workforce | pub=WHO | desc: Substance use disorders service coverage, system of ongoing support for health workforce | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1905] Affordability of cigarettes: category of change in the last 10 years (Yes (less affordable), No (mor | pub=WHO | desc: Affordability of cigarettes: category of change in the last 10 years (Yes (less affordable), No (more affordable), No change) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1906] Age range of latest youth prevalence survey (nonsmoked) | pub=WHO | desc: Age range of latest youth prevalence survey (nonsmoked) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1907] Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%) | pub=WHO | desc: Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1908] Cheapest breand of e-liquid contains nicotine or not | pub=WHO | desc: Cheapest breand of e-liquid contains nicotine or not | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1909] Household air pollution attributable DALYs in children under 15 years | pub=WHO | desc: Household air pollution attributable DALYs in children under 15 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1910] Total population pushed below a relative poverty line by household health expenditures - 60% of medi | pub=WHO | desc: Total population pushed below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, regional, global) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1911] Minimum specific excise tax applied on the beverage | pub=WHO | desc: Minimum specific excise tax applied on the beverage | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1912] Chronic hepatitis C (HCV) infected persons diagnosed, including cured (number) | pub=WHO | desc: Chronic hepatitis C (HCV) infected persons diagnosed, including cured (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1913] Existence of evidence-based national guidelines/protocols/standards for the management of overweight | pub=WHO | desc: Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1914] In-prison Hepatitis C diagnosis (number of diagnoses) | pub=WHO | desc: In-prison Hepatitis C diagnosis (number of diagnoses) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1915] Inflation-adjusted prices for most sold brand of cigarettes: Price in local currency adjusted by yea | pub=WHO | desc: Inflation-adjusted prices for most sold brand of cigarettes: Price in local currency adjusted by year on year changes in average consumer prices in each country | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1916] Mortality rate among children ages 10 to 14 years (per 1000 children aged 10) | pub=WHO | desc: Mortality rate among children ages 10 to 14 years (per 1000 children aged 10) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
