[2000] Tobacco Offer help: O2 Availability of tobacco cessation medications | pub=WHO | desc: Tobacco Offer help: O2 Availability of tobacco cessation medications | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2001] Measles immunization coverage among one-year-olds (%) | pub=WHO | desc: Measles immunization coverage among one-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2002] Existence of a national target on blood pressure / hypertension | pub=WHO | desc: Existence of a national target on blood pressure / hypertension | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2003] HIV tests performed where results were received by a person (testing volume), reporting period | pub=WHO | desc: HIV tests performed where results were received by a person (testing volume), reporting period | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2004] Persons on chronic hepatitis C (HCV) treatment, cumulative (number) | pub=WHO | desc: Persons on chronic hepatitis C (HCV) treatment, cumulative (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2005] Number of people diagnosed with new episode of pulmonary TB who are clinically diagnosed. | pub=WHO | desc: Number of people diagnosed with new episode of pulmonary TB who are clinically diagnosed. | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2006] Prevalence of severe periodontal disease in people 15+ year (%) | pub=WHO | desc: Prevalence of severe periodontal disease in people 15+ year (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2007] Substance use disorders service coverage, rehabilitation programmes | pub=WHO | desc: Substance use disorders service coverage, rehabilitation programmes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2008] Availability of public funding for assistive technology | pub=WHO | desc: Availability of public funding for assistive technology | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2009] If tiered on the beverage, the tiers are sugar-content-based | pub=WHO | desc: If tiered on the beverage, the tiers are sugar-content-based | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2010] Survey previous to the most recent school-based survey among adolescents was within the 5 years prio | pub=WHO | desc: Survey previous to the most recent school-based survey among adolescents was within the 5 years prior | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2011] In-prison people who regularly exercise for a minimum of 150 minutes/week (number of prisoners) | pub=WHO | desc: In-prison people who regularly exercise for a minimum of 150 minutes/week (number of prisoners) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2012] In-prison drug overdose mortality rate (per 100 000 incarcerated persons per year) | pub=WHO | desc: In-prison drug overdose mortality rate (per 100 000 incarcerated persons per year) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2013] Household air pollution attributable deaths in children under 15 years | pub=WHO | desc: Household air pollution attributable deaths in children under 15 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2014] Substance use disorders service coverage, governance progress | pub=WHO | desc: Substance use disorders service coverage, governance progress | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2015] Foodborne years lived with disability per 100 000, aged 5 years and above | pub=WHO | desc: Foodborne years lived with disability per 100 000, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2016] Standards and benchmarks for TB and vital registration system surveillance | pub=WHO | desc: Standards and benchmarks for TB and vital registration system surveillance | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2017] In-prison standardized process for adverse drug events | pub=WHO | desc: In-prison standardized process for adverse drug events | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2018] Estimate of current tobacco use prevalence (%) (age-standardized) | pub=WHO | desc: Estimate of current tobacco use prevalence (%) (age-standardized) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2019] Oral health screening for early detection of oral diseases | pub=WHO | desc: Oral health screening for early detection of oral diseases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2020] Climate change and health vulnerability and adaptation assessment conducted | pub=WHO | desc: Climate change and health vulnerability and adaptation assessment conducted | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2021] Existence of national radon action plan - Years covered | pub=WHO | desc: Existence of national radon action plan - Years covered | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2022] Per capita current health expenditure in PPP (oral health) | pub=WHO | desc: Per capita current health expenditure in PPP (oral health) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2023] Households with out-of-pocket payments greater than 40% of capacity to pay for health care (food, ho | pub=WHO | desc: Households with out-of-pocket payments greater than 40% of capacity to pay for health care (food, housing and utilities approach - developed by WHO/Europe) (%, national) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2024] Prevalence of cervical cancer screening  among women aged 30-49 years (%) | pub=WHO | desc: Prevalence of cervical cancer screening  among women aged 30-49 years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2025] Existence of national guidelines for physical activity for adults | pub=WHO | desc: Existence of national guidelines for physical activity for adults | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2026] Existence of evidence-based national guidelines/protocols/standards for the management of diabetes | pub=WHO | desc: Existence of evidence-based national guidelines/protocols/standards for the management of diabetes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2027] Number of people protected from malaria by indoor residual spraying (IRS) | pub=WHO | desc: Number of people protected from malaria by indoor residual spraying (IRS) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2028] In-prison diabetes mellitus diagnosis (number of diagnoses) | pub=WHO | desc: In-prison diabetes mellitus diagnosis (number of diagnoses) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2029] Prevalence of active syphilis in 15-49 year olds (%) | pub=WHO | desc: Prevalence of active syphilis in 15-49 year olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
