[2100] Compliance with ban on advertising at point of sale (score) | pub=WHO | desc: Compliance with ban on advertising at point of sale (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2101] Hypertension among adults aged 30-79 years, prevalence, crude | pub=WHO | desc: Hypertension among adults aged 30-79 years, prevalence, crude | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2102] ≥70% of total antibiotic use being from WHO AWaRe Access group antibiotics (70% Access target) | pub=WHO | desc: ≥70% of total antibiotic use being from WHO AWaRe Access group antibiotics (70% Access target) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2103] Number of malaria suspects examined by rapid diagnostic test (RDT) | pub=WHO | desc: Number of malaria suspects examined by rapid diagnostic test (RDT) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2104] Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB  | pub=WHO | desc: Percentage of TB-affected households facing costs >20% of household income or expenditure due to TB among Q4 income or expenditure quantile. | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2105] General availability of Fixed dose combination avail (telmisartan + hydrochlorothiazide) in the publ | pub=WHO | desc: General availability of Fixed dose combination avail (telmisartan + hydrochlorothiazide) in the public health sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2106] Designation of a focal point responsible for health and climate change within the Ministry of Health | pub=WHO | desc: Designation of a focal point responsible for health and climate change within the Ministry of Health | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2107] Existence of tax on foods high in fat, sugars or salt | pub=WHO | desc: Existence of tax on foods high in fat, sugars or salt | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2108] Has conducted a recent, national adult risk factor survey covering raised blood pressure/hypertensio | pub=WHO | desc: Has conducted a recent, national adult risk factor survey covering raised blood pressure/hypertension | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2109] xxxxx for deletion: (child underweight, see NUTUNDERWEIGHTPREV) | pub=WHO | desc: xxxxx for deletion: (child underweight, see NUTUNDERWEIGHTPREV) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2110] Care-seeking by type of patient and source of care (%) (see CARE_SOURCE) | pub=WHO | desc: Care-seeking by type of patient and source of care (%) (see CARE_SOURCE) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2111] Oral health interventions as part of health benefit packages: Advanced curative oral health care | pub=WHO | desc: Oral health interventions as part of health benefit packages: Advanced curative oral health care | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2112] Existence of evidence-based national guidelines/protocols/standards for the management of cancer | pub=WHO | desc: Existence of evidence-based national guidelines/protocols/standards for the management of cancer | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
