[2200] Existence of national guidelines for physical activity | pub=WHO | desc: Existence of national guidelines for physical activity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2201] Existence of national policies on saturated fatty acids / trans-fats | pub=WHO | desc: Existence of national policies on saturated fatty acids / trans-fats | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2202] Chronic hepatitis C (HCV) cumulative treatment rate as percentage of total infected, including cured | pub=WHO | desc: Chronic hepatitis C (HCV) cumulative treatment rate as percentage of total infected, including cured  (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2203] General availability of alteplase for acute stroke management in the public health system | pub=WHO | desc: General availability of alteplase for acute stroke management in the public health system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2204] Prevalence of current e-cigarette use among adolescents (%) | pub=WHO | desc: Prevalence of current e-cigarette use among adolescents (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2205] Total population pushed below the $2.15 a day poverty line by household health expenditures (million | pub=WHO | desc: Total population pushed below the $2.15 a day poverty line by household health expenditures (millions, regional, global) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2206] Tobacco tax administration: Sales of duty (or excise) free cigarettes banned | pub=WHO | desc: Tobacco tax administration: Sales of duty (or excise) free cigarettes banned | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2207] Overall compliance with regulations on smoke-free environments (score) | pub=WHO | desc: Overall compliance with regulations on smoke-free environments (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2208] Men who have sex with men: Syphilis prevalence (percent) | pub=WHO | desc: Men who have sex with men: Syphilis prevalence (percent) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2209] Total expenditure on dental healthcare in million (US$) | pub=WHO | desc: Total expenditure on dental healthcare in million (US$) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2210] Tobacco tax structure: A minimum price policy is implemented | pub=WHO | desc: Tobacco tax structure: A minimum price policy is implemented | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2211] In-prison active drug use diagnosis (number of diagnoses) | pub=WHO | desc: In-prison active drug use diagnosis (number of diagnoses) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2212] Substance use disorders service coverage, access to medicine progress | pub=WHO | desc: Substance use disorders service coverage, access to medicine progress | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2213] Alcohol, heavy continuous drinkers, drinkers only, past year (%) | pub=WHO | desc: Alcohol, heavy continuous drinkers, drinkers only, past year (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2214] Substance use disorders service coverage, pharmacological treatment services progress | pub=WHO | desc: Substance use disorders service coverage, pharmacological treatment services progress | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2215] Foodborne disability-adjusted life years per 100 000, all ages | pub=WHO | desc: Foodborne disability-adjusted life years per 100 000, all ages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2216] Exclusive breastfeeding under six months (in thousands) | pub=WHO | desc: Exclusive breastfeeding under six months (in thousands) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2217] Incident cases of trichomoniasis in individuals (per 1000) | pub=WHO | desc: Incident cases of trichomoniasis in individuals (per 1000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2218] Total population pushed below the $3.65 a day poverty line by household health expenditures (%, regi | pub=WHO | desc: Total population pushed below the $3.65 a day poverty line by household health expenditures (%, regional, global) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2219] People living with HIV who inject drugs, diagnosed with chronic hepatitis C infection (percent) | pub=WHO | desc: People living with HIV who inject drugs, diagnosed with chronic hepatitis C infection (percent) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2220] Poverty Headcount ($1.90 a day) | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income (in 2011 PPP) below the poverty line. | cols: country, date, value, indicator | tags: Poverty 
[2221] Poverty Headcount ($2.50 a day) | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line. | cols: country, date, value, indicator | tags: Poverty 
[2222] Middle Class ($10-50 a day) Headcount | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line. | cols: country, date, value, indicator | tags: Poverty 
[2223] Official Moderate Poverty Rate-National | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income below the official poverty line developed by each country. | cols: country, date, value, indicator | tags: Poverty 
[2224] Poverty Headcount ($4 a day) | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line. | cols: country, date, value, indicator | tags: Poverty 
[2225] Vulnerable ($4-10 a day) Headcount | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line. | cols: country, date, value, indicator | tags: Poverty 
[2226] Poverty Gap ($1.90 a day) | pub=World Bank | desc: The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to t | cols: country, date, value, indicator | tags: Poverty 
[2227] Poverty Gap ($2.50 a day) | pub=World Bank | desc: The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to t | cols: country, date, value, indicator | tags: Poverty 
[2228] Poverty Gap ($4 a day) | pub=World Bank | desc: The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to t | cols: country, date, value, indicator | tags: Poverty 
[2229] Poverty Severity ($1.90 a day) | pub=World Bank | desc: The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line | cols: country, date, value, indicator | tags: Poverty 
[2230] Poverty Severity ($2.50 a day) | pub=World Bank | desc: The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line | cols: country, date, value, indicator | tags: Poverty 
[2231] Poverty Severity ($4 a day) | pub=World Bank | desc: The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line | cols: country, date, value, indicator | tags: Poverty 
[2232] Poverty Headcount ($1.90 a day)-Rural | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income (in 2011 PPP) below the poverty line. | cols: country, date, value, indicator | tags: Poverty 
[2233] Poverty Headcount ($2.50 a day)-Rural | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line. | cols: country, date, value, indicator | tags: Poverty 
[2234] Middle Class ($10-50 a day) Headcount-Rural | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line. | cols: country, date, value, indicator | tags: Poverty 
[2235] Official Moderate Poverty Rate- Rural | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income below the official poverty line developed by each country. | cols: country, date, value, indicator | tags: Poverty 
[2236] Poverty Headcount ($4 a day)-Rural | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line. | cols: country, date, value, indicator | tags: Poverty 
[2237] Vulnerable ($4-10 a day) Headcount-Rural | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line. | cols: country, date, value, indicator | tags: Poverty 
[2238] Poverty Gap ($1.90 a day)-Rural | pub=World Bank | desc: The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to t | cols: country, date, value, indicator | tags: Poverty 
[2239] Poverty Gap ($2.50 a day)-Rural | pub=World Bank | desc: The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to t | cols: country, date, value, indicator | tags: Poverty 
[2240] Poverty Gap ($4 a day)-Rural | pub=World Bank | desc: The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to t | cols: country, date, value, indicator | tags: Poverty 
[2241] Poverty Severity ($1.90 a day)-Rural | pub=World Bank | desc: The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line | cols: country, date, value, indicator | tags: Poverty 
[2242] Poverty Severity ($2.50 a day)-Rural | pub=World Bank | desc: The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line | cols: country, date, value, indicator | tags: Poverty 
[2243] Poverty Severity ($4 a day)-Rural | pub=World Bank | desc: The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line | cols: country, date, value, indicator | tags: Poverty 
[2244] Access to electricity (% of total population) | pub=World Bank | desc: Access to electricity is the percentage of population with access to electricity. | cols: country, date, value, indicator
[2245] Total final energy consumption (TFEC) | pub=World Bank | desc: Total final energy consumption (TFEC): This indicator is derived form energy balances statistics and is equivalent to total final consumption excluding non-energy use. | cols: country, date, value, indicator
[2246] Literacy rate, youth total (% of people ages 15-24)  | pub=World Bank | desc: The number of persons aged 15 to 24 years who can both read and write with understanding a short simple statement on their everyday life, divided by the population in that age group. Generally, ‘liter | cols: country, date, value, indicator
[2247] Poverty Headcount ($1.90 a day)-Urban | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income (in 2011 PPP) below the poverty line. | cols: country, date, value, indicator | tags: Poverty 
[2248] Poverty Headcount ($2.50 a day)-Urban | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line. | cols: country, date, value, indicator | tags: Poverty 
[2249] Middle Class ($10-50 a day) Headcount-Urban | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line. | cols: country, date, value, indicator | tags: Poverty 
[2250] Official Moderate Poverty Rate-Urban | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income below the official poverty line developed by each country. | cols: country, date, value, indicator | tags: Poverty 
[2251] Poverty Headcount ($4 a day)-Urban | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line. | cols: country, date, value, indicator | tags: Poverty 
[2252] Vulnerable ($4-10 a day) Headcount-Urban | pub=World Bank | desc: The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line. | cols: country, date, value, indicator | tags: Poverty 
[2253] Poverty Gap ($1.90 a day)-Urban | pub=World Bank | desc: The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to t | cols: country, date, value, indicator | tags: Poverty 
[2254] Poverty Gap ($2.50 a day)-Urban | pub=World Bank | desc: The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to t | cols: country, date, value, indicator | tags: Poverty 
[2255] Poverty Gap ($4 a day)-Urban | pub=World Bank | desc: The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to t | cols: country, date, value, indicator | tags: Poverty 
[2256] Poverty Severity ($1.90 a day)-Urban | pub=World Bank | desc: The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line | cols: country, date, value, indicator | tags: Poverty 
[2257] Poverty Severity ($2.50 a day)-Urban | pub=World Bank | desc: The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line | cols: country, date, value, indicator | tags: Poverty 
[2258] Poverty Severity ($4 a day)-Urban | pub=World Bank | desc: The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line | cols: country, date, value, indicator | tags: Poverty 
[2259] Access to electricity (% of rural population) | pub=World Bank | desc: Access to electricity is the percentage of rural population with access to electricity.  | cols: country, date, value, indicator
[2260] Access to electricity (% of urban population) | pub=World Bank | desc: Access to electricity is the percentage of total population with access to electricity.  | cols: country, date, value, indicator
[2261] Coverage: Mobile Phone | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2262] Coverage: Electricity | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2263] Coverage: Finished Primary School | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Education 
[2264] Coverage: Internet  | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2265] Coverage: Mathematics Proficiency Level 2 | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2266] Coverage: Mathematics Proficiency Level 2, Private schools | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2267] Coverage: Mathematics Proficiency Level 2, Public schools | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2268] Coverage: Mathematics Proficiency Level 3 | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2269] Coverage: Mathematics Proficiency Level 3, Private schools | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2270] Coverage: Mathematics Proficiency Level 3, Public schools | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2271] Coverage: Reading Proficiency Level 2 | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2272] Coverage: Reading Proficiency Level 2, Private schools | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2273] Coverage: Reading Proficiency Level 2, Public schools | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2274] Coverage: Reading Proficiency Level 3 | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2275] Coverage: Reading Proficiency Level 3, Private schools | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2276] Coverage: Reading Proficiency Level 3, Public schools | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2277] Coverage: Sanitation | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2278] Coverage: School Enrollment | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2279] Coverage: Science Proficiency Level 2 | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2280] Coverage: Science Proficiency Level 2, Private schools | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2281] Coverage: Science Proficiency Level 2, Public schools | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2282] Coverage: Science Proficiency Level 3 | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2283] Coverage: Science Proficiency Level 3, Private schools | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2284] Coverage: Science Proficiency Level 3, Public schools | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2285] Coverage: Water | pub=World Bank | desc: The coverage rate is the childhood access rate of a given opportunity used in calculating the Human Opportunities Index (HOI). The coverage rate does not take into account inequality of access between | cols: country, date, value, indicator | tags: Poverty 
[2286] HOI: Mobile Phone | pub=World Bank | desc: The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account th | cols: country, date, value, indicator | tags: Poverty 
[2287] HOI: Electricity | pub=World Bank | desc: The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account th | cols: country, date, value, indicator | tags: Poverty 
[2288] HOI: Finished Primary School | pub=World Bank | desc: The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account th | cols: country, date, value, indicator | tags: Education 
[2289] HOI: Internet  | pub=World Bank | desc: The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account th | cols: country, date, value, indicator | tags: Poverty 
[2290] HOI: Mathematics Proficiency Level 2 | pub=World Bank | desc: The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account th | cols: country, date, value, indicator | tags: Poverty 
[2291] HOI: Mathematics Proficiency Level 2, Private schools | pub=World Bank | desc: The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account th | cols: country, date, value, indicator | tags: Poverty 
[2292] HOI: Mathematics Proficiency Level 2, Public schools | pub=World Bank | desc: The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account th | cols: country, date, value, indicator | tags: Poverty 
[2293] HOI: Mathematics Proficiency Level 3 | pub=World Bank | desc: The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account th | cols: country, date, value, indicator | tags: Poverty 
[2294] HOI: Mathematics Proficiency Level 3, Private schools | pub=World Bank | desc: The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account th | cols: country, date, value, indicator | tags: Poverty 
[2295] HOI: Mathematics Proficiency Level 3, Public schools | pub=World Bank | desc: The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account th | cols: country, date, value, indicator | tags: Poverty 
[2296] HOI: Reading Proficiency Level 2 | pub=World Bank | desc: The Human Opportunities Index (HOI) is an economic indicator that captures the degree of inequality of access to an essential service by different circumstance groups. This index takes into account th | cols: country, date, value, indicator | tags: Poverty 
