[6100] WBL: Supportive Framework, Safety, There are mechanisms to facilitate access to justice for cases of | pub=World Bank | desc: The indicator assesses whether: (1) there are special police or prosecutorial units; (2) there are courts or procedures on violence against women; (2) there is legal aid provided for cases of violence | cols: country, date, value, indicator
[6101] WBL: Supportive Framework, Safety, There is an institutional mechanism to monitor the implementation | pub=World Bank | desc: The indicator assesses  whether the following is established: (1) a specific government mechanism or agency that oversees the implementation of legislation and policies on violence against women; and  | cols: country, date, value, indicator
[6102] WBL: Supportive Framework, Safety, The government provides or funds services for women affected by v | pub=World Bank | desc: The indicator assesses whether the following services exist for women affected by violence: (1) shelters; (2) health services; (3) psychological services; (4) livelihood support services. Partial scor | cols: country, date, value, indicator
[6103] WBL: Supportive Framework, Safety, Score (scale 0-100) | pub=World Bank | desc: The Safety topic supportive frameworks score examines policies and practices that support the implementation of gender-based violence legislation, including the existence of action plans or strategies | cols: country, date, value, indicator
[6104] WBL: Enforcement Perceptions, Work, Public authorities enforce existing legislation allowing employe | pub=World Bank | desc: The indicator assesses expert perceptions of the extent to which public authorities enforce existing legislation allowing employees to request flexible work in practice. Experts rate enforcement on a  | cols: country, date, value, indicator
[6105] WBL: Enforcement Perceptions, Work, Public authorities enforce existing legislation prohibiting disc | pub=World Bank | desc: The indicator assesses expert perceptions of the extent to which public authorities enforce existing legislation prohibiting discrimination in recruitment based on marital status, parental status, or  | cols: country, date, value, indicator
[6106] WBL: Enforcement Perceptions, Work, Public authorities enforce a woman's right to get a job in the s | pub=World Bank | desc: The indicator assesses expert perceptions of the extent to which public authorities enforce a woman's right to get a job in the same way as a man in practice. Experts rate enforcement on a five-point  | cols: country, date, value, indicator
[6107] WBL: Enforcement Perceptions, Work, Public authorities enforce existing legislation prohibiting disc | pub=World Bank | desc: The indicator assesses expert perceptions of the extent to which public authorities enforce existing legislation prohibiting discrimination in employment based on gender in practice. Experts rate enfo | cols: country, date, value, indicator
[6108] WBL: Enforcement Perceptions, Work, Score (scale 0-100) | pub=World Bank | desc: The Work topic enforcement perception score measures the extent to which laws related to a woman's decision to enter and remain in the labor force are enforced in practice or the consequent rights are | cols: country, date, value, indicator
[6109] WBL: Legal Framework, Work, The law allows women to get a job in the same way as a man | pub=World Bank | desc: The indicator assesses whether: (1) there are no restrictions on a woman’s legal capacity and ability to get a job or pursue a trade or profession; AND (2) the law does not mandate that a woman must s | cols: country, date, value, indicator
[6110] WBL: Legal Framework, Work, The law prohibits discrimination in employment based on gender | pub=World Bank | desc: The indicator assesses whether: (1) the law prohibits employers from discriminating based on gender, or the law mandates equal treatment of women and men in employment; AND (2) the law does not prohib | cols: country, date, value, indicator
[6111] WBL: Legal Framework, Work, The law prohibits discrimination in recruitment based on marital status, | pub=World Bank | desc: The indicator assesses whether the law prohibits discrimination in recruitment based on the following: (1) marital status; (2) parental status; and (3) age. Partial score of 0.33  is assigned to each  | cols: country, date, value, indicator
[6112] WBL: Legal Framework, Work, The law allows employees to request flexible work | pub=World Bank | desc: The indicator assesses whether the law allows employees to request flexibility regarding the following: (1) time of work; (2) place of work. Partial score of 0.5  is assigned to each of the two underl | cols: country, date, value, indicator
[6113] WBL: Legal Framework, Work, Score (scale 0-100) | pub=World Bank | desc: The Work legal frameworks topic score measures laws protecting against discrimination based on gender in recruitment and employment and laws providing flexible work arrangements. It is divided into fo | cols: country, date, value, indicator
[6114] WBL: Supportive Framework, Work, A specialized body receives complaints about gender discrimination  | pub=World Bank | desc: The indicator assesses whether: (1) an specialized and independent body has a mandate to receive, adjudicate, or refer to the competent courts, complaints made by public and private actors related to  | cols: country, date, value, indicator
[6115] WBL: Supportive Framework, Work, The government provides instructional resources for the private sec | pub=World Bank | desc: The indicator assesses whether a public entity has provided instructional resources to private sector employers with information on how to implement flexible work arrangements. Score = 1 if condition  | cols: country, date, value, indicator
[6116] WBL: Supportive Framework, Work, A national government plan or strategy focuses on women's access to | pub=World Bank | desc: The indicator assesses whether there exist a national government plan or strategy which includes the following: (1) measures to increase women’s access to the labor market; (2) institutional arrangeme | cols: country, date, value, indicator
[6117] WBL: Supportive Framework, Work, The government provides awareness-raising measures on fair recruitm | pub=World Bank | desc: The indicator assesses whether: (1) a public entity has introduced awareness-raising measures or published other instructional resources; information provided by a private or nongovernmental agency is | cols: country, date, value, indicator
[6118] WBL: Supportive Framework, Work, Score (scale 0-100) | pub=World Bank | desc: The Work supportive frameworks topic score examines policies and practices that support the implementation of laws related to the workplace, including the existence of institutions to receive complain | cols: country, date, value, indicator
[6119] Government Effectiveness: Estimate | pub=World Bank | desc: The Worldwide Governance Indicators (WGI) are a research dataset summarizing the views on the quality of governance provided by a large number of enterprise, citizen and expert survey respondents in i | cols: country, date, value, indicator | tags: Public Sector 
[6120] Government Effectiveness: Number of Sources | pub=World Bank | desc: The Worldwide Governance Indicators (WGI) are a research dataset summarizing the views on the quality of governance provided by a large number of enterprise, citizen and expert survey respondents in i | cols: country, date, value, indicator | tags: Public Sector 
[6121] Government Effectiveness: Percentile Rank | pub=World Bank | desc: The Worldwide Governance Indicators (WGI) are a research dataset summarizing the views on the quality of governance provided by a large number of enterprise, citizen and expert survey respondents in i | cols: country, date, value, indicator | tags: Public Sector 
[6122] Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval | pub=World Bank | desc: The Worldwide Governance Indicators (WGI) are a research dataset summarizing the views on the quality of governance provided by a large number of enterprise, citizen and expert survey respondents in i | cols: country, date, value, indicator | tags: Public Sector 
[6123] Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval | pub=World Bank | desc: Good governance is essential for development. It helps countries improve economic growth, build human capital, and strengthen social cohesion. Empirical evidence shows a strong causal relationship bet | cols: country, date, value, indicator | tags: Public Sector 
[6124] Government Effectiveness: Standard Error | pub=World Bank | desc: The Worldwide Governance Indicators (WGI) are a research dataset summarizing the views on the quality of governance provided by a large number of enterprise, citizen and expert survey respondents in i | cols: country, date, value, indicator | tags: Public Sector 
[6125] Primary government expenditures as a proportion of original approved budget (%) | pub=World Bank | desc: Primary government expenditures as a proportion of original approved budget measures the extent to which aggregate budget expenditure outturn reflects the amount originally approved, as defined in gov | cols: country, date, value, indicator | tags: Public Sector 
[6126] Bank accounts per 1,000 adults | pub=World Bank | desc: For each country calculated as: 1,000*reported number of depositors/adult population in the reporting country. | cols: country, date, value, indicator | tags: Financial Sector 
[6127] Bank branches per 100,000 adults  | pub=World Bank | desc: For each country calculated as: 100,000*reported number of depositors/adult population in the reporting country. | cols: country, date, value, indicator | tags: Financial Sector 
[6128] Firms with a bank loan or line of credit (%) | pub=World Bank | desc: Percentage of firms in the formal sector with a line of credit or a loan from a formal financial institution, such as a bank, credit union, microfinance institution, or cooperative. | cols: country, date, value, indicator | tags: Financial Sector 
[6129] Small firms with a bank loan or line of credit (%) | pub=World Bank | desc: Percentage of small firms (5-19 workers) in the formal sector with a line of credit or a loan from a (formal) financial institution, such as a bank, credit union, microfinance institution, or cooperat | cols: country, date, value, indicator | tags: Financial Sector 
[6130] Account at a formal financial institution (% age 15+) | pub=World Bank | desc: The percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post off | cols: country, date, value, indicator | tags: Financial Sector 
[6131] Saved at a financial institution in the past year (% age 15+) | pub=World Bank | desc: The percentage of respondents who report saving or setting aside any money by using an account at a formal financial institution such as a bank, credit union, microfinance institution, or cooperative  | cols: country, date, value, indicator | tags: Financial Sector 
[6132] Loan from a financial institution in the past year (% age 15+) | pub=World Bank | desc: The percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (% age 15 | cols: country, date, value, indicator | tags: Financial Sector 
[6133] Account used for business purposes (% age 15+) | pub=World Bank | desc:  The percentage of respondents who report using their accounts at a formal financial institution for business purposes only or for both business purposes and personal transactions (% age 15+). | cols: country, date, value, indicator | tags: Financial Sector 
[6134] Account used to receive government payments (% age 15+) | pub=World Bank | desc:  The percentage of respondents who report using their accounts at a formal financial institution to receive money or payments from the government in the past 12 months (% age 15+). | cols: country, date, value, indicator | tags: Financial Sector 
[6135] Account used to receive remittances (% age 15+) | pub=World Bank | desc:  The percentage of respondents who report using their accounts at a formal financial institution to receive money from family members living elsewhere in the past 12 months (% age 15+). | cols: country, date, value, indicator | tags: Financial Sector 
[6136] Account used to receive wages (% age 15+) | pub=World Bank | desc:  The percentage of respondents who report using their accounts at a formal financial institution to receive money or payments for work or from selling goods in the past 12 months (% age 15+). | cols: country, date, value, indicator | tags: Financial Sector 
[6137] Saved any money in the past year (% age 15+) | pub=World Bank | desc:  The percentage of respondents who report saving or setting aside any money in the past 12 months (% age 15+). | cols: country, date, value, indicator | tags: Financial Sector 
[6138] Saved using a savings club in the past year (% age 15+) | pub=World Bank | desc:  The percentage of respondents who report saving or setting aside any money by using an informal savings club or a person outside the family in the past 12 months (% age 15+). | cols: country, date, value, indicator | tags: Financial Sector 
[6139] Loan in the past year (% age 15+) | pub=World Bank | desc:  The percentage of respondents who borrowed any money in the past 12 months from any of the following sources: a formal financial institution, a store by using installment credit, family or friends, e | cols: country, date, value, indicator | tags: Financial Sector 
[6140] Loan from a private lender in the past year (% age 15+) | pub=World Bank | desc:  The percentage of respondents who report borrowing any money from a private lender in the past 12 months (% age 15+). | cols: country, date, value, indicator | tags: Financial Sector 
[6141] Loan from an employer in the past year (% age 15+) | pub=World Bank | desc:  The percentage of respondents who report borrowing any money from an employer in the past 12 months (% age 15+). | cols: country, date, value, indicator | tags: Financial Sector 
[6142] Loan through store credit in the past year (% age 15+) | pub=World Bank | desc:  The percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (% age 15+). | cols: country, date, value, indicator | tags: Financial Sector 
[6143] Loan from family or friends in the past year (% age 15+) | pub=World Bank | desc:  The percentage of respondents who report borrowing any money from family or friends in the past 12 months (% age 15+). | cols: country, date, value, indicator | tags: Financial Sector 
[6144] Checks used to make payments (% age 15+) | pub=World Bank | desc: The percentage of respondents who used checks in the past 12 months to make payments on bills or to buy things using money from their accounts (% age 15+). | cols: country, date, value, indicator | tags: Financial Sector 
[6145] Credit card (% age 15+) | pub=World Bank | desc: The percentage of respondents with a credit card (% age 15+). | cols: country, date, value, indicator | tags: Financial Sector 
[6146] Debit card (% age 15+) | pub=World Bank | desc: The percentage of respondents with a debit card (% age 15+). | cols: country, date, value, indicator | tags: Financial Sector 
[6147] Electronic payments used to make payments (% age 15+) | pub=World Bank | desc: The percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payme | cols: country, date, value, indicator | tags: Financial Sector 
[6148] Mobile phone used to pay bills (% age 15+) | pub=World Bank | desc: The percentage of respondents who report using a mobile phone to pay bills in the past 12 months (% age 15+).  | cols: country, date, value, indicator | tags: Financial Sector 
[6149] Mobile phone used to send money (% age 15+) | pub=World Bank | desc: The percentage of respondents who report using a mobile phone to send money in the past 12 months (% age 15+). | cols: country, date, value, indicator | tags: Financial Sector 
[6150] ATMs per 100,000 adults | pub=World Bank | desc: For each country calculated as: 100,000*Number of ATMs/adult population in the reporting country. | cols: country, date, value, indicator | tags: Financial Sector 
[6151] Depositing/withdrawing at least once in a typical month (% age 15+) | pub=World Bank | desc: Adults depositing/withdrawing at least once in a typical month (% age 15+). It is calculated as follows: (100 - "0 deposits/withdrawals in typical month (% with an account,  age 15+)" ) * ("Account at | cols: country, date, value, indicator | tags: Financial Sector 
[6152] Firms with a checking or savings account (%) | pub=World Bank | desc: Percentage of firms with a checking or savings account. | cols: country, date, value, indicator | tags: Financial Sector 
[6153] Firms using banks to finance investments (%) | pub=World Bank | desc: Percentage of firms using banks to finance purchases of fixed assets. | cols: country, date, value, indicator | tags: Financial Sector 
[6154] Firms using banks to finance working capital (%) | pub=World Bank | desc: Percentage of firms using bank loans to finance working capital. | cols: country, date, value, indicator | tags: Financial Sector 
[6155] Loans requiring collateral (%) | pub=World Bank | desc: Percentage of loans where a formal financial institution requires collateral in order to provide the financing. | cols: country, date, value, indicator | tags: Financial Sector 
[6156] Value of collateral needed for a loan (% of the loan amount) | pub=World Bank | desc: Value of collateral needed by a formal financial institution for a loan or line of credit as a percentage of the loan value or the value of the line of credit. | cols: country, date, value, indicator | tags: Financial Sector 
[6157] Firms not needing a loan (%) | pub=World Bank | desc: Percent of firms that did not apply for a loan in the last fiscal year because they did not need a loan. The denominator is the sum of all firms who applied and did not apply for a loan. The numerator | cols: country, date, value, indicator | tags: Financial Sector 
[6158] Firms whose recent loan application was rejected (%) | pub=World Bank | desc: Percent of firms whose most recent loan application was rejected by a formal financial institution. | cols: country, date, value, indicator | tags: Financial Sector 
[6159] Investments financed by banks (%) | pub=World Bank | desc: Estimated proportion of purchases of fixed assets that was financed from bank loans. | cols: country, date, value, indicator | tags: Financial Sector 
[6160] Working capital financed by banks (%) | pub=World Bank | desc: Proportion of the working capital that was financed by bank loans. | cols: country, date, value, indicator | tags: Financial Sector 
[6161] Firms identifying access to finance as a major constraint (%) | pub=World Bank | desc: Percentage of firms identifying access/cost of finance as a "major" or "very severe" obstacle. | cols: country, date, value, indicator | tags: Financial Sector 
[6162] Value traded excluding top 10 traded companies to total value traded (%) | pub=World Bank | desc: Value of all traded shares outside of the top ten largest traded companies as a share of total value of all traded shares in a stock market exchange. WFE provides data on the exchange level. This vari | cols: country, date, value, indicator | tags: Financial Sector 
[6163] Market capitalization excluding top 10 companies to total market capitalization (%) | pub=World Bank | desc: Value of listed shares outside of the top ten largest companies to total value of all listed shares.  | cols: country, date, value, indicator | tags: Financial Sector 
[6164] Nonfinancial corporate bonds to total bonds and notes outstanding (%) | pub=World Bank | desc: Total amount of domestic nonfinancial corporate bonds and notes outstanding (BIS Table 16B) to total amount of domestic bonds and notes outstanding, both corporate and noncorporate (BIS Table 16A). | cols: country, date, value, indicator | tags: Financial Sector 
[6165] Private credit by deposit money banks to GDP (%) | pub=World Bank | desc: Private credit by deposit money banks and other financial institutions to GDP, calculated using the following deflation method:  {(0.5)*[Ft/P_et + Ft-1/P_et-1]}/[GDPt/P_at] where F is credit to the pr | cols: country, date, value, indicator | tags: Financial Sector 
[6166] Deposit money banks'' assets to GDP (%) | pub=World Bank | desc: Claims on domestic real nonfinancial sector by deposit money banks as a share of GDP, calculated using the following deflation method:  {(0.5)*[Ft/P_et + Ft-1/P_et-1]}/[GDPt/P_at] where F is deposit m | cols: country, date, value, indicator | tags: Financial Sector 
[6167] Nonbank financial institutions’ assets to GDP (%) | pub=World Bank | desc: Claims on domestic real nonfinancial sector by other financial institutions as a share of GDP, calculated using the following deflation method: {(0.5)*[Ft/P_et + Ft-1/P_et-1]}/[GDPt/P_at]  where F is  | cols: country, date, value, indicator | tags: Financial Sector 
[6168] Deposit money bank assets to deposit money bank assets and central bank assets (%) | pub=World Bank | desc: Raw data are from the electronic version of the IMF's International Financial Statistics (IFS lines 12 and 22, a-d). | cols: country, date, value, indicator | tags: Financial Sector 
[6169] Liquid liabilities to GDP (%) | pub=World Bank | desc: Ratio of liquid liabilities to GDP, calculated using the following deflation method: {(0.5)*[Ft/P_et + Ft-1/P_et-1]}/[GDPt/P_at] where F is liquid liabilities, P_e is end-of period CPI, and P_a is ave | cols: country, date, value, indicator | tags: Financial Sector 
[6170] Central bank assets to GDP (%) | pub=World Bank | desc: Claims on domestic real nonfinancial sector by the Central Bank as a share of GDP, calculated using the following deflation method:  {(0.5)*[Ft/P_et + Ft-1/P_et-1]}/[GDPt/P_at] where F is Central Bank | cols: country, date, value, indicator | tags: Financial Sector 
[6171] Mutual fund assets to GDP (%) | pub=World Bank | desc: Data taken from a variety of sources such as Investment Company Institute and national sources. | cols: country, date, value, indicator | tags: Financial Sector 
[6172] Financial system deposits to GDP (%) | pub=World Bank | desc: Demand, time and saving deposits in deposit money banks and other financial institutions as a share of GDP, calculated using the following deflation method:  {(0.5)*[Ft/P_et + Ft-1/P_et-1]}/[GDPt/P_at | cols: country, date, value, indicator | tags: Financial Sector 
[6173] Life insurance premium volume to GDP (%) | pub=World Bank | desc: Premium data is taken from various issues of Sigma reports (Swiss Re). Data on GDP in US dollars is from the electronic version of the World Development Indicators. | cols: country, date, value, indicator | tags: Financial Sector 
[6174] Non-life insurance premium volume to GDP (%) | pub=World Bank | desc: Premium data is taken from various issues of Sigma reports (Swiss Re). Data on GDP in US dollars is from the electronic version of the World Development Indicators. | cols: country, date, value, indicator | tags: Financial Sector 
[6175] Insurance company assets to GDP (%) | pub=World Bank | desc: Data taken from a variety of sources such as AXCO and national sources. | cols: country, date, value, indicator | tags: Financial Sector 
[6176] Private credit by deposit money banks and other financial institutions to GDP (%) | pub=World Bank | desc: Private credit by deposit money banks and other financial institutions to GDP, calculated using the following deflation method:  {(0.5)*[Ft/P_et + Ft-1/P_et-1]}/[GDPt/P_at] where F is credit to the pr | cols: country, date, value, indicator | tags: Financial Sector 
[6177] Pension fund assets to GDP (%) | pub=World Bank | desc: Ratio of assets of pension funds to GDP. A pension fund is any plan, fund, or scheme that provides retirement income. Data taken from a variety of sources such as OECD, AIOS, FIAP and national sources | cols: country, date, value, indicator | tags: Financial Sector 
[6178] Domestic credit to private sector (% of GDP) | pub=World Bank | desc: Domestic credit to private sector refers to financial resources provided to the private sector, such as through loans, purchases of nonequity securities, and trade credits and other accounts receivabl | cols: country, date, value, indicator | tags: Financial Sector 
[6179] Stock market capitalization to GDP (%) | pub=World Bank | desc: Value of listed shares to GDP, calculated using the following deflation  method:  {(0.5)*[Ft/P_et + Ft-1/P_et-1]}/[GDPt/P_at] where F is stock market capitalization, P_e is end-of period CPI, and P_a  | cols: country, date, value, indicator | tags: Financial Sector 
[6180] Stock market total value traded to GDP (%) | pub=World Bank | desc: Total value of all traded shares in a stock market exchange as a percentage of GDP.  Following deflation method is use:  {(0.5)*[Ft/P_et + Ft-1/P_et-1]}/[GDPt/P_at] where F is stock market capitalizat | cols: country, date, value, indicator | tags: Financial Sector 
[6181] Outstanding domestic private debt securities to GDP (%) | pub=World Bank | desc: Total amount of domestic private debt securities (amounts outstanding) issued in domestic markets as a share of GDP. It covers data on long-term bonds and notes, commercial paper and other short-term  | cols: country, date, value, indicator | tags: Financial Sector 
[6182] Outstanding domestic public debt securities to GDP (%) | pub=World Bank | desc: Total amount of domestic public debt securities (amounts outstanding) issued in domestic markets as a share of GDP. It covers long-term bonds and notes, treasury bills, commercial paper and other shor | cols: country, date, value, indicator | tags: Financial Sector 
[6183] Outstanding international private debt securities to GDP (%) | pub=World Bank | desc: Amount of private international debt securities (amounts outstanding), as a share of GDP. It covers long-term bonds and notes and money market instruments placed on international markets. (Table 12A   | cols: country, date, value, indicator | tags: Financial Sector 
[6184] Outstanding international public debt securities to GDP (%) | pub=World Bank | desc: Amount of public international debt securities (amounts outstanding), as a share of GDP. It covers long-term bonds and notes and money market instruments placed on international markets. Table 12D (in | cols: country, date, value, indicator | tags: Financial Sector 
[6185] International debt issues to GDP (%) | pub=World Bank | desc: Total value of outstanding international debt issues both public and private, as a share of GDP. Offshore bank loan data from BIS Statistical Appendix Table 12A (Amount Outstanding): International deb | cols: country, date, value, indicator | tags: Financial Sector 
[6186] Gross portfolio equity liabilities to GDP (%) | pub=World Bank | desc: Ratio of gross portfolio equity liabilities to GDP. Equity liabilities include shares, stocks, participation, and similar documents (such as American depository receipts) that usually denote ownership | cols: country, date, value, indicator | tags: Financial Sector 
[6187] Gross portfolio equity assets to GDP (%) | pub=World Bank | desc: Ratio of gross portfolio equity assets to GDP. Equity assets include shares, stocks, participation, and similar documents (such as American depository receipts) that usually denote ownership of equity | cols: country, date, value, indicator | tags: Financial Sector 
[6188] Gross portfolio debt liabilities to GDP (%) | pub=World Bank | desc: Ratio of gross portfolio debt liabilities to GDP. Debt liabilities cover (1) bonds, debentures, notes, etc., and (2) money market or negotiable debt instruments. Raw data are from the electronic versi | cols: country, date, value, indicator | tags: Financial Sector 
[6189] Bank lending-deposit spread | pub=World Bank | desc: Raw data are from the electronic version of the IMF’s International Financial Statistics. Difference between lending rate and deposit rate. Lending rate is the rate charged by banks on loans to the pr | cols: country, date, value, indicator | tags: Financial Sector 
[6190] Credit to government and state-owned enterprises to GDP (%) | pub=World Bank | desc: Raw data are from the electronic version of the IMF’s International Financial Statistics. (IFS line 22A + line 22B + line 22C) / GDP. Local currency GDP is from IFS (line 99B..ZF or, if not available, | cols: country, date, value, indicator | tags: Financial Sector 
[6191] Stock market turnover ratio (%) | pub=World Bank | desc: Ratio of the value of total shares traded to average real market capitalization, the denominator is deflated using the following method:  Tt/P_at/{(0.5)*[Mt/P_et + Mt-1/P_et-1] where T is total value  | cols: country, date, value, indicator | tags: Financial Sector 
[6192] Bank deposits to GDP (%) | pub=World Bank | desc: Demand, time and saving deposits in deposit money banks as a share of GDP, calculated using the following deflation method: {(0.5)*[Ft/P_et + Ft-1/P_et-1]}/[GDPt/P_at] where F is demand and time and s | cols: country, date, value, indicator | tags: Financial Sector 
[6193] Liquid liabilities in millions USD (2000 constant) | pub=World Bank | desc: Raw data are from the electronic version of the IMF's International Financial Statistics. Liquid liabilities (IFS lines 55L..ZF or, if not available, line 35L..ZF); for Eurocurrency area countries (BE | cols: country, date, value, indicator | tags: Financial Sector 
[6194] Loans from nonresident banks (net) to GDP (%) | pub=World Bank | desc: Ratio of net offshore bank loans to GDP. An offshore bank is a bank located outside the country of residence of the depositor, typically in a low tax jurisdiction (or tax haven) that provides financia | cols: country, date, value, indicator | tags: Financial Sector 
