[9500] Poverty Gap reduction (%) -  All Private Transfers - 1st quintile (poorest) -urban | pub=World Bank | desc: Poverty gap reduction due to Private Transfers programs as % of pre-transfer poverty gap | cols: country, date, value, indicator
[9501] Adequacy of benefits in extreme poor (<$2.15 a day) (%) - Domestic Private Transfers (preT) | pub=World Bank | desc: Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group | cols: country, date, value, indicator | tags: Social Protection & Labor
[9502] Adequacy of benefits in extreme poor (<$2.15 a day) (%) - Domestic Private Transfers | pub=World Bank | desc: Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group | cols: country, date, value, indicator | tags: Social Protection & Labor
[9503] Adequacy of benefits (%) - Domestic Private Transfers -rural | pub=World Bank | desc: Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group | cols: country, date, value, indicator | tags: Social Protection & Labor
[9504] Adequacy of benefits (%) - Domestic Private Transfers | pub=World Bank | desc: Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group | cols: country, date, value, indicator | tags: Social Protection & Labor
[9505] Adequacy of benefits (%) - Domestic Private Transfers -urban | pub=World Bank | desc: Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group | cols: country, date, value, indicator | tags: Social Protection & Labor
[9506] Adequacy of benefits in 1st quintile (poorest) (%) - Domestic Private Transfers (preT) | pub=World Bank | desc: Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group | cols: country, date, value, indicator | tags: Social Protection & Labor
[9507] Adequacy of benefits in 1st quintile (poorest) (%) - Domestic Private Transfers -rural | pub=World Bank | desc: Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group | cols: country, date, value, indicator | tags: Social Protection & Labor
[9508] Adequacy of benefits in 1st quintile (poorest) (%) - Domestic Private Transfers | pub=World Bank | desc: Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group | cols: country, date, value, indicator | tags: Social Protection & Labor
[9509] Adequacy of benefits in 1st quintile (poorest) (%) - Domestic Private Transfers -urban | pub=World Bank | desc: Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group | cols: country, date, value, indicator | tags: Social Protection & Labor
[9510] Adequacy of benefits in 2nd quintile (%) - Domestic Private Transfers (preT) | pub=World Bank | desc: Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group | cols: country, date, value, indicator | tags: Social Protection & Labor
