[233] Pothole Claims Data 2014-2 | pub=City of Seattle | cols: Year, Annual pothole-related claims
[234] Improve The Health Of The Urban Forest Data TM | pub=City of Seattle | cols: Ratio of new trees planted to existing diseased or unsafe trees removed, Year
[236] AUG 2015 WMBE Purchasing Data Set | pub=City of Seattle | cols: Year, %
[237] Pedestrian Data (2015) | pub=City of Seattle | cols: Percentage Pedestrian Count Increase Since 2011, Year
[238] Q1 2016 Update CSB Telephone Response Time 60 Seconds Or Less 80  Of The TIme-2 | pub=City of Seattle | cols: % , Quarter
[239] Safe Routes To School Data TM | pub=City of Seattle | cols: % of public schools with Safe Routes to School projects, Month
[240] 4_MS_SGP_Main | pub=City of Seattle | cols: Year, Levy Funded
[241] Data Center Services - Details Uploaded 04-01-2016 | pub=City of Seattle | desc: Department Service Dashboard detailed information | cols: TimeResolv, RecvdTime, RecvdDate, ActionCategory, HTCodesAT, Unit, Yellow, Red, Green, ValueYellow
[242] Increase In Traveler Miles On Fair Or Better Pavement Data TM | pub=City of Seattle | cols: % increase in traveller miles on fair or better pavement due to Move Seattle, Month
[243] Arterial Pavement Condition Data By Year2013 | pub=City of Seattle | cols: Fair, Very Poor, Serious/Failed, Year, Satisfactory, Poor, Good
[245] Environment and Climate Change- Electric Vehicles | pub=City of Seattle | cols: Total Vehicles #, % EVs, Month, Total EVs, Projected % EVs to reach goal
[246] Freight Spot Improvements | pub=City of Seattle | cols: Accumulated number of freight spot improvements, Month
[247] Res Burg 12 Mo. Rolling AVG-2 Chart | pub=Seattle Police Department | cols: 12mth Rolling AVG, Month & Year, Total | tags: residential burglary, data, crime, spd
[248] wallpaper_banner | pub=City of Seattle | cols: title, image, New Test Description, description
[249] Pothole Repair Efficiency 2015 Q3 Data TM-2 | pub=City of Seattle | cols: % of Potholes Repaired within 3 Business Days, Month
[250] Priority Pedestrian Master Plan Completion Data TM | pub=City of Seattle | cols: % of priority pedestrian network completed, Month
[251] 6 - New Signals | pub=City of Seattle | cols: Month, Accumulated number of new signals installed
[252] Bus Ridership ( In- Seattle - 2015 Final) | pub=City of Seattle | cols: In-Seattle Bus Ridership (Avg. Weekday Boardings), Reporting Period
[253] SFD Fire Education 2011-2014 | pub=City of Seattle | cols: Date-text, Customer Contacts, Date
[254] Dummy 2016-2024 Spend-2 | pub=City of Seattle | cols: Month, 2016-2024 Move Seattle levy money spent to date ($M)
[255] 4 - Traffic Signals Maintained | pub=City of Seattle | cols: Accumulated number of traffic signals maintained, Month
[257] MCPP 2016 | pub=City of Seattle | cols: Q3 2016, Q2 2016, Themes, Q4 0216, Precinct, Updated , MCPP , Strategy, Priority
[258] Project Delivery Data (2016 10) | pub=City of Seattle | cols: % of capital projects currently on time and on budget, Month
[259] Protected Bike Lanes | pub=City of Seattle | cols: Month, Accumulated miles of protected bike lanes built
[260] City Wide Bike Network-2 | pub=City of Seattle | cols: Month, % of citywide bike network completed
[261] Q4 2014 Update SAS Companion Animal Save Rate | pub=City of Seattle | cols: Quarter, Date, %
[262] Corridors With Optimal Signal Timing-2 | pub=City of Seattle | cols: Accumulated number of corridors with optimized signal timing completed in 2016, Month
[263] Traffic Signals Maintained-2 | pub=City of Seattle | cols: Month, Accumulated number of traffic signals maintained
[264] Project Delivery Data (2016 07)-2 | pub=City of Seattle | cols: Month, % of capital projects currently on time and on budget
[265] Project Delivery Data (2016 07) | pub=City of Seattle | cols: Month, % of capital projects currently on time and on budget
[266] Pothole Repair Efficiency 2016 Q1 Data TM | pub=City of Seattle | cols: Month, % of Potholes Repaired within 3 Business Days
[267] Kiosk Data For Digital Equity Related Measures | pub=City of Seattle | cols: Average Min per Session, Sessions for Parks CCs and Neighborhood Service Centers, Total Hrs Used Parks CCs and Neighborhood Service Centers, Month End Date, Month
[268] Fatalies - Total, Rolling 5-year Avg (2016) | pub=City of Seattle | cols: Total Pedestrian, Bicycle, and Vehicle Fatalities (5-Year Rolling Avg.), Year
[270] Q2 2015 Update CSB Telephone Response Time 60 Seconds Or Less 80  Of The TIme | pub=City of Seattle | desc: CSB Response Time for Incoming Call Pickup | cols: % , Quarter
[271] Priority Bridges Improvement Data TM | pub=City of Seattle | cols: Month, % of high priority bridges that have undergone seismic retrofits
[272] New Curb Ramps Built | pub=City of Seattle | cols: Accumulated number of new curb ramps built in 2016, Month
[273] Bridge Seismic Plan And Design # | pub=City of Seattle | cols: Accumulated number of planned and designed high priority bridge replacements to begin after 2024, Month
[274] Transit Accessibility Data | pub=City of Seattle | cols: % of households within a 10-minute walk of a bus running every 10 minutes of better during peak periods, Month
[275] Bicycle Data-2 | pub=City of Seattle | cols: Annual Percentage Increase Since 2011, Year
[276] Dummy 2016-2024 Levy Baseline-2 | pub=City of Seattle | desc: levy baseline spending target | cols: Year, 2016-2024 Move Seattle levy spending target ($M)
[277] Dummy 2016-2024 Spend | pub=City of Seattle | cols: Month, 2016-2024 Move Seattle levy money spent to date ($M)
[278] Pothole Repair Efficiency 2016 May Data TM | pub=City of Seattle | cols: % of Potholes Repaired within 3 Business Days, Month
[279] Q1 2015 Update CSB Telephone Response Time 60 Seconds Or Less 80  Of The TIme | pub=City of Seattle | cols: % , Quarter
[280] Streetcar Ridership Data | pub=City of Seattle | cols: South Lake Union Streetcar Ridership (avg. daily boardings), Total Streetcar System Ridership (avg. daily boardings), First Hill Streetcar Ridership (avg. daily boardings), Date
[281] Urban Forest Inventory Data TM | pub=City of Seattle | cols: Month, % of urban forest inventoried and maintained
[282] MVT 12 Mo. Rolling AVG-5 | pub=City of Seattle | cols: 12mnth Rolling Avg, Total, Month & Year
[283] CPBook1 | pub=Office of Arts & Culture | desc: Audience engaged in arts and cultural activities | cols: Year, Audience Engaged | tags: engagement, arts, audience, culture
[284] CP Rolling AVG-Quarter2 | pub=SPD | cols: 12mth Rolling Avg Total, Total Incidents, Month & Year | tags: car prowl, data, crime, spd
[285] Pothole Claims Data 2015 | pub=City of Seattle | cols: Year, Number of annual pothole-related claims
[286] Bridge Maintenance Backlog | pub=City of Seattle | cols: Existing bridge maintenance backlog (# of remaining bridge repairs), Month
[287] Q1 2015 Initial Update For New Electric Vehicle Miles Goal | pub=City of Seattle | cols: % , Quarter
[288] Spotlight - 2014-2016 Potholes & Graffiti Reports - Find It Fix It App | pub=City of Seattle | cols: 2015 Community Reports, 2016 Employee Reports, 2014 Commuity Reports, 2016 Community Reports, Week Beginning Date
[289] Arterial Lane Miles Re-Striped | pub=City of Seattle | cols: Month, Accumulated number of arterial lane miles re-striped in 2016
[290] Advanced Signal Technology-3 | pub=City of Seattle | cols: Number of miles of advanced signal technology implemented on key arterials to date, Year
[291] 1 - Freight Spot Improvements (2016 Final) | pub=City of Seattle | cols: Month, Accumulated number of freight spot improvements
[292] Prop Crime Q1 (2017) | pub=City of Seattle | cols: Month/Year, Total
[293] 2 - Bridge Spot Repairs (2016 Final) | pub=City of Seattle | cols: Month, Accumulated number of bridge repair requests completed
[294] Pothole Claims Data 2014 | pub=City of Seattle | cols: Annual pothole-related claims, Year
[295] Q1 2016 Update CSB 3 Day Response | pub=City of Seattle | cols: Days, Quarter
[296] Project Delivery Data TM-2 | pub=City of Seattle | cols: % of capital projects currently on time and on budget, Month
[297] Advanced Signal Technology | pub=City of Seattle | cols: Year, Number of miles of advanced signal technology implemented on key arterials to date
[298] Lane Miles Pave AMM | pub=City of Seattle | cols: Accumulated number of Lane Miles Paved (AMM) in 2016, Month
[299] Construction Permits Wait Timedata2015-12 | pub=City of Seattle | cols: Month, Avg. Monthly Construction Permit Wait Time (Minutes)
[300] Employee Safety ( Frequency) Data-2 | pub=City of Seattle | cols: Incident Frequency - Number of Recordable Incidents per 100 Full-Time Employees per Year, Year
[302] Next Generation ITS | pub=City of Seattle | cols: Month, Accumulated number of Miles of Aterials Connected to ITS Technology in 2016
