[550] Stairway Rehabilitation | pub=City of Seattle | cols: Month, Accumulated number of major stairways rehabilitated with Move Seattle dollars
[551] Miles Of Arterials Connected With ITS-2 | pub=City of Seattle | cols: Accumulated miles of arterial streets connected with ITS technology, Month
[552] Pedestrian % Increase Data (2016) | pub=City of Seattle | cols: Percentage Pedestrian Count Increase Since 2011, Year
[553] 24 - Northgate Bridge Project | pub=City of Seattle | cols: Month, Northgate Bridge project completed
[554] 4 A - New Traffic Signals | pub=City of Seattle | cols: Month, Accumulated number of new traffic signals installed
[555] 5 - Crosswalks Re-marked (2016 Final) | pub=City of Seattle | cols: Accumulated number of crosswalks re-marked, Month
[556] 4 - Regulatory Signs Replaced (2016 Final) | pub=City of Seattle | cols: Accumulated number of regulatory signs replaced, Month
[557] 2017 Estimated Daily Attendance As Of 9-30-17 | pub=City of Seattle | cols: Date, Total Estimated Daily Attendance
[558] 9 - Repave 180 Miles Of Arterials | pub=City of Seattle | cols: Accumulated miles of arterials re-paved by AAC program, Month
[559] 1 - % Of Arterials In Priority Network With Sidewalks (2016 Final) | pub=City of Seattle | cols: Month, % of arterials citywide in the pedestrian investment network with sidewalks
[560] Bridge Maintenance Backlog-2 | pub=City of Seattle | cols: Existing bridge maintenance backlog (# of remaining bridge repairs), Month
[561] 1 - City Wide Bike Network Completed (2016 Final)-2 | pub=City of Seattle | cols: Month, % of citywide bike network completed
[562] 11 - Bridge Spot Repairs-3 | pub=City of Seattle | cols: Accumulated number of bridge repair requests completed, Month
[563] 3 - Repave 70 Miles Of Spot Improvements (2016 Final) | pub=City of Seattle | cols: Accumulated miles of arterials re-paved by AMM program, Month
[564] CSB Telephone Rate of Answer within 60 Seconds | pub=City of Seattle | cols: Quarter, % 
[565] Advanced Signal Technology-4 | pub=City of Seattle | cols: Number of miles of advanced signal technology implemented on key arterials to date, Year
[566] Q2 2016 Initial Update For Electric Vehicle Usage Goal Final-4 | pub=City of Seattle | cols: % , Quarter, Date
[567] Q1 2016 Update CSB Telephone Response Time 60 Seconds Or Less 80  Of The TIme-3 | pub=City of Seattle | cols: Quarter, % 
[568] CP Rolling AVG( QTR 3) | pub=City of Seattle | cols: Total, 12mth Rolling Avg, Month & Year
[569] Sidewalk Blocks Repaired | pub=City of Seattle | cols: Month, Accumulated blocks of sidewalks repaired in 2016
[570] 2017 SOACRATA Estimated Daily Attendance As Of 12-31-17 | pub=City of Seattle | cols: Date, Total Estimated Daily Attendance
[571] 19 B - Signal Diagnostic Evaluations2018 | pub=City of Seattle | cols: Accumulated number of signal diagnostic evaluations completed in 2018, Month
[572] Rapid Ride 2016-11 Avg. Of All | pub=City of Seattle | cols: Avg. Headway Adherence of all Seattle RapidRide Routes (C, D, & E lines), Month
[573] Housing Levy - Home Repair Grants | pub=City of Seattle | cols: Year, Completed Home Repair Grants
