[650] 28 - New Bike Parking Spaces | pub=City of Seattle | cols: Accumulated number of new bike parking spaces built, Month
[651] 31 - Freight Spot Improvements | pub=City of Seattle | cols: Month, Accumulated number of freight spot improvements
[653] 10 B - Repave 65 Targeted Locations Each Year | pub=City of Seattle | cols: Month, Accumulated number of AMM spot repairs
[654] 8 C - Number Of Neighborhood Projects Designed | pub=City of Seattle | cols: Accumulated number of large neighborhood projects designed, Month
[655] 8 B - Number Of Neighborhood Projects Selected | pub=City of Seattle | cols: Accumulated number of large neighborhood projects selected , Month
[656] Housing Levy - Home Purchase Assistance Loans | pub=City of Seattle | cols: Households awarded home purchase assistance loans, Year
[657] 7 - Intersections Improved With Curb Ramps | pub=City of Seattle | cols: Month, Accumulated number of intersections improved with curb ramps and crossing improvements
[658] Project Delivery Data (2016 08)-3 | pub=City of Seattle | cols: Month, % of capital projects currently on time and on budget
[659] Pothole Repair Efficiency 2016 September Data TM | pub=City of Seattle | cols: % of Potholes Repaired within 3 Business Days, Month
[660] Stairway Rehab 2020 Q2 | pub=City of Seattle | cols: Accumulated number of major stairways rehabilitated this year, Month
[661] 2 - Safe Routes To School Projects 2018 | pub=City of Seattle | cols: Accumulated number of Safe Routes to School projects completed in 2018, Month
[662] Safe Routes To School Projects (9-year)-2 | pub=City of Seattle | cols: Month, Accumulated number of Safe Routes to School projects (2016-2024)
[663] Housing Levy - Operating And Maintenance Support | pub=City of Seattle | cols: Apartments Reinvested, Year
[664] 19 C - Signal Preventative Maintenance2018 | pub=City of Seattle | cols: Accumulated number of signal preventative maintenance tasks completed in 2018, Month
[665] Pothole Repair Efficiency 2016 October Data TM | pub=City of Seattle | cols: Month, % of Potholes Repaired within 3 Business Days
[666] CSR Curb Ramps 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated number of intersections that received Customer Service requested curb ramp upgrades this year
[667] Project Delivery Data (2016 08)-5 | pub=City of Seattle | cols: Month, % of capital projects currently on time and on budget
[668] Pothole Repair Efficiency 2016 August Data TM-4 | pub=City of Seattle | cols: Month, % of Potholes Repaired within 3 Business Days
[669] 16A - Trees Planted 2018 | pub=City of Seattle | cols: Month, Accumulated number of trees planted in 2018
[670] Trees Removed 2020 Q2 | pub=City of Seattle | cols: Accumulated number of trees removed this year, Month
[671] 17 B - Trees Removed | pub=City of Seattle | cols: Accumulated number of trees removed, Month
[672] Project Delivery Data (2016 08)-6 | pub=City of Seattle | cols: Month, % of capital projects currently on time and on budget
[673] 4B - Traffic Signal Imps 2020 Q1 | pub=City of Seattle | cols: Accumulated number of traffic signal improvement projects completed this year, Month
[674] 4A - New Traffic Signals 2019 Final | pub=City of Seattle | cols: Month, Accumulated number of new traffic signals installed this year
[675] 21 - Miles Of Arterials Connected With ITS | pub=City of Seattle | cols: Accumulated miles of arterial streets connected with ITS technology, Month
[676] 29 - Lander Street Project | pub=City of Seattle | cols: Lander Street Overpass project completed, Month
[677] 5 B - Neighborhood Greenways2018 | pub=City of Seattle | cols: Accumulated miles of Neighborhood Greenways built in 2018, Month
[678] 2 - Safe Routes to School Projects 2018 | pub=City of Seattle | cols: Accumulated number of Safe Routes to School projects completed in 2018, Month
[679] 5 B - Neighborhood Greenways-3 | pub=City of Seattle | cols: Accumulated miles of Neighborhood Greenways built, Month
[680] 27 A - New Bike Parking Spaces2018 | pub=City of Seattle | cols: Month, Accumulated number of new bike parking spaces built in 2018
[681] 4 A - New Traffic Signals 2018 | pub=City of Seattle | cols: Accumulated number of new traffic signals installed in 2018, Month
[682] 3B - Arterial Lane Miles Repainted 2020 Q1 | pub=City of Seattle | cols: Accumulated number of arterial lane miles re-striped this year, Month
[683] 15 - Stairway Rehabilitation 2018 | pub=City of Seattle | cols: Month, Accumulated number of major stairways rehabilitated in 2018
[684] 5A - PBLs 2020 Q3 | pub=City of Seattle | cols: Accumulated miles of protected bike lanes built this year, Month
[685] 16E - Tree or Veg Obstructions Removed Q32019 | pub=City of Seattle | cols: Accumulated number of tree or vegetation obstructions removed this year, Month
[686] 9 - Repave with AAC Program 2019 Final | pub=City of Seattle | cols: Month, Accumulated miles of arterials re-paved by AAC program this year
[687] 7 - Intersections Improved With Curb Ramps2018 | pub=City of Seattle | cols: Accumulated number of intersections that received Customer Service requested curb ramp upgrades in 2018, Month
[688] Project Delivery Data (2016 08)-9 | pub=City of Seattle | cols: % of capital projects currently on time and on budget, Month
[689] 16 A - Trees Pruned | pub=City of Seattle | cols: Accumulated number of trees pruned, Month
[690] Corridors With Optimal Signal Timing-3 | pub=City of Seattle | cols: Month, Accumulated number of corridors with optimized signal timing
[691] 1 - Vision Zero 2020 Q3 | pub=City of Seattle | cols: Month, Accumulated number of safety corridor projects completed this year
[692] 6 - Sidewalks Repaired 2019 | pub=City of Seattle | cols: Month, Accumulated block equivalents of sidewalk repaired this year
[693] 15 - Stairway Rehabilitation2018-3 | pub=City of Seattle | cols: Accumulated number of major stairways rehabilitated in 2018, Month
[694] 4A - New Traffic Signals 2019 | pub=City of Seattle | cols: Accumulated number of new traffic signals installed this year, Month
[695] 10A - Repave with AMM Program 2019 | pub=City of Seattle | cols: Accumulated miles of arterials re-paved by AMM program this year, Month
[696] Blocks of New Sidewalk 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated number of new equivalent sidewalk blocks built this year
