[752] 6 - Sidewalks Repaired2018 | pub=City of Seattle | cols: Accumulated block equivalents of sidewalk repaired in 2018, Month
[753] 4 B - Traffic Signal Improvements2018 | pub=City of Seattle | cols: Accumulated number of traffic signal spot improvement projects completed in 2018, Month
[754] 4D - Corridors with Optimized Signal Timing Q32019 | pub=City of Seattle | cols: Accumulated number of corridors with optimized signal timing this year, Month
[755] 25 - New Sidewalks 2018 | pub=City of Seattle | cols: Month, Accumulated number of new equivalent sidewalk blocks built in 2018
[756] 27A - New Bike Parking Spaces 2018-2 | pub=City of Seattle | cols: Accumulated number of new bike parking spaces built in 2018, Month
[757] 27A - New Bike Parking Spaces Q32019 | pub=City of Seattle | cols: Month, Accumulated number of new bike parking spaces built this year
[758] 19B - Signal Diagnostic Evaluations 2019 | pub=City of Seattle | cols: Month, Accumulated number of signal diagnostic evaluations completed this year
[759] 11 - Bridge Spot Repairs 2019 Final | pub=City of Seattle | cols: Month, Accumulated number of bridge repair requests completed this year
[760] 3B - Arterial Lane Restriping 2019 Final | pub=City of Seattle | cols: Accumulated number of arterial lane miles re-striped this year, Month
[761] 27B - Urban Trail and Bikeway Spot Improvements 2019 | pub=City of Seattle | cols: Month, Accumulated number of urban trail and bikeway spot improvements completed this year
[762] 6 - Sidewalk Blocks 2020 Q3 | pub=City of Seattle | cols: Month, Accumulated block equivalents of sidewalk repaired this year
[763] 15 - Stairway Rehab 2020 Q1 | pub=City of Seattle | cols: Month, Accumulated number of major stairways rehabilitated this year
[764] Safe Routes To School Projects (2016)-3 | pub=City of Seattle | cols: Accumulated number of Safe Routes to School projects completed in 2016, Month
[765] 9 - AAC Program 2020 Q3 | pub=City of Seattle | cols: Month, Accumulated miles of arterials re-paved by AAC program this year
[766] 10A - Repave with AMM Program Q32019 | pub=City of Seattle | cols: Accumulated miles of arterials re-paved by AMM program this year, Month
[767] 15 - Stairway Rehabilitation | pub=City of Seattle | cols: Month, Accumulated number of major stairways rehabilitated with Move Seattle dollars
[768] Stairway Rehab 2019 Final | pub=City of Seattle | cols: Accumulated number of major stairways rehabilitated this year, Month
[769] New Traffic Signals 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated number of new traffic signals installed this year
[770] 19A - Signal Major Maintenance Q32019 | pub=City of Seattle | cols: Accumulated number of signal major maintenance occurring this year, Month
[771] 16A - Trees Planted 2020 Q3 | pub=City of Seattle | cols: Accumulated number of trees planted this year, Month
[772] 3B - Arterial Lane Re-Striping 2019 | pub=City of Seattle | cols: Accumulated number of arterial lane miles re-striped this year, Month
[773] 10A - Repave with AMM Program 2019 Final | pub=City of Seattle | cols: Month, Accumulated miles of arterials re-paved by AMM program this year
[774] 6 - Sidewalks Repaired 2019 Final | pub=City of Seattle | cols: Month, Accumulated block equivalents of sidewalk repaired this year
[775] 16D Landscapes Maintained 2020 Q3 | pub=City of Seattle | cols: Month, Accumulated number of landscapes maintained this year
[776] 10B - Paving Spot Imps 2020 Q3 | pub=City of Seattle | cols: Month, Accumulated number of AMM spot repairs this year
[777] 10B - AMM Spot Improvements 2020 Q1 | pub=City of Seattle | cols: Month, Accumulated number of AMM spot repairs this year
[778] 4C - Traffic Spot Imps 2019 Final | pub=City of Seattle | cols: Accumulated number of traffic spot improvements completed this year, Month
[779] 10 B - Repave 65 Targeted Locations Each Year2018 | pub=City of Seattle | cols: Month, Accumulated number of AMM spot repairs in 2018
[780] 5A - Protected Bike Lanes Q32019-2 | pub=City of Seattle | cols: Month, Accumulated miles of protected bike lanes built this year
[781] 9- AAC Lane Miles Repaved 2020 Q1 | pub=City of Seattle | cols: Accumulated miles of arterials re-paved by AAC program this year, Month
[782] 7 - Intersections Improved with Curb Ramps 2019 | pub=City of Seattle | cols: Month, Accumulated number of intersections that received Customer Service requested curb ramp upgrades this year
