[852] 16E - Tree/Veg Obstruction Removed 2020 Q1 | pub=City of Seattle | cols: Month, Accumulated number of tree or vegetation obstructions removed this year
[853] 10A - Repave with AMM Program 2018 | pub=City of Seattle | cols: Accumulated miles of arterials re-paved by AMM program in 2018, Month
[854] 16D - Landscapes Maintained 2018 | pub=City of Seattle | cols: Month, Accumulated number of landscapes maintained in 2018
[855] Signal Diagnostic Evals 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated number of signal diagnostic evaluations completed this year
[856] 19C - Signal Preventative Maintenance 2019 | pub=City of Seattle | cols: Month, Accumulated number of signal preventative maintenance tasks completed this year
[857] 11 - Bridge Spot Repairs 2019 | pub=City of Seattle | cols: Month, Accumulated number of bridge repair requests completed this year
[858] 2 - Safe Routes to School Projects 2020 Q1 | pub=City of Seattle | cols: Accumulated number of Safe Routes to School projects completed this year, Month
[859] 21 - Transit Spot Improvements 2019 | pub=City of Seattle | cols: Month, Accumulated number of transit spot improvements completed this year
[860] 7 - Customer Requested Curb Ramps Upgrades 2019 Final | pub=City of Seattle | cols: Month, Accumulated number of intersections that received Customer Service requested curb ramp upgrades this year
[861] 3B - Arterial Lane Re-Striping Q32019 | pub=City of Seattle | cols: Accumulated number of arterial lane miles re-striped this year, Month
[862] 5A - Protected Bike Lanes 2019 | pub=City of Seattle | cols: Accumulated miles of protected bike lanes built this year, Month
[863] 2 - SRTS 2020 Q3 | pub=City of Seattle | cols: Month, Accumulated number of Safe Routes to School projects completed this year
[864] 4E - Regulatory Street Signs Replaced 2019 Final | pub=City of Seattle | cols: Month, Accumulated number of regulatory street signs replaced this year
[865] 16B - Trees Pruned 2018 | pub=City of Seattle | cols: Accumulated number of trees pruned in 2018, Month
[866] 4E - Regulatory Signs Replaced 2018 | pub=City of Seattle | cols: Accumulated number of regulatory street signs replaced in 2018, Month
[867] 1 - Vision Zero Safety Corridor Projects 2018 | pub=City of Seattle | cols: Month, Accumulated number of safety corridor projects completed in current calendar year
[868] 30 - Freight Spot Imps 2 2020 Q1 | pub=City of Seattle | cols: Month, Accumulated number of freight spot improvements built this year
[869] Urban Trail Spot Imps 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated number of urban trail and bikeway spot improvements completed this year
[870] 15 - Stairway Rehabilitation Q32019 | pub=City of Seattle | cols: Accumulated number of major stairways rehabilitated this year, Month
[871] 27B - Urban Trail and Bikeway Spot Imps 2019 Final | pub=City of Seattle | cols: Month, Accumulated number of urban trail and bikeway spot improvements completed this year
[872] 20 - Miles of Arterial Connect with ITS 2019 Final | pub=City of Seattle | cols: Accumulated miles of arterial streets connected with ITS technology this year, Month
[873] 16B - Trees Pruned 2019 Final | pub=City of Seattle | cols: Month, Accumulated number of trees pruned this year
[874] 4D - Corridors with Optimized Signal Timing 2019 Final | pub=City of Seattle | cols: Accumulated number of corridors with optimized signal timing this year, Month
[875] 19A - Signal Major Maintenance 2019 Final | pub=City of Seattle | cols: Accumulated number of signal major maintenance occurring this year, Month
[876] 16D - Landscapes Maintained Q32019 | pub=City of Seattle | cols: Accumulated number of landscapes maintained this year, Month
[877] 4B - Traffic Signal Imps 2019 Final | pub=City of Seattle | cols: Accumulated number of traffic signal spot improvement projects completed this year, Month
[878] Paving Spot Imps 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated number of AMM spot repairs this year
[879] 4E - Regulatory Signs 2020 Q3 | pub=City of Seattle | cols: Accumulated number of regulatory street signs replaced this year, Month
[880] 16C - Trees Removed 2019 | pub=City of Seattle | cols: Month, Accumulated number of trees removed this year
[881] 4E - Regulatory Signs Replaced 2020 Q1 | pub=City of Seattle | cols: Month, Accumulated number of regulatory street signs replaced this year
[882] 5B - Neighborhood Greenways 2019 Final | pub=City of Seattle | cols: Month, Accumulated miles of Neighborhood Greenways built this year
[883] 21 - Transit Spot Imps 2020 Q1 | pub=City of Seattle | cols: Month, Accumulated number of transit spot improvements completed this year
[884] 20 - Miles of Arterials Connected with ITS Q32019-2 | pub=City of Seattle | cols: Month, Accumulated miles of arterial streets connected with ITS technology this year
[885] 25 - New Sidewalks Built Q32019 | pub=City of Seattle | cols: Accumulated number of new equivalent sidewalk blocks built this year, Month
[886] 3A - Crosswalks Re-Painting 2019 | pub=City of Seattle | cols: Month, Accumulated number of crosswalks re-marked this year
[887] Traffic Signal Imps. 2020 Q2 | pub=City of Seattle | cols: Accumulated number of traffic signal improvement projects completed this year, Month
[888] 19C - Signal Preventive Maintenance 2019 Final | pub=City of Seattle | cols: Accumulated number of signal preventative maintenance tasks completed this year, Month
[889] 11 - Bridge Spot Repairs Q32019-2 | pub=City of Seattle | cols: Month, Accumulated number of bridge repair requests completed this year
[890] Regulatory Street Signs 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated number of regulatory street signs replaced this year
[891] 19A - Signal Major Maintenance 2018 | pub=City of Seattle | cols: Month, Accumulated number of signal major maintenance occurring in 2018
[892] 11 - Bridge Spot Repairs 2020Q1 | pub=City of Seattle | cols: Accumulated number of bridge repair requests completed this year, Month
[893] Tree or Veg Removed 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated number of tree or vegetation obstructions removed this year
[894] Neighborhood Greenway Miles 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated miles of Neighborhood Greenways built this year
[895] 4B -Traffic Signal Imps 2020 Q3 | pub=City of Seattle | cols: Month, Accumulated number of traffic signal improvement projects completed this year
[896] 4E - Regulatory Street Signs Replaced Q32019 | pub=City of Seattle | cols: Month, Accumulated number of regulatory street signs replaced this year
[897] 1 - Safety Corridor Projects 2019 | pub=City of Seattle | cols: Accumulated number of safety corridor projects completed this year, Month
[898] 1 - Vision Zero Corridors 2020Q1 | pub=City of Seattle | cols: Accumulated number of safety corridor projects completed this year, Month
[899] 21 - Transit Spot Improvements 2018 | pub=City of Seattle | cols: Accumulated number of transit spot improvements completed in 2018, Month
[900] 4A - New Traffic Signals 2020 Q3 | pub=City of Seattle | cols: Accumulated number of new traffic signals installed this year, Month
[901] 15 - Stairway Rehabilitation 2019 | pub=City of Seattle | cols: Accumulated number of major stairways rehabilitated this year, Month
[902] Bridge Spot Repairs 2020 Q2 | pub=City of Seattle | cols: Accumulated number of bridge repair requests completed this year, Month
[903] 19C - Signal Preventative Maintenance 2018 | pub=City of Seattle | cols: Accumulated number of signal preventative maintenance tasks completed in 2018, Month
[904] 20 - Miles of Arterials Connected with ITS 2018 | pub=City of Seattle | cols: Accumulated miles of arterial streets connected with ITS technology in 2018, Month
[905] 27B - Urban Trail Spot Imps 2020 Q1 | pub=City of Seattle | cols: Month, Accumulated number of urban trail and bikeway spot improvements completed this year
[906] 7 - Customer Service Ramps 2020 Q1 | pub=City of Seattle | cols: Accumulated number of intersections that received Customer Service requested curb ramp upgrades this year, Month
[907] 16D - Landscapes Maintained 2020 Q1 | pub=City of Seattle | cols: Accumulated number of landscapes maintained this year, Month
[908] 6 - Sidewalks Repaired 2018 | pub=City of Seattle | cols: Accumulated block equivalents of sidewalk repaired in 2018, Month
[909] 16C - Trees Removed 2019 Final | pub=City of Seattle | cols: Month, Accumulated number of trees removed this year
[910] 7 - Intersections Improved with Curb Ramps Q32019 | pub=City of Seattle | cols: Month, Accumulated number of intersections that received Customer Service requested curb ramp upgrades this year
[911] Signal Major Maintenance 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated number of signal major maintenance occurring this year
[912] 2 - Safe Routes to School Projects Q32019 | pub=City of Seattle | cols: Accumulated number of Safe Routes to School projects completed this year, Month
[913] Protected Bike Lanes 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated miles of protected bike lanes built this year
[914] 11 - Bridge Spot Repairs 2018 | pub=City of Seattle | cols: Month, Accumulated number of bridge repair requests completed in 2018
[915] 3A - Crosswalks Repainting 2019 Final | pub=City of Seattle | cols: Month, Accumulated number of crosswalks re-marked this year
[916] 2 - Safe Routes to School Projects 2019 Final | pub=City of Seattle | cols: Accumulated number of Safe Routes to School projects completed this year, Month
[917] Regulatory Signs Replaced | pub=City of Seattle | cols: Month, Accumulated number of Regulatory Signs Replaced in 2016
[918] 5A - Protected Bike Lanes 2019 Final | pub=City of Seattle | cols: Month, Accumulated miles of protected bike lanes built this year
[919] 9 - Repave with AAC program 2018-2 | pub=City of Seattle | cols: Month, Accumulated miles of arterials re-paved by AAC program in 2018
[920] 16C - Trees Removed Q32019 | pub=City of Seattle | cols: Month, Accumulated number of trees removed this year
[921] 30 - Freight Spot Improvements Q32019-2 | pub=City of Seattle | cols: Accumulated number of freight spot improvements built this year, Month
[922] 3B - Arterials Repainted 2020 Q3 | pub=City of Seattle | cols: Accumulated number of arterial lane miles re-striped this year, Month
[923] 4D - Corridors Optimized 2020 Q1 | pub=City of Seattle | cols: Month, Accumulated number of corridors with optimized signal timing this year
[924] Traffic Spot Imps 2020 Q2 | pub=City of Seattle | cols: Accumulated number of traffic spot improvements completed this year, Month
[925] Sidewalk Blocks Repaired 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated block equivalents of sidewalk repaired this year
[926] 20 - Miles of Arterials Connected with ITS Q32019 | pub=City of Seattle | cols: Month, Accumulated miles of arterial streets connected with ITS technology this year
[927] Arterial Miles Repainted 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated number of arterial lane miles re-striped this year
[928] 16B - Trees Pruned 2020 Q1 | pub=City of Seattle | cols: Accumulated number of trees pruned this year, Month
[929] Crosswalks Repainted 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated number of crosswalks re-marked this year
