[621] WLPT-II Scores by District_2011 | pub=WA State (data.wa.gov) | cols: PercentNoScore, PercentTransitioned, PreviouslyTransitioned, SchoolYear, PercentLevel1, TotalTransitioned, TotalTested, ESD, Level3, County | tags: student, k-12, ospi, 2011, assessment, district
[622] WaKIDS Scores by District_2018 | pub=WA State (data.wa.gov) | cols: NumberMet3Domains, PhysicalMet, LanguageMet, CognitiveMet, MathMet, NumberMet4Domains, SocialEmotionalTwoYearOlds, LanguageTwoYearOlds, LiteracyBirthtoTwoYearOlds, NumberMet2Domains | tags: ospi, reportcard, student, k-12, district, 2018
[623] Demographic Information by District_2007 | pub=WA State (data.wa.gov) | cols: District, TotalEnrollment, PercentHispanic, PercentFemales, PercentSpecialEducation, AvgYearsEducationalExperience, CountyDistrictNumber, PercentMigrant, SchoolYear, CountyNumber | tags: district, enrollment, student, reportcard, ospi, k-12
[624] Adult Abundance Escapement Data (2020 SOS) ["abundance_quantity"] | pub=WA Fish & Wildlife | cols: Stock Number, Population Name, Abundance Quantity, Year, Production Type, Report Types, Calculation Type | tags: wdfw sdfp
[626] Demographic Information by District_2010 | pub=WA State (data.wa.gov) | cols: PercentTransitionalBilingual, NumberHispanic, NumberSection504, NumberWhite, CountyDistrictNumber, SchoolYear, NumberFreeorReducedPricedMeals, NumberTeachersWithAtLeastMasterDegree, AvgYearsEducationalExperience, PercentFreeorReducedPricedMeals | tags: reportcard, district, k-12, 2010, ospi, enrollment
[627] Demographic Information by School_2012 | pub=WA State (data.wa.gov) | cols: NumberFemales, NumberTransitionalBilingual, PercentTransitionalBilingual, NumberSpecialEducation, PercentSpecialEducation, PercentFreeorReducedPricedMeals, NumberSection504, PercentSection504, AvgYearsEducationalExperience, PercentTeachersWithAtLeastMasterDegree | tags: student, 2012, enrollment, k-12, ospi, reportcard
[629] CTE Demographic Data by District_2017 | pub=WA State (data.wa.gov) | cols: CountyNumber, Number of Secondary CTE Tech Prep Concentrators, Number of Secondary Students, District, CountyDistrictNumber, ESD, County, Number of Secondary CTE Concentrators, Subgroup, Number of Secondary Tech Prep Students | tags: 2017, student, ospi, k-12, district, cte
[630] AYP Data by District - participation-other indicator_2017 | pub=WA State (data.wa.gov) | cols: Math Met Participation: Hispanic / Latino of any race(s), OtherIndicator_UnexcusedAbsence, Math Met Participation: Low Income, Math Participation: Two or More Races, Math Participation: American Indian / Alaskan Native, Math Participation: All, Read Participation: Low Income, Read Met Participation: Native Hawaiian / Other Pacific Islander, Read Met Participation: Special Education, Read Participation: Native Hawaiian / Other Pacific Islander | tags: 2017, reportcard, ospi, k-12, district, student
[631] State WLPT-II scores by Subgroup_2011 | pub=WA State (data.wa.gov) | cols: PercentLevel2, Subgroup, NoScore, PercentTransitioned, Level1, SchoolYear, PercentLevel1, PreviouslyTransitioned, PercentLevel3, Level3 | tags: state, student, k-12, assessment, 2011, ospi
[632] AMAO by School_2011 | pub=WA State (data.wa.gov) | cols: Consortium, Amao2Level1, District, Amao1StudentsMatched, SchoolYear, Amao2MetTarget, Amao2Unscored, DistrictCode, Amao1MetTarget, Amao3MetMathProficiencyParticipation | tags: school, student, reportcard, ospi, k-12, accountability
[633] School MSP-HSPE Scores by Subgroup_2010 | pub=WA State (data.wa.gov) | cols: SciencePercentMetStandardWithoutPrevPass, MathWAASDAPE, ScienceWAASDAPE, ReadingNotMet, ReadingPercentLevel1, WritingPercentMetStandardExcludingNoScore, WritingLevelBasic, BuildingNumber, ReadingPercentMetStandardIncludingPrevPass, WritingWAASDAPE | tags: student, 2010, reportcard, school, assessment, k-12
[634] Demographic Information by School_2007 | pub=WA State (data.wa.gov) | cols: GradeSpan, TotalEnrollment, School, PercentFemales, SchoolTypeCode, PercentBlack, PercentMales, PercentTransitionalBilingual, PercentSpecialEducation, StudentsPerClassroomTeacher | tags: school, student, 2007, enrollment, k-12, ospi
[635] WASL Scores by District_2002 | pub=WA State (data.wa.gov) | cols: WritingExcusedAbsence, SciencePercentLevel3, SciencePercentNoScore, ESD, ReadingPercentLevel2, ReadingPercentLevelBasic, ReadingNotMet, MathPercentMetStandardIncludingPrevPass, MathLevel2, MathLevel3 | tags: 2002, district, assessment, student, ospi, k-12
[636] Unexcused Absence Rates By School_2018 | pub=WA State (data.wa.gov) | cols: School Name, Percent Unexcused Absences, District Code, District Name, School Code, GradeSpan | tags: k-12, school, student, reportcard, ospi, accountability
[637] Demographic Information by School_2011 | pub=WA State (data.wa.gov) | cols: PercentMales, PercentAsian, PercentBlack, NumberFosterCare, StudentsPerClassroomTeacher, PercentTeachersWithAtLeastMasterDegree, PercentAmericanIndianorAlaskanNative, PercentSpecialEducation, NumberTeachersWithAtLeastMasterDegree, NumberHispanic | tags: student, school, reportcard, ospi, k-12, enrollment
[638] Demographic Information by District_2005 | pub=WA State (data.wa.gov) | cols: PercentSpecialEducation, FreeorReducedPriceMeals, PercentBlack, PercentAmericanIndian, PercentFemale, PercentTransitionalBilingual, StudentsPerTeacher, PercentWithMaster'sDegree, PercentMigrant, PercentWhite | tags: reportcard, student, ospi, k-12, enrollment, district
[639] Demographic Information by School_2009 | pub=WA State (data.wa.gov) | cols: PercentSpecialEducation, NumberTeachersWithAtLeastMasterDegree, PercentTransitionalBilingual, NumberPacificIslander, PercentAsian, PercentFemales, NumberWhite, StudentsPerClassroomTeacher, NumberSpecialEducation, PercentAsianPacificIslander | tags: enrollment, school, reportcard, ospi, k-12, student
[640] Dual Credit Data by School_2017 | pub=WA State (data.wa.gov) | cols: Cambridge, Running Start, International Baccalaureate, College in High School, At Least One Option, Subgroup, OrganizationName, ParentOrganization, ParentCode, OrganizationCode | tags: k-12, school, reportcard, student, ospi, dual credit
[641] WASL Scores by School_2004 | pub=WA State (data.wa.gov) | cols: WritingPercentLevel4, ReadingTotalMSP_HSPETested, MathPercentLevelBasic, MathExempted, WritingExcusedAbsence, ReadingLevelBasic, SchoolYear, MathTotalMSP_HSPETested, ReadingExempted, ReadingWAASDAPE | tags: ospi, student, k-12, assessment, 2004, school
[642] AMAO by District_2012 | pub=WA State (data.wa.gov) | cols: Column1, Amao3MetMathProficiencyParticipation, Amao3MetReadingProficiencyParticipation, Amao2PercentTransitioning, Amao2TotalStudents, Amao2Level4, Amao2Level3, Amao2Level2, Amao2Level1, MetAll3AMAOs | tags: district, 2012, ospi, reportcard, student, accountability
[643] District MSP-HSPE Scores by Subgroup_2014 | pub=WA State (data.wa.gov) | cols: District, MathExcusedAbsence, WritingExcusedAbsence, WritingExempted, MathWAASDAPE, ReadingExcusedAbsence, GradeTested, ReadingNotMet, WritingPercentNoScore, WritingTotalTestedNotTested | tags: district, student, reportcard, ospi, 2014, assessment
[644] CTE Perkins Data by District - subgroup_2017 | pub=WA State (data.wa.gov) | cols: Performance Indicator Name, Performance Indicator Number, County, District, Subgroup, CountyDistrictNumber, CountyNumber, ESD, SchoolYear, Number of Students in the Denominator | tags: student, cte, k-12, ospi, reportcard, 2017
[645] District WASL Scores by Subgroup_2003 | pub=WA State (data.wa.gov) | cols: MathMetStandardIncludingPrevPass, MathLevel1, ReadingPercentNoScore, ReadingPercentLevel4, SciencePercentLevel1, ReadingLevel4, ReadingPercentLevel2, ReadingPercentLevel3, ReadingLevel2, SciencePercentMetStandardExcludingNoScore | tags: assessment, reportcard, 2003, student, district, k-12
[646] District MSP-HSPE Scores by Subgroup_2010 | pub=WA State (data.wa.gov) | cols: WritingMetStandardIncludingPrevPass, SciencePercentMetStandardWithoutPrevPass, WritingPercentLevel3, WritingPercentLevel2, MathPercentLevel3, County, ReadingPercentMetStandardExcludingNoScore, SciencePercentLevel1, SciencePercentLevel3, ScienceWAASDAPE | tags: ospi, reportcard, student, district, k-12, 2010
[647] WASL Scores by School_2007 | pub=WA State (data.wa.gov) | cols: WritingPercentMetStandardWithoutPrevPass, SciencePercentNoScore, MathPercentLevel1, WritingLevel1, MathPercentNoScore, MathTotalMSP_HSPETested, MathLevelBasic, ReadingPercentNotMet, ReadingLevel3, ScienceNoScore | tags: 2007, assessment, ospi, reportcard, k-12, student
[648] Dual Credit Data by State_2017 | pub=WA State (data.wa.gov) | cols: OrganizationCode, schoolYear, Grades 9-12 Total Students, Running Start, Tech Prep, International Baccalaureate, OrganizationName, Cambridge, College in High School, At Least One Option | tags: reportcard, 2017, state, student, dual credit, k-12
[649] AYP Data by School - participation-other indicator_2017 | pub=WA State (data.wa.gov) | cols: Read Met Participation: Asian, Read Participation: Limited English, Math Participation: All, Math Participation: Two or More Races, Math Met Participation: All, Math Participation: Native Hawaiian / Other Pacific Islander, OtherIndicator_UnexcusedAbsence, Math Met Participation: Black / African American, Read Met Participation: All, Read Participation: Black / African American | tags: 2017, accountability, student, k-12, ospi, reportcard
[651] Alternative Adult Abundance Example 2-12-2018 | pub=WA State (data.wa.gov) | cols: ESA Assessment:, WDFW Detail:, Region:, 2016 Exec Sum:, Species:, Recovery Goal:, Hatchery Spawners:, Recovery Goal Progress:, Population:, 10-Year Geomean:
[653] MSP-HSPE Scores by School_2009 | pub=WA State (data.wa.gov) | cols: SciencePercentLevel1, ScienceLevel4, ScienceLevelBasic, ScienceLevel2, ScienceMetStandardWithoutPrevPass, ScienceTotalMSP_HSPETested, ScienceTotalTestedNotTested, WritingExempted, WritingExcusedAbsence, WritingNoScore | tags: school, 2009, assessment, k-12, ospi, student
[654] WASL Scores by District_2007 | pub=WA State (data.wa.gov) | cols: ScienceWAASDAPE, ReadingWAASDAPE, ReadingLevelIndex, ScienceExempted, ScienceLevel4, SciencePercentLevelBasic, ScienceLevel1, ScienceMetStandardWithoutPrevPass, ScienceMetStandardIncludingPrevPass, ScienceTotalMSP_HSPETested | tags: student, 2007, assessment, district, k-12, ospi
[655] MSP-HSPE Scores by School_2011 | pub=WA State (data.wa.gov) | cols: ReadingWAASPORT, ReadingPercentLevel1, MathLevel1, MathLevelIndex, ScienceExempted, ReadingNotMet, ReadingPercentMetStandardExcludingNoScore, SchoolYear, MathWAASDAPE, SciencePercentNoScore | tags: assessment, student, ospi, k-12, 2011, reportcard
[657] Demographic Information by District_2009 | pub=WA State (data.wa.gov) | cols: NumberAsian, PercentTeachersWithAtLeastMasterDegree, NumberTeachersWithAtLeastMasterDegree, StudentsPerClassroomTeacher, PercentFreeorReducedPricedMeals, PercentTransitionalBilingual, PercentFemales, NumberFemales, NumberMales, PercentWhite | tags: enrollment, student, k-12, ospi, reportcard, 2009
