[838] District EOC scores by Subgroup_2013 | pub=WA State (data.wa.gov) | cols: AllEOCMathYear2TotalTestedNotTested, Retake2MetStandardWithoutPrevPass, Integrated2LevelBasic, Integrated2PercentLevel2, Integrated2PercentLevel1, Integrated2PercentMetStandardExcludingNoScore, Integrated2PercentMetStandardIncludingPrevPass, Integrated2MetStandardIncludingPrevPass, Integrated2TotalTested, GeometryPercentNotMet | tags: student, 2013, assessment, district, k-12, ospi
[839] AMO Data by School - proficiency-participation-other indicator_2012 | pub=WA State (data.wa.gov) | cols: GraduationDropoutMet, GraduationDropoutRate, UnexecusedAbsenceRate, MathParticipationRate, MathParticipants, ReadingTotalParticipation, MathMetProficiency, MathAnnualTarget, MathCEStudents, ReadingDifferenceFromTarget | tags: 2012, ospi, reportcard, school, student, k-12
[840] CTE Demographic Data by State_2015 | pub=WA State (data.wa.gov) | cols: SchoolYear, Number of Secondary CTE Concentrators, Subgroup, Number of Secondary Students, Number of Secondary CTE Tech Prep Concentrators, State, Number of Secondary Tech Prep Students | tags: cte, state, reportcard, ospi, k-12, 2015
[841] AYP Data by School - participation-other indicator_2009 | pub=WA State (data.wa.gov) | cols: MetAYP_LowIncomeMathParticipation, MetAYP_SplEdMathParticipation, MetAYP_AmericanIndReadParticipation, MetAYP_AsianReadParticipation, BlackMathParticipation, MetAYP_AmericanIndMathParticipation, AmericanIndMathParticipation, MetAYP_BlackReadParticipation, School, MetAYP_WhiteMathParticipation | tags: k-12, student, school, reportcard, ospi, accountability
[842] School WASL Scores by Subgroup_2007 | pub=WA State (data.wa.gov) | cols: WritingPercentMetStandardIncludingPrevPass, ReadingWAASDAPE, SchoolYear, ReadingTotalMSP_HSPETested, MathPercentNotMet, WritingWAASDAPE, ScienceNotMet, ReadingPercentMetStandardExcludingNoScore, MathPercentLevel3, MathPercentNoScore | tags: school, assessment, 2007, ospi, student, reportcard
[843] State WASL Scores by Subgroup_2002 | pub=WA State (data.wa.gov) | cols: ReadingLevel3, MathPercentLevel1, MathPercentMetStandardIncludingPrevPass, MathMetStandardIncludingPrevPass, WritingMetStandardWithoutPrevPass, ReadingLevel2, ReadingLevel1, MathLevel1, MathPercentLevel2, ReadingPercentMetStandardIncludingPrevPass | tags: reportcard, ospi, k-12, assessment, 2002, student
[844] WELPA Scores by State_2012 | pub=WA State (data.wa.gov) | cols: PercentNoScore, PercentLevel3, PercentLevel2, Level1, GradeLevel, PercentLevel1, SchoolYear, TotalTested, Level3, NoScore | tags: ospi, reportcard, 2012, state, student, k-12
[845] WAAS Scores by District_2015 | pub=WA State (data.wa.gov) | cols: WAASScienceTotalTested, asend, WAASSciencePercentNotMet, WAASScienceNoScore, WAASSciencePercentLevel2, WAASMathPercentLevel2, WAASELAPercentWAAS, WAASSciencePercentNoScore, WAASELALevel3, WAASScienceWAAS | tags: reportcard, k-12, ospi, 2015, assessment, district
[846] EOC Scores by District_2013 | pub=WA State (data.wa.gov) | cols: AllEOCMathYear1PercentMetStandardExcludingNoScore, Integrated2LevelBasic, Retake1Level4, SchoolYear, BiologyNoScore, BiologyLevel3, BiologyLevelBasic, Integrated1PercentMetStandardExcludingNoScore, Retake2Exempted, Retake1NoScore | tags: ospi, reportcard, k-12, 2013, district, student
[847] AYP Data by School - overall_2005 | pub=WA State (data.wa.gov) | cols: DistrictCode, SchoolYear, SchoolName, MetAYP, ESD, TitleI, SchoolImprovement, CountyName, DistrictName, BuildingNumber | tags: student, 2005, accountability, k-12, reportcard, ospi
[848] WQI Example 1-14-2020 (2) | pub=WA State (data.wa.gov) | cols: Station, Avg Score, Category
