[40] Behavioral Risk Factor Surveillance System (BRFSS) Prevalence Data (2011 to present) | pub=CDC | desc: 2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic dis | cols: Question, GeoLocation (address), GeoLocation, ResponseID, BreakOutCategoryID, BreakoutID, TopicId, ClassId, Data_Value_Footnote_Symbol, Data_value_type | tags: brfss, survey, risk, factor, behavioral
[46] Behavioral Risk Factor Surveillance System (BRFSS) Historical Questions | pub=CDC | desc: 1984-2023. Centers for Disease Control and Prevention (CDC). BRFSS Survey Data. The BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for c | cols: Topic, Type, DisplayOrder, Year, Responses, VariableName, Question | tags: behavioral, brfss, factor, questions, risk, surveillance
[48] Provisional Death Counts for Coronavirus Disease (COVID-19) | pub=NCHS/DVS | desc: This dataset is no longer updated. Please see the following datasets for recent data: Provisional COVID-19 Deaths by Week (https://data.cdc.gov/dataset/Provisional-COVID-19-Death-Counts-by-Week-Ending | cols: Start week, Pneumonia, Influenza, and COVID-19 Deaths, All Influenza Deaths (J09-J11), Deaths with Pneumonia and COVID-19 (J12.0-J18.9 and U07.1), End week, Indicator, State, All Pneumonia Deaths (J12.0-J18.9), Percent of Expected Deaths, Deaths from All Causes | tags: age group, age, united states, state, puerto rico, provisional
[49] American Rescue Plan (ARP) Rural Payments | pub=HRSA | desc: The U.S. Department of Health and Human Services (HHS) via the Health Resources and Services Administration (HRSA) is releasing American Rescue Plan payments to providers and suppliers who have served | cols: ZIP, Rural Location, Payment, Provider Name, State, City | tags: covid-19, american rescue plan
[52] Alzheimer's Disease and Healthy Aging Data | pub=CDC Division of Population Health | desc: 2015-2022. This data set contains data from BRFSS. | cols: Stratification1, Stratification2, Geolocation, QuestionID, StratificationCategoryID1, ClassID, LocationAbbr, YearStart, LocationID, TopicID | tags: cognitive health, vaccines, alcohol, aging, caregiver, falls
[55] NCHS - VSRR Quarterly provisional estimates for selected indicators of mortality | pub=National Center for Health Statistics | desc: Provisional estimates of death rates. Estimates are presented for each of the 15 leading causes of death plus estimates for deaths attributed to drug overdose, falls (for persons aged 65 and over), hu | cols: Rate Type, Rate Wyoming, Rate West Virginia, Rate Wisconsin, Rate Washington, Rate Vermont, Rate Virginia, Rate Utah, Rate Texas, Rate Tennessee | tags: sex, chronic lower respiratory disease, cirrhosis, coronavirus, septicemia, quarterly
[56] CDC STATE System E-Cigarette Legislation - Youth Access | pub=CDC | desc: 1995-2025. Centers for Disease Control and Prevention (CDC). State Tobacco Activities Tracking and Evaluation (STATE) System. E-Cigarette Legislation—Youth Access. The STATE System houses current and  | cols: MeasureId, ProvisionID, YEAR, GeoLocation (city), DataSource, TopicId, DisplayOrder, Enacted_Date, Citation, MeasureDesc | tags: e-cigarette, legislation, osh, policy, state system, youth access
[57] Indicators of Anxiety or Depression Based on Reported Frequency of Symptoms During Last 7 Days | pub=NCHS/DHIS | desc: The U.S. Census Bureau, in collaboration with five federal agencies, launched the Household Pulse Survey to produce data on the social and economic impacts of Covid-19 on American households. The Hous | cols: Indicator, Quartile Range, Group, Subgroup, Phase, Time Period Label, Time Period, Time Period Start Date, Time Period End Date, Value | tags: anxiety, covid-19, depression
[61] CDC PRAMStat Data for 2011 | pub=CDC | desc: 2011. Centers for Disease Control and Prevention (CDC). PRAMS, the Pregnancy Risk Assessment Monitoring System, is a surveillance system collecting state-specific, population-based data on maternal at | cols: Geolocation, BreakOutId, BreakOutCategoryid, Data_Value_Type, Data_Value_Unit, Class, LocationDesc, LocationAbbr, Year, Question | tags: medicaid, prenatal care, abuse, alcohol use, breastfeeding, contraception
[62] The Tax Burden on Tobacco, 1970-2019 | pub=CDC | desc: 1970-2019. Orzechowski and Walker. Tax Burden on Tobacco. Tax burden data was obtained from the annual compendium on tobacco revenue and industry statistics, The Tax Burden on Tobacco. Data are report | cols: GeoLocation (city), GeoLocation, Data_Value_Type, GeoLocation (zip), TopicId, SubMeasureDesc, MeasureDesc, TopicDesc, LocationAbbr, States | tags: average cost per pack, tax burden on tobacco, tax, osh, office on smoking and health, cigarette sales
[63] NCHS - Death rates and life expectancy at birth | pub=NCHS/DVS | desc: This dataset of U.S. mortality trends since 1900 highlights the differences in age-adjusted death rates and life expectancy at birth by race and sex. Age-adjusted death rates (deaths per 100,000) afte | cols: Year, Race, Sex, Average Life Expectancy (Years), Age-adjusted Death Rate | tags: mortality, united states, life expectancy, death rates, nchs
