[678] NNDSS - TABLE 1PP. Yellow fever to Zika virus disease, non-congenital | pub=CDC | desc: NNDSS - TABLE 1PP. Yellow fever to Zika virus disease, non-congenital – 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. r | cols: Zika virus disease, non-congenital, Current week, flag, Zika virus disease, non-congenital, Previous 52 weeks Max†, flag, Zika virus disease, non-congenital, Cum 2020†, flag, Reporting Area, Yellow fever, Current week, flag, Yellow fever, Previous 52 weeks Max†, flag, Yellow fever, Current week, MMWR Week, Yellow fever, Cum 2020†, flag, Zika virus disease, non-congenital, Previous 52 weeks Max† | tags: nedss, wonder, yellow fever, zika virus disease, netss, 2020
[684] NNDSS - Table III. Tuberculosis | pub=Division of STD Prevention, National Center for HI | desc: NNDSS - Table III. Tuberculosis - 2018.This Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying WONDER data | cols: Location 1 (address), Tuberculosis†, Current quarter, flag, MMWR Year, Location 1, Location 1 (state), Tuberculosis†, Cum 2017, flag, Location 2 (address), Tuberculosis†, Previous 4 quarters Min, flag, Tuberculosis†, Previous 4 quarters Max, flag, Tuberculosis†, Cum 2018, flag | tags: tb, wonder, netss, nedss, 2018, tuberculosis
[685] NNDSS - Table II. Chlamydia trachomatis infection to Coccidioidomycosis | pub=CDC | desc: NNDSS - Table II. Chlamydia trachomatis infection to Coccidioidomycosis - 2018. In this Table, provisional cases of selected notifiable diseases (≥1,000 cases reported during the preceding year), and  | cols: Chlamydia trachomatis infection, Cum 2017, Chlamydia trachomatis infection, Cum 2018, flag, Coccidioidomycosis, Cum 2018, flag, Coccidioidomycosis, Previous 52 weeks Max, flag, Coccidioidomycosis, Previous 52 weeks Med, flag, MMWR Year, Location 1 (city), Location 1 (address), Location 2 (state), Location 2 (zip) | tags: nndss, wonder, 2018, chlamydia trachomatis infection, coccidioidomycosis, nedss
[691] NNDSS - Table II. Hepatitis (viral, acute, by type) C | pub=CDC | desc: NNDSS - Table II. Hepatitis (viral, acute, by type) C - 2018. In this Table, provisional cases of selected notifiable diseases (≥1,000 cases reported during the preceding year), and selected low frequ | cols: Hepatitis (viral, acute, by type)†, C, Probable Previous 52 weeks Max, Location 2 (address), Location 1, Hepatitis (viral, acute, by type)†, C, Probable Previous 52 weeks Max, flag, Hepatitis (viral, acute, by type)†, C, Probable Previous 52 weeks Med, flag, Hepatitis (viral, acute, by type)†, C, Probable Current week, Hepatitis (viral, acute, by type)†, C, Confirmed Cum 2017, flag, Hepatitis (viral, acute, by type)†, C, Confirmed Cum 2017, Hepatitis (viral, acute, by type)†, C, Probable Cum 2018, Hepatitis (viral, acute, by type)†, C, Probable Cum 2017 | tags: wonder, nndss, netss, hepatitis (viral, nedss, by type) c
[695] Survey Data - Restaurant Grading | pub=NCEH/DEHSP | cols: No_Complaints, No_Salmonella, No_Ecoli, Population_Served, UniqueID, Disclosure_Method_All, Type_Inspections_All, Agency_Type, Public_Disclosure, No_Outbreaks | tags: restaurant grading, food safety
[696] NNDSS - TABLE 1J. Dengue virus infections, Dengue to Severe dengue | pub=CDC | desc: NNDSS - TABLE 1J. Dengue virus infections, Dengue to Severe dengue - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. resi | cols: Dengue virus infections, Dengue-like illness, Current week, Dengue virus infections, Dengue, Current week, States, Dengue virus infections, Dengue-like illness, Current week, flag, Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†, Dengue virus infections, Dengue, Previous 52 weeks Max†, flag, Dengue virus infections, Dengue-like illness, Cum 2020†, flag, Counties, Dengue virus infections, Dengue, Current week, flag, Dengue virus infections, Dengue-like illness, Cum 2021†, flag | tags: nedss, dengue virus infections, dengue-like illness, dengue, 2021, wonder
[699] NNDSS - TABLE 1M. Gonorrhea to Haemophilus influenzae, invasive disease, Age <5 years, Serotype b | pub=CDC | desc: NNDSS - TABLE 1M. Gonorrhea to Haemophilus influenzae, invasive disease, Age <5 years, Serotype b - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. | cols: Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Previous 52 weeks Max†, flag, Haemophilus influenza, invasive disease, All ages, all serotypes, Previous 52 weeks Max†, flag, Haemophilus influenza, invasive disease, All ages, all serotypes, Previous 52 weeks Max†, Haemophilus influenza, invasive disease, All ages, all serotypes, Current week, flag, Haemophilus influenza, invasive disease, All ages, all serotypes, Current week, Gonorrhea, Cum 2019†, flag, Gonorrhea, Cum 2019†, Gonorrhea, Cum 2020†, flag, Gonorrhea, Cum 2020†, Gonorrhea, Previous 52 weeks Max†, flag | tags: haemophilus influenzae, all ages all serotypes, age <5 years serotype b, 2020, wonder, nndss
[702] NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human | pub=CDC | desc: NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Notice: D | cols: Rabies, Animal, Cum 2021†, flag, geocode, Rabies, Animal, Previous 52 weeks Max†, flag, MMWR Year, Rabies, Human, Cum 2021†, flag, Rabies, Human, Current week, Reporting Area Sort, Rabies, Human, Cum 2020†, Rabies, Animal, Cum 2020†, flag, Rabies, Animal, Current week, flag | tags: wonder, 2021, animal, human, nedss, netss
[705] 500 Cities: City-level Data (GIS Friendly Format), 2017 release | pub=CDC | desc: 2015, 2014. Data were provided by the Centers for Disease Control and Prevention (CDC), Division of Population Health, Epidemiology and Surveillance Branch. The project was funded by the Robert Wood J | cols: COPD_AdjPrev, COREM_CrudePrev, COREM_AdjPrev, COREM_Adj95CI, COREW_CrudePrev, COREW_AdjPrev, COREW_Adj95CI, CSMOKING_CrudePrev, CSMOKING_Crude95CI, CSMOKING_AdjPrev | tags: unhealthy, 500cities, behaviors, census, cities, gis
[712] NNDSS - TABLE 1HH. Syphilis, Congenital to Syphilis, Primary and Secondary | pub=CDC | desc: NNDSS - TABLE 1HH. Syphilis, Congenital to Syphilis, Primary and Secondary – 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U | cols: MMWR Year, Syphilis, Primary and secondary, Cum 2020†, flag, Location 2, MMWR Week, Syphilis, Congenital, Cum 2020†, flag, Syphilis, Primary and secondary, Cum 2019†, flag, Syphilis, Primary and secondary, Previous 52 weeks Max†, flag, Reporting Area, Syphilis, Primary and secondary, Cum 2020†, Syphilis, Congenital, Previous 52 weeks Max† | tags: syphilis, nndss, 2020, congenital, nedss, netss
[716] NNDSS - Table II. Salmonellosis (excluding typhoid fever and paratyphoid fever) to Shigellosis | pub=CDC | desc: NNDSS - Table II. Salmonellosis (excluding typhoid fever and paratyphoid fever) to Shigellosis - 2018. In this Table, provisional cases of selected notifiable diseases (≥1,000 cases reported during th | cols: Location 1 (address), Location 2 (address), Location 2 (zip), Location 1 (city), Shiga toxin-producing Escherichia coli, Current week, flag, Shiga toxin-producing Escherichia coli, Previous 52 weeks Med, flag, Salmonellosis (excluding Paratyphoid fever andTyphoid fever)†, Previous 52 weeks Max, Salmonellosis (excluding Paratyphoid fever andTyphoid fever)†, Cum 2018, Salmonellosis (excluding Paratyphoid fever andTyphoid fever)†, Cum 2018, flag, Salmonellosis (excluding Paratyphoid fever andTyphoid fever)†, Cum 2017 | tags: shiga toxin-producing escherichia coli, salmonellosis (excluding typhoid fever and paratyphoid fever), nndss, netss, nedss, 2018
