[876] NNDSS - TABLE 1U. Legionellosis to Listeriosis | pub=CDC | desc: NNDSS - TABLE 1U. Legionellosis to Listeriosis - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note: This ta | cols: Leptospirosis, Cum 2019†, flag, Listeriosis, Cum 2019†, Listeriosis, Cum 2018†, Location 1 (city), Location 1 (state), Legionellosis, Cum 2018†, Legionellosis, Cum 2019†, Location 2 (zip), Location 2 (state), MMWR Year | tags: nedss, nndss, netss, wonder, legionellosis, leptospirosis
[877] NNDSS - TABLE 1Q. Hepatitis B, perinatal infection to Hepatitis C (viral, acute), Probable | pub=CDC | desc: NNDSS - TABLE 1Q. Hepatitis B, perinatal infection to Hepatitis C (viral, acute), Probable - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territ | cols: Hepatitis B, perinatal infection, Cum 2018†, flag, Location 1 (zip), Hepatitis C (viral, acute)§, Probable, Previous 52 weeks Max† , flag, Hepatitis B, perinatal infection, Previous 52 weeks Max† , flag, Hepatitis B, perinatal infection, Cum 2019†, flag, Hepatitis C (viral, acute)§,  Probable, Current week, Location 2 (zip), Location 1 (city), Hepatitis C (viral, acute)§, Confirmed, Cum 2019†, flag, Location 1 | tags: nedss, 2019, wonder, acute), confirmed, hepatitis b
[879] NNDSS - TABLE 1E. Botulism, Foodborne to Botulism, Other | pub=CDC | desc: NNDSS - Table 1E. Botulism, Foodborne to Botulism, Other (wound & unspecified) - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and N | cols: Botulism, Infant, Cum 2019†, flag, Reporting Area Sort, Location 2 (state), Location 2 (address), Location 2, Location 1 (state), Botulism, Other (wound and unspecified), Cum 2018†, Botulism, Other (wound and unspecified), Cum 2019†, Botulism, Infant, Cum 2018†, Botulism, Infant, Cum 2019† | tags: botulism, foodborne, infant, nedss, wonder, netss
[880] NNDSS - TABLE 1FF. Severe acute respiratory syndrome-associated coronavirus disease to Shigellosis | pub=CDC | desc: NNDSS - TABLE 1FF. Severe acute respiratory syndrome-associated coronavirus disease to Shigellosis - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S | cols: Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†, MMWR Year, Shigellosis, Cum 2019†, flag, Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†, flag, Shiga toxin-producing Escherichia coli, Previous 52 weeks Max†, flag, Location 1 (city), Location 1 (zip), Location 2 (address), Severe acute respiratory syndrome-associated coronavirus desease, Current week, flag, Severe acute respiratory syndrome-associated coronavirus desease, Cum 2018† | tags: netss, nedss, 2019, wonder, shigellosis, shiga toxin-producing escherichia coli
[881] NNDSS - TABLE 1Y. Mumps to Novel influenza A virus infections | pub=CDC | desc: NNDSS - TABLE 1Y. Mumps to Novel influenza A virus infections - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents | cols: Mumps, Cum 2021†, geocode, Reporting Area Sort, Location 2, Location 1, Novel influenza A virus infections§, Current week, flag, Novel influenza A virus infections§, Current week, Mumps, Cum 2020†, Mumps, Previous 52 weeks Max†, MMWR Week | tags: novel influenza a virus infections, wonder, nndss, netss, nedss, mumps
[882] NNDSS - TABLE 1MM. Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus to Guanarito viru | pub=CDC | desc: NNDSS - TABLE 1MM. Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus to Guanarito virus – 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States,  | cols: Viral hemorrhagic fevers§, Crimean-Congo hemorrhagic fever virus, Cum 2021†, flag, Viral hemorrhagic fevers§, Guanarito virus, Previous 52 weeks Max†, flag, MMWR Year, Viral hemorrhagic fevers§, Ebola virus, Cum 2021†, Viral hemorrhagic fevers§, Guanarito virus, Cum 2020†, Viral hemorrhagic fevers§, Ebola virus, Previous 52 weeks Max†, Viral hemorrhagic fevers§, Guanarito virus, Current week, flag, Viral hemorrhagic fevers§, Ebola virus, Current week, Viral hemorrhagic fevers§, Crimean-Congo hemorrhagic fever virus, Cum 2020†, flag, geocode | tags: netss, nndss, guanarito virus, 2021, nedss, ebola virus
[883] NNDSS - TABLE 1Q. Hepatitis B, perinatal infection to Hepatitis C, acute, Probable | pub=CDC | desc: NNDSS - TABLE 1Q. Hepatitis B, perinatal infection to Hepatitis C, acute, Probable - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, a | cols: Hepatitis C, acute§, Probable, Previous 52 weeks Max† , flag, Hepatitis C, acute§, Probable, Cum 2020†, Hepatitis C, acute§, Previous 52 weeks Max† , flag, Hepatitis C, acute§, Confirmed, Previous 52 weeks Max†, Hepatitis B, perinatal infection, Cum 2021†, Hepatitis B, perinatal infection, Previous 52 weeks Max†, Reporting Area, Hepatitis C, acute§, Probable, Cum 2021†, flag, Hepatitis C, acute§, Probable, Cum 2020†, flag, Location 1 | tags: confirmed, probable, 2021, perinatal infection, nndss, netss
[884] Stroke Mortality Data Among US Adults (35+) by State/Territory and County – 2017-2019 | pub=CDC Division for Heart Disease and Stroke Preventi | desc: 2017 to 2019, 3-year average. Rates are age-standardized. County rates are spatially smoothed. The data can be viewed by sex and race/ethnicity. Data source: National Vital Statistics System. Addition | cols: Data_Value_Footnote, LocationAbbr, LocationDesc, LocationID, X_lon, Data_Value_Footnote_Symbol, StratificationCategory2, Stratification2, Class, DataSource | tags: county, cardiovascular, stroke, cerebrovascular disease, cardiovascular disease, counties
[885] NNDSS - TABLE 1A. Anthrax to Arboviral diseases, Eastern equine encephalitis virus disease | pub=CDC | desc: NNDSS - TABLE 1A. Anthrax to Arboviral diseases, Eastern equine encephalitis virus disease – 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territ | cols: Arboviral diseases, Eastern equine encephalitis virus disease, Previous 52 weeks Max†, Arboviral diseases, Chikungunya virus disease, Current week, Anthrax, Cum 2020†, Anthrax, Current week, Anthrax, Cum 2020†, flag, Arboviral diseases, Chikungunya virus disease, Previous 52 weeks Max†, Arboviral diseases,Chikungunya virus disease, Cum 2021†, MMWR Week, Arboviral diseases, Chikungunya virus disease, Current week, flag, Arboviral diseases, Chikungunya virus disease, Cum 2020† | tags: netss, 2021, nedss, chikungunya virus disease, eastern equine encephalitis virus disease, arboviral diseases
[886] NNDSS - TABLE 1S. Invasive pneumococcal disease, all ages, Confirmed to Invasive pneumococcal diseas | pub=CDC | desc: NNDSS - TABLE 1S. Invasive pneumococcal disease, all ages, Confirmed to Invasive pneumococcal disease, all ages, Probable - 2021. In this Table, provisional cases* of notifiable diseases are displayed | cols: Reporting Area Sort, Location 2, Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†, Invasive pneumococcal disease, all ages§, Probable,  Cum 2021†, flag, Invasive pneumococcal disease, all ages§, Probable,  Cum 2021†, Invasive pneumococcal disease, all ages§, Probable, Current week, Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†, Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†, flag, Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†, Invasive pneumococcal disease, all ages§, Confirmed, Current week | tags: 2021, probable, nndss, netss, nedss, invasive pneumococcal disease
[887] NNDSS - TABLE 1Q. Hepatitis B, perinatal infection to Hepatitis C, acute, Probable | pub=CDC | desc: NNDSS - TABLE 1Q. Hepatitis B, perinatal infection to Hepatitis C, acute, Probable - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, a | cols: Reporting Area Sort, Location 2, Location 1, Hepatitis C, acute§, Probable, Cum 2020†, Hepatitis C, acute§, Probable, Cum 2019†, Hepatitis C, acute§, Probable, Previous 52 weeks Max†, Hepatitis C, acute§,  Probable, Current week, Hepatitis C, acute§, Confirmed, Cum 2019†, Hepatitis C, acute§, Confirmed, Previous 52 weeks Max†, Hepatitis C, acute§, Probable, Current week, flag | tags: netss, nedss, confirmed, hepatitis c acute, wonder, 2020
