[0] Agent Analytic Sample Dataset | pub=Google BigQuery | cols: timestamp, event_type, agent, session_id, invocation_id, user_id, content, error_message, timestamp, event_type | tags: bigquery, public-data
[1] America Health Rankings | pub=Google BigQuery | cols: edition, report_type, measure_name, state_name, subpopulation, value, lower_ci, upper_ci, source, source_date | tags: bigquery, public-data
[2] Austin 311 | pub=Google BigQuery | cols: unique_key, complaint_description, source, status, status_change_date, created_date, last_update_date, close_date, incident_address, street_number | tags: bigquery, public-data
[3] Austin Bikeshare | pub=Google BigQuery | cols: station_id, name, status, location, address, alternate_name, city_asset_number, property_type, number_of_docks, power_type | tags: bigquery, public-data
[4] Austin Crime | pub=Google BigQuery | cols: unique_key, address, census_tract, clearance_date, clearance_status, council_district_code, description, district, latitude, longitude | tags: bigquery, public-data
[5] Austin Incidents | pub=Google BigQuery | cols: unique_key, descript, date, time, address, longitude, latitude, location, timestamp, unique_key | tags: bigquery, public-data
[6] Austin Waste | pub=Google BigQuery | cols: load_id, report_date, load_type, load_time, load_weight, dropoff_site, route_type, route_number | tags: bigquery, public-data
[7] Baseball | pub=Google BigQuery | cols: gameId, seasonId, seasonType, year, startTime, gameStatus, attendance, dayNight, duration, durationMinutes | tags: bigquery, public-data
[8] Bbc News | pub=Google BigQuery | cols: body, title, filename, category | tags: bigquery, public-data
[9] Bigqueryml Ncaa | pub=Google BigQuery | cols: game_id, season, scheduled_date, home_team, school_name, team_id, conf_name, division_name, minutes, points | tags: bigquery, public-data
[10] Bitcoin Blockchain | pub=Google BigQuery | cols: block_id, previous_block, merkle_root, timestamp, difficultyTarget, nonce, version, work_terahash, work_error, transactions | tags: bigquery, public-data
[11] Blackhole Database | pub=Google BigQuery | cols: int64_field_0, Name, RA, DEC, z, PLATE, FIBER, MJD, TARGET_FLAG_TARGET, NSPECOBS | tags: bigquery, public-data
[12] Blockchain Analytics Ethereum Mainnet Us | pub=Google BigQuery | cols: address, code_hash, code, is_contract, block_hash, block_number, block_timestamp, address, nonce, balance | tags: bigquery, public-data
[13] Bls | pub=Google BigQuery | cols: series_id, year, period, value, footnote_codes, survey_abbreviation, seasonal_code, periodicity_code, area_code, area_name | tags: bigquery, public-data
[14] Bls Qcew | pub=Google BigQuery | cols: geoid, area_fips, qtrly_estabs_11_agriculture_forestry_fishing_and_hunting, avg_wkly_wage_11_agriculture_forestry_fishing_and_hunting, month3_emplvl_11_agriculture_forestry_fishing_and_hunting, lq_avg_wkly_wage_11_agriculture_forestry_fishing_and_hunting, lq_qtrly_estabs_11_agriculture_forestry_fishing_and_hunting, lq_month3_emplvl_11_agriculture_forestry_fishing_and_hunting, qtrly_estabs_1024_professional_and_business_services, avg_wkly_wage_1024_professional_and_business_services | tags: bigquery, public-data
[15] Breathe | pub=Google BigQuery | cols: title, authors, abstract, date, arxiv_source, acquisition_date, citations, link, pdf_link, id | tags: bigquery, public-data
[16] Broadstreet Adi | pub=Google BigQuery | cols: geo_id, state_fips_code, county_fips_code, block_group_fips_code, description, county_name, state_name, state, year, area_deprivation_index_percent | tags: bigquery, public-data
[17] Catalonian Mobile Coverage | pub=Google BigQuery | cols: date, hour, lat, long, signal, network, operator, status, description, net | tags: bigquery, public-data
[18] Catalonian Mobile Coverage Eu | pub=Google BigQuery | cols: date, hour, lat, long, signal, network, operator, status, description, net | tags: bigquery, public-data
[19] Census Bureau Acs | pub=Google BigQuery | cols: geo_id, nonfamily_households, family_households, median_year_structure_built, rent_burden_not_computed, rent_over_50_percent, rent_40_to_50_percent, rent_35_to_40_percent, rent_30_to_35_percent, rent_25_to_30_percent | tags: bigquery, public-data
[20] Census Bureau Construction | pub=Google BigQuery | cols: period_id, period_name, period_date, category_id, category_code, category_desc, category_indent, datatype_id, datatype_code, datatype_desc | tags: bigquery, public-data
