[100] Fec | pub=Google BigQuery | cols: cand_id, cand_name, cand_pty_affiliation, cand_election_yr, cand_office_st, cand_office, cand_office_district, cand_ici, cand_status, cand_pcc | tags: bigquery, public-data
[101] Fhir Synthea | pub=Google BigQuery | cols: asserter, identifier, implicitRules, language, lastOccurrence, note, onset, reaction, recorder, text | tags: bigquery, public-data
[102] Ga4 Obfuscated Sample Ecommerce | pub=Google BigQuery | cols: event_date, event_timestamp, event_name, event_params, event_previous_timestamp, event_value_in_usd, event_bundle_sequence_id, event_server_timestamp_offset, user_id, user_pseudo_id | tags: bigquery, public-data
[103] Gbif | pub=Google BigQuery | cols: gbifid, datasetkey, occurrenceid, kingdom, phylum, class, order, family, genus, species | tags: bigquery, public-data
[104] Gdelt Hathitrustbooks | pub=Google BigQuery | cols: GKGRECORDID, DATE, SourceCollectionIdentifier, SourceCommonName, DocumentIdentifier, Counts, V2Counts, Themes, V2Themes, Locations | tags: bigquery, public-data
[105] Gdelt Internetarchivebooks | pub=Google BigQuery | cols: GKGRECORDID, DATE, SourceCollectionIdentifier, SourceCommonName, DocumentIdentifier, Counts, V2Counts, Themes, V2Themes, Locations | tags: bigquery, public-data
[106] Genomics Cannabis | pub=Google BigQuery | cols: reference_name, start, end, reference_bases, alternate_bases, variant_id, quality, filter, names, call | tags: bigquery, public-data
[107] Genomics Rice | pub=Google BigQuery | cols: reference_name, start_position, end_position, reference_bases, alternate_bases, names, quality, filter, call | tags: bigquery, public-data
[108] Geo Census Blockgroups | pub=Google BigQuery | cols: geo_id, state_fips_code, county_fips_code, tract_ce, blockgroup_ce, lsad_name, mtfcc_feature_class_code, functional_status, area_land_meters, area_water_meters | tags: bigquery, public-data
[109] Geo Census Tracts | pub=Google BigQuery | cols: state_fips_code, county_fips_code, tract_ce, geo_id, tract_name, lsad_name, functional_status, area_land_meters, area_water_meters, internal_point_lat | tags: bigquery, public-data
[110] Geo International Ports | pub=Google BigQuery | cols: index_number, region_number, port_name, country, port_latitude, port_longitude, publication_number, chart_number, harbor_size, harbor_type | tags: bigquery, public-data
[111] Geo Openstreetmap | pub=Google BigQuery | cols: id, osm_timestamp_min, osm_timestamp_max, relations, ways, nodes, layer_code, layer_class, layer_name, osm_id | tags: bigquery, public-data
[112] Geo Us Boundaries | pub=Google BigQuery | cols: county, state, county_fips_code, neighbors, neighbors_state, neighbors_fips_code, state, state_name, state_fips_code, neighbors_state | tags: bigquery, public-data
[113] Geo Us Census Places | pub=Google BigQuery | cols: state_fips_code, place_fips_code, place_gnis_code, place_id, place_name, name_lsad, lsad_code, fips_class_code, principal_city_msa, principal_city_ne | tags: bigquery, public-data
[114] Geo Us Roads | pub=Google BigQuery | cols: road_geom, road_id, full_name, route_type, mtfcc_feature_class_code, road_geom, road_id, full_name, route_type, mtfcc_feature_class_code | tags: bigquery, public-data
[115] Geo Whos On First | pub=Google BigQuery | cols: geoid, id, ancestor_id, ancestor_placetype, last_modified, last_modified_timestamp, geoid, id, other_id, other_source | tags: bigquery, public-data
[116] Ghcn D | pub=Google BigQuery | cols: id, date, element, value, mflag, qflag, sflag, time, id, date | tags: bigquery, public-data
[117] Ghcn M | pub=Google BigQuery | cols: id, year, element, value1, dmflag1, qcflag1, dsflag1, value2, dmflag2, qcflag2 | tags: bigquery, public-data
[118] Github Repos | pub=Google BigQuery | cols: commit, tree, parent, author, committer, subject, message, trailer, difference, difference_truncated | tags: bigquery, public-data
[119] GnomAD | pub=Google BigQuery | cols: reference_name, start_position, end_position, reference_bases, alternate_bases, names, quality, filter, call, AN | tags: bigquery, public-data
[120] GnomAD Asiane1 | pub=Google BigQuery | cols: reference_name, start_position, end_position, reference_bases, alternate_bases, names, quality, filter, call, AN | tags: bigquery, public-data
[121] GnomAD Eu | pub=Google BigQuery | cols: reference_name, start_position, end_position, reference_bases, alternate_bases, names, quality, filter, call, AN | tags: bigquery, public-data
[122] Goog Blockchain Arbitrum One Us | pub=Google BigQuery | cols: block_hash, block_number, block_timestamp, parent_hash, size, extra_data, gas_limit, gas_used, base_fee_per_gas, mix_hash | tags: bigquery, public-data
[123] Goog Blockchain Avalanche Contract Chain Us | pub=Google BigQuery | cols: block_hash, block_number, block_timestamp, parent_hash, size, extra_data, gas_limit, gas_used, base_fee_per_gas, mix_hash | tags: bigquery, public-data
[124] Goog Blockchain Cronos Mainnet Us | pub=Google BigQuery | cols: block_hash, block_number, block_timestamp, parent_hash, size, extra_data, gas_limit, gas_used, base_fee_per_gas, mix_hash | tags: bigquery, public-data
[125] Goog Blockchain Ethereum Goerli Us | pub=Google BigQuery | cols: block_hash, block_number, block_timestamp, parent_hash, size, extra_data, gas_limit, gas_used, base_fee_per_gas, mix_hash | tags: bigquery, public-data
[126] Goog Blockchain Ethereum Mainnet Us | pub=Google BigQuery | cols: address, code_hash, code, is_contract, block_hash, block_number, block_timestamp, address, nonce, balance | tags: bigquery, public-data
[127] Goog Blockchain Fantom Opera Us | pub=Google BigQuery | cols: block_hash, block_number, block_timestamp, parent_hash, size, extra_data, gas_limit, gas_used, base_fee_per_gas, mix_hash | tags: bigquery, public-data
[128] Goog Blockchain Optimism Mainnet Us | pub=Google BigQuery | cols: block_hash, block_number, block_timestamp, parent_hash, size, extra_data, gas_limit, gas_used, base_fee_per_gas, mix_hash | tags: bigquery, public-data
[129] Goog Blockchain Polygon Mainnet Us | pub=Google BigQuery | cols: block_hash, block_number, block_timestamp, parent_hash, size, extra_data, gas_limit, gas_used, base_fee_per_gas, mix_hash | tags: bigquery, public-data
[130] Goog Blockchain Tron Mainnet Us | pub=Google BigQuery | cols: block_hash, block_number, block_timestamp, parent_hash, size, extra_data, gas_limit, gas_used, base_fee_per_gas, mix_hash | tags: bigquery, public-data
[131] Google Ads | pub=Google BigQuery | cols: criteria_id, en_name, canonical_name, parent_id, country_code, display_feature_type, status | tags: bigquery, public-data
[132] Google Ads Geo Mapping Asia East1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[133] Google Ads Geo Mapping Asia East2 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[134] Google Ads Geo Mapping Asia Northeast1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[135] Google Ads Geo Mapping Asia Northeast2 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[136] Google Ads Geo Mapping Asia Northeast3 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[137] Google Ads Geo Mapping Asia South1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[138] Google Ads Geo Mapping Asia South2 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[139] Google Ads Geo Mapping Asia Southeast1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[140] Google Ads Geo Mapping Asia Southeast2 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[141] Google Ads Geo Mapping Australia Southeast1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[142] Google Ads Geo Mapping Australia Southeast2 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[143] Google Ads Geo Mapping Eu | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[144] Google Ads Geo Mapping Europe Central2 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[145] Google Ads Geo Mapping Europe North1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[146] Google Ads Geo Mapping Europe Southwest1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[147] Google Ads Geo Mapping Europe West1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[148] Google Ads Geo Mapping Europe West12 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[149] Google Ads Geo Mapping Europe West2 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
