[200] Idc V15 | pub=Google BigQuery | cols: ID, Title, Access, DOI, CancerType, Location, Subjects, Collections, AnalysisArtifactsonTCIA, Updated | tags: bigquery, public-data
[201] Idc V15 Clinical | pub=Google BigQuery | cols: dicom_patient_id, source_batch, i_spy_2_research_id, tcia_patient_id, t0, t1, t2, t3, bmmr2_train, bmmr2_test | tags: bigquery, public-data
[202] Idc V16 | pub=Google BigQuery | cols: ID, Title, Access, DOI, CancerType, Location, Subjects, Collections, AnalysisArtifacts, Updated | tags: bigquery, public-data
[203] Idc V16 Clinical | pub=Google BigQuery | cols: dicom_patient_id, source_batch, i_spy_2_research_id, tcia_patient_id, t0, t1, t2, t3, bmmr2_train, bmmr2_test | tags: bigquery, public-data
[204] Idc V17 | pub=Google BigQuery | cols: ID, Title, Access, DOI, CancerType, Location, Subjects, Collections, AnalysisArtifacts, Updated | tags: bigquery, public-data
[205] Idc V17 Clinical | pub=Google BigQuery | cols: dicom_patient_id, source_batch, i_spy_2_research_id, tcia_patient_id, t0, t1, t2, t3, bmmr2_train, bmmr2_test | tags: bigquery, public-data
[206] Idc V18 | pub=Google BigQuery | cols: ID, Title, Access, source_doi, source_url, CancerTypes, TumorLocations, Subjects, Collections, AnalysisArtifacts | tags: bigquery, public-data
[207] Idc V18 Clinical | pub=Google BigQuery | cols: dicom_patient_id, source_batch, i_spy_2_research_id, tcia_patient_id, t0, t1, t2, t3, bmmr2_train, bmmr2_test | tags: bigquery, public-data
[208] Idc V19 | pub=Google BigQuery | cols: ID, Title, Access, source_doi, source_url, CancerTypes, TumorLocations, Subjects, Collections, AnalysisArtifacts | tags: bigquery, public-data
[209] Idc V19 Clinical | pub=Google BigQuery | cols: dicom_patient_id, source_batch, i_spy_2_research_id, tcia_patient_id, t0, t1, t2, t3, bmmr2_train, bmmr2_test | tags: bigquery, public-data
[210] Idc V2 | pub=Google BigQuery | cols: Collection, DOI, CancerType, Location, Subjects, Collections, AnalysisArtifactsonTCIA, Updated, idc_version_number, idc_version_timestamp | tags: bigquery, public-data
[211] Idc V20 | pub=Google BigQuery | cols: ID, Title, Access, source_doi, source_url, CancerTypes, TumorLocations, Subjects, Collections, AnalysisArtifacts | tags: bigquery, public-data
[212] Idc V20 Clinical | pub=Google BigQuery | cols: dicom_patient_id, source_batch, i_spy_2_research_id, tcia_patient_id, t0, t1, t2, t3, bmmr2_train, bmmr2_test | tags: bigquery, public-data
[213] Idc V21 | pub=Google BigQuery | cols: ID, Title, Access, source_doi, source_url, CancerTypes, TumorLocations, Subjects, Collections, AnalysisArtifacts | tags: bigquery, public-data
[214] Idc V21 Clinical | pub=Google BigQuery | cols: dicom_patient_id, source_batch, i_spy_2_research_id, tcia_patient_id, t0, t1, t2, t3, bmmr2_train, bmmr2_test | tags: bigquery, public-data
[215] Idc V22 | pub=Google BigQuery | cols: ID, Title, Access, source_doi, source_url, CancerTypes, TumorLocations, Subjects, Collections, AnalysisArtifacts | tags: bigquery, public-data
[216] Idc V22 Clinical | pub=Google BigQuery | cols: dicom_patient_id, source_batch, i_spy_2_research_id, tcia_patient_id, t0, t1, t2, t3, bmmr2_train, bmmr2_test | tags: bigquery, public-data
[217] Idc V23 | pub=Google BigQuery | cols: ID, Title, Access, source_doi, source_url, CancerTypes, TumorLocations, Subjects, Collections, Modalities | tags: bigquery, public-data
[218] Idc V23 Clinical | pub=Google BigQuery | cols: dicom_patient_id, source_batch, i_spy_2_research_id, tcia_patient_id, t0, t1, t2, t3, bmmr2_train, bmmr2_test | tags: bigquery, public-data
[219] Idc V3 | pub=Google BigQuery | cols: Collection, DOI, CancerType, Location, Subjects, Collections, AnalysisArtifactsonTCIA, Updated, tcia_api_collection_id, idc_webapp_collection_id | tags: bigquery, public-data
[220] Idc V4 | pub=Google BigQuery | cols: ID, Title, DOI, CancerType, Location, Subjects, Collections, AnalysisArtifactsonTCIA, Updated, license_url | tags: bigquery, public-data
[221] Idc V5 | pub=Google BigQuery | cols: ID, Title, DOI, CancerType, Location, Subjects, Collections, AnalysisArtifactsonTCIA, Updated, license_url | tags: bigquery, public-data
[222] Idc V6 | pub=Google BigQuery | cols: ID, Title, Access, DOI, CancerType, Location, Subjects, Collections, AnalysisArtifactsonTCIA, Updated | tags: bigquery, public-data
[223] Idc V7 | pub=Google BigQuery | cols: ID, Title, Access, DOI, CancerType, Location, Subjects, Collections, AnalysisArtifactsonTCIA, Updated | tags: bigquery, public-data
[224] Idc V8 | pub=Google BigQuery | cols: ID, Title, Access, DOI, CancerType, Location, Subjects, Collections, AnalysisArtifactsonTCIA, Updated | tags: bigquery, public-data
[225] Idc V9 | pub=Google BigQuery | cols: ID, Title, Access, DOI, CancerType, Location, Subjects, Collections, AnalysisArtifactsonTCIA, Updated | tags: bigquery, public-data
[226] Imdb | pub=Google BigQuery | cols: nconst, primary_name, birth_year, death_year, primary_profession, known_for_titles, review, split, label, movie_id | tags: bigquery, public-data
[227] Immune Epitope Db | pub=Google BigQuery | cols: antigen_name, antigen_id, organism_name, organism_id, number_of_epitopes, number_of_assays, number_of_references, assay_iri, reference_iri, type | tags: bigquery, public-data
[228] Iowa Liquor Sales | pub=Google BigQuery | cols: item, purchases, invoice_and_item_number, date, store_number, store_name, address, city, zip_code, store_location | tags: bigquery, public-data
[229] Iowa Liquor Sales Forecasting | pub=Google BigQuery | cols: date, store_name, city, zip_code, county, sale_dollars, date, store_name, city, zip_code | tags: bigquery, public-data
[230] Irs 990 | pub=Google BigQuery | cols: ein, tax_pd, subseccd, unrelbusinccd, initiationfees, grsrcptspublicuse, grsincmembers, grsincother, totcntrbgfts, totprgmrevnue | tags: bigquery, public-data
[231] Labeled Patents | pub=Google BigQuery | cols: gcs_path, issuer, language, publication_date, class_international, class_us, application_number, filing_date, priority_date_eu, representative_line_1_eu | tags: bigquery, public-data
[232] Libraries Io | pub=Google BigQuery | cols: id, platform, project_name, project_id, version_number, version_id, dependency_name, dependency_platform, dependency_kind, optional_dependency | tags: bigquery, public-data
[233] Listenbrainz | pub=Google BigQuery | cols: listened_at, user_name, artist_msid, artist_name, artist_mbids, release_msid, release_name, release_mbid, recording_msid, track_name | tags: bigquery, public-data
[234] London Bicycles | pub=Google BigQuery | cols: rental_id, duration, duration_ms, bike_id, bike_model, end_date, end_station_id, end_station_name, start_date, start_station_id | tags: bigquery, public-data
[235] London Crime | pub=Google BigQuery | cols: lsoa_code, borough, major_category, minor_category, value, year, month | tags: bigquery, public-data
[236] London Fire Brigade | pub=Google BigQuery | cols: incident_number, date_of_call, cal_year, time_of_call, hour_of_call, timestamp_of_call, incident_group, stop_code_description, special_service_type, property_category | tags: bigquery, public-data
[237] Marec | pub=Google BigQuery | cols: publication_number, publication_number_original, xml, truncated | tags: bigquery, public-data
[238] Medicare | pub=Google BigQuery | cols: drg_definition, provider_id, provider_name, provider_street_address, provider_city, provider_state, provider_zipcode, hospital_referral_region_description, total_discharges, average_covered_charges | tags: bigquery, public-data
[239] Ml Datasets | pub=Google BigQuery | cols: age, workclass, functional_weight, education, education_num, marital_status, occupation, relationship, race, sex | tags: bigquery, public-data
[240] Ml Datasets Uscentral1 | pub=Google BigQuery | cols: species, island, culmen_length_mm, culmen_depth_mm, flipper_length_mm, body_mass_g, sex | tags: bigquery, public-data
[241] Modis Terra Net Primary Production | pub=Google BigQuery | cols: geography, geography_polygon, year, npp, npp_qc | tags: bigquery, public-data
[242] Moon Phases | pub=Google BigQuery | cols: phase, phase_emoji, peak_datetime | tags: bigquery, public-data
[243] Multilingual Spoken Words Corpus | pub=Google BigQuery | cols: lang_abbr, language, number_of_words, word, word_count, filename | tags: bigquery, public-data
[244] Nasa Wildfire | pub=Google BigQuery | cols: latitude, longitude, bright_ti4, scan, track, acq_date, acq_time, satellite, confidence, version | tags: bigquery, public-data
[245] National Water Model | pub=Google BigQuery | cols: time, reference_time, feature_id, streamflow, nudge, velocity, qSfcLatRunoff, qBucket, qBtmVertRunoff, ensemble | tags: bigquery, public-data
[246] Ncaa Basketball | pub=Google BigQuery | cols: id, market, name, mascot, mascot_name, mascot_common_name, tax_subspecies, tax_species, tax_genus, tax_family | tags: bigquery, public-data
[247] Nces Ipeds | pub=Google BigQuery | cols: UNITID, CIPCODE, MAJORNUM, AWLEVEL, XCTOTALT, CTOTALT, XCTOTALM, CTOTALM, XCTOTALW, CTOTALW | tags: bigquery, public-data
[248] New York | pub=Google BigQuery | cols: unique_key, created_date, closed_date, agency, agency_name, complaint_type, descriptor, location_type, incident_zip, incident_address | tags: bigquery, public-data
[249] New York 311 | pub=Google BigQuery | cols: unique_key, created_date, closed_date, agency, agency_name, complaint_type, descriptor, location_type, incident_zip, incident_address | tags: bigquery, public-data
[250] New York Citibike | pub=Google BigQuery | cols: station_id, name, short_name, latitude, longitude, region_id, rental_methods, capacity, eightd_has_key_dispenser, num_bikes_available | tags: bigquery, public-data
[251] New York Mv Collisions | pub=Google BigQuery | cols: borough, contributing_factor_vehicle_1, contributing_factor_vehicle_2, contributing_factor_vehicle_3, contributing_factor_vehicle_4, contributing_factor_vehicle_5, cross_street_name, timestamp, latitude, longitude | tags: bigquery, public-data
[252] New York Subway | pub=Google BigQuery | cols: borough_code, borough_name, borough_area, borough_len, borough_geom, route_id, route_short_name, route_long_name, route_describe, route_type | tags: bigquery, public-data
[253] New York Taxi Trips | pub=Google BigQuery | cols: zone_id, zone_name, borough, zone_geom, location_id, pickup_datetime, dispatching_base_num, borough, zone, service_zone | tags: bigquery, public-data
[254] New York Trees | pub=Google BigQuery | cols: recordid, address, house_number, street, zip_original, cb_original, site, species, diameter, status | tags: bigquery, public-data
[255] Nhtsa Traffic Fatalities | pub=Google BigQuery | cols: state_number, state_name, consecutive_number, number_of_vehicle_forms_submitted_all, number_of_motor_vehicles_in_transport_mvit, number_of_parked_working_vehicles, number_of_forms_submitted_for_persons_not_in_motor_vehicles, number_of_forms_submitted_for_persons_in_motor_vehicles, number_of_persons_in_motor_vehicles_in_transport_mvit, number_of_persons_not_in_motor_vehicles_in_transport_mvit | tags: bigquery, public-data
[256] Nih Gudid | pub=Google BigQuery | cols: primarydi, phone, phoneextension, email, primarydi, publicdevicerecordkey, publicversionstatus, devicerecordstatus, publicversionnumber, publicversiondate | tags: bigquery, public-data
[257] Nih Sequence Read | pub=Google BigQuery | cols: run, CHR, POS, REF, ALT, DP, G_AD_2, EFFECT, FUNCLASS, CODON | tags: bigquery, public-data
[258] Nlm Rxnorm | pub=Google BigQuery | cols: SOURCE_RXCUI, SOURCE_TTY, SOURCE_NAME, TARGET_RXCUI, TARGET_TTY, TARGET_NAME, SOURCE_RXCUI, SOURCE_TTY, SOURCE_NAME, TARGET_RXCUI | tags: bigquery, public-data
[259] Noaa Global Forecast System | pub=Google BigQuery | cols: creation_time, geography, geography_polygon, forecast | tags: bigquery, public-data
[260] Noaa Global Forecast System 2weeks | pub=Google BigQuery | cols: id, prov_id, type, name, extended_name, id, prov_id, observation_about, variable_measured, value | tags: bigquery, public-data
[261] Noaa Goes16 | pub=Google BigQuery | cols: dataset_name, platform_id, orbital_slot, timeline_id, scene_id, band_id, time_coverage_start, time_coverage_end, date_created, geospatial_westbound_longitude | tags: bigquery, public-data
[262] Noaa Goes17 | pub=Google BigQuery | cols: dataset_name, platform_id, orbital_slot, timeline_id, scene_id, band_id, time_coverage_start, time_coverage_end, date_created, geospatial_westbound_longitude | tags: bigquery, public-data
[263] Noaa Gsod | pub=Google BigQuery | cols: stn, wban, year, mo, da, temp, count_temp, dewp, count_dewp, slp | tags: bigquery, public-data
[264] Noaa Historic Severe Storms | pub=Google BigQuery | cols: timestamp, time, size, location, county, state, latitude, longitude, comments, report_point | tags: bigquery, public-data
[265] Noaa Hurricanes | pub=Google BigQuery | cols: sid, season, number, basin, subbasin, name, iso_time, nature, latitude, longitude | tags: bigquery, public-data
[266] Noaa Icoads | pub=Google BigQuery | cols: year, month, day, hour, latitude, longitude, imma_version, attm_count, time_indicator, latlong_indicator | tags: bigquery, public-data
[267] Noaa Lightning | pub=Google BigQuery | cols: date, number_of_strikes, center_point_geom, source_url, etl_timestamp | tags: bigquery, public-data
[268] Noaa Passive Acoustic Index | pub=Google BigQuery | cols: file_name, deployment_name, start_date, start_time, source_organization, funding_organization, project_name, sensor_depth, sample_rate, duration | tags: bigquery, public-data
[269] Noaa Passive Bioacoustic | pub=Google BigQuery | cols: cloud_path, file_name, start_date, start_time, data_collection_name, source_organization, funding_organization, project_name, sensor_depth, sample_rate | tags: bigquery, public-data
[270] Noaa Pifsc Metadata | pub=Google BigQuery | cols: array_start_local, array_end_local, array_start_utc, array_end_utc, array1, array2, hp1_dist, hp1_ad, hp2_dist, hp2_ad | tags: bigquery, public-data
[271] Noaa Preliminary Severe Storms | pub=Google BigQuery | cols: timestamp, time, size, location, county, state, latitude, longitude, comments, report_point | tags: bigquery, public-data
[272] Noaa Significant Earthquakes | pub=Google BigQuery | cols: id, flag_tsunami, year, month, day, hour, minute, second, focal_depth, eq_primary | tags: bigquery, public-data
[273] Noaa Tsunami | pub=Google BigQuery | cols: id, tsevent_id, year, month, day, timestamp, doubtful, country, state, location_name | tags: bigquery, public-data
[274] Nppes | pub=Google BigQuery | cols: code, grouping, classification, specialization, definition, notes, code, grouping, classification, specialization | tags: bigquery, public-data
