[300] San Francisco Film Locations | pub=Google BigQuery | cols: title, release_year, locations, fun_facts, production_company, distributor, director, writer, actor_1, actor_2 | tags: bigquery, public-data
[301] San Francisco Neighborhoods | pub=Google BigQuery | cols: neighborhood, internal_point_latitude, internal_point_longitude, internal_point_geom, neighborhood_geom | tags: bigquery, public-data
[302] San Francisco Sffd Service Calls | pub=Google BigQuery | cols: call_number, unit_id, incident_number, call_type, call_date, watch_date, received_timestamp, entry_timestamp, dispatch_timestamp, response_timestamp | tags: bigquery, public-data
[303] San Francisco Sfpd Incidents | pub=Google BigQuery | cols: unique_key, category, descript, dayofweek, pddistrict, resolution, address, longitude, latitude, location | tags: bigquery, public-data
[304] San Francisco Transit Muni | pub=Google BigQuery | cols: service_id, service_desc, sunday, monday, tuesday, wednesday, thursday, friday, saturday, exceptions | tags: bigquery, public-data
[305] San Francisco Trees | pub=Google BigQuery | cols: tree_id, legal_status, species, address, site_order, site_info, plant_type, care_taker, care_assistant, plant_date | tags: bigquery, public-data
[306] Sdoh Bea Cainc30 | pub=Google BigQuery | cols: Year, GeoFIPS, GeoName, Employer_contrib_pension_and_insurance, Employer_contrib_govt_and_social_insurance, Farm_proprietors_income, Nonfarm_proprietors_income, Farm_proprietors_employment, Income_maintenance_benefits, Nonfarm_proprietors_employment | tags: bigquery, public-data
[307] Sdoh Cdc Wonder Natality | pub=Google BigQuery | cols: Year, County_of_Residence, County_of_Residence_FIPS, Births, Ave_Age_of_Mother, Ave_OE_Gestational_Age_Wks, Ave_LMP_Gestational_Age_Wks, Ave_Birth_Weight_gms, Ave_Pre_pregnancy_BMI, Ave_Number_of_Prenatal_Wks | tags: bigquery, public-data
[308] Sdoh Cms Dual Eligible Enrollment | pub=Google BigQuery | cols: State_Abbr, County_Name, QMB_Only, QMB_plus_Full, SLMB_only, SLMB_plus_Full, QDWI, QI, Other_full, Public_Total | tags: bigquery, public-data
[309] Sdoh Hrsa Shortage Areas | pub=Google BigQuery | cols: Source_ID, Source_Name, Status_Code, Status_Description, Type_Code, Type_Desc, Address, City, State_Abbr, Postal_Code | tags: bigquery, public-data
[310] Sdoh Hud Housing | pub=Google BigQuery | cols: hud_id, project, proj_add, proj_cty, proj_st, proj_zip, state_id, contact, company, co_add | tags: bigquery, public-data
