[1] NYC Taxi - Green | pub=Microsoft Azure | desc: Green taxi trip records | cols: vendorID, lpepPickupDatetime, lpepDropoffDatetime, passengerCount, tripDistance, puLocationId, doLocationId, rateCodeID, storeAndFwdFlag, paymentType | tags: azure, open-datasets, transportation
[2] NYC Taxi - FHV | pub=Microsoft Azure | desc: For-hire vehicle trip records | cols: dispatchBaseNum, pickupDateTime, dropoffDateTime, puLocationId, doLocationId, srFlag | tags: azure, open-datasets, transportation
[5] US Employment Hours & Earnings (National) | pub=Microsoft Azure | desc: CES nonfarm employment estimates — national level | cols: seriesId, year, period, value, footnotes | tags: azure, open-datasets, labor
[6] US Employment Hours & Earnings (State) | pub=Microsoft Azure | desc: State-level CES employment estimates | cols: seriesId, year, period, value, footnotes | tags: azure, open-datasets, labor
[8] US Consumer Price Index | pub=Microsoft Azure | desc: CPI — average price changes for urban consumers | cols: seriesId, year, period, value, footnotes | tags: azure, open-datasets, labor
[9] US Producer Price Index - Industry | pub=Microsoft Azure | desc: PPI by industry | cols: seriesId, year, period, value, footnotes | tags: azure, open-datasets, labor
[10] US Producer Price Index - Commodities | pub=Microsoft Azure | desc: PPI by commodity | cols: seriesId, year, period, value, footnotes | tags: azure, open-datasets, labor
[11] US Population by County | pub=Microsoft Azure | desc: Population by gender/race from 2000/2010 Census | cols: decennialTime, stateName, countyName, population, race, sex, minAge, maxAge | tags: azure, open-datasets, demographics
[12] US Population by ZIP Code | pub=Microsoft Azure | desc: Population by gender/race from 2010 Census | cols: zipCode, population, gender, race, ageGroup | tags: azure, open-datasets, demographics
[13] Boston Safety Data | pub=Microsoft Azure | desc: 311 service requests — daily updates | cols: caseEnquiryId, openDt, closedDt, caseStatus, caseTitle, subject, reason, type, queue, department | tags: azure, open-datasets, public_safety
[14] Chicago Safety Data | pub=Microsoft Azure | desc: 311 service requests — daily updates | cols: serviceRequestNumber, createdDate, closedDate, status, serviceRequestType, typeOfServiceRequest, streetAddress, latitude, longitude, ward | tags: azure, open-datasets, public_safety
[15] NYC Safety Data | pub=Microsoft Azure | desc: 311 service requests 2010-present — daily updates | cols: uniqueKey, createdDate, closedDate, agency, agencyName, complaintType, descriptor, locationType, incidentZip, incidentAddress | tags: azure, open-datasets, public_safety
[16] San Francisco Safety Data | pub=Microsoft Azure | desc: Fire department calls and 311 cases, 2015-present | cols: caseId, openedDate, closedDate, status, category, requestType, requestDetails, address, latitude, longitude | tags: azure, open-datasets, public_safety
[17] Seattle Safety Data | pub=Microsoft Azure | desc: Fire department 911 dispatches, 2010-present | cols: address, type, datetime, latitude, longitude, reportLocation, incidentNumber | tags: azure, open-datasets, public_safety
[20] MNIST Handwritten Digits | pub=Microsoft Azure | desc: 70,000 handwritten digit images (28x28 pixels) | cols: image, label | tags: azure, open-datasets, technology
[21] Microsoft News (MIND) | pub=Microsoft Azure | desc: Large-scale news recommendation benchmark dataset | cols: impressionId, userId, time, history, impressions | tags: azure, open-datasets, technology
[22] Public Holidays | pub=Microsoft Azure | desc: Worldwide holidays for 38 countries, 1970-2099 | cols: countryOrRegion, holidayName, normalizeHolidayName, isPaidTimeOff, countryRegionCode, date | tags: azure, open-datasets, demographics
[23] Russian Open Speech-to-Text | pub=Microsoft Azure | desc: Large-scale Russian language STT dataset | cols: audioFile, transcription, duration | tags: azure, open-datasets, technology
