[7] Scooter Activity Daily | pub=data.bloomington.in.gov | desc: Summary data of electric scooter usage by company. | cols: provider_name, day, trips, available_scooters, avg_distance, avg_duration
[35] Board and Commission Vacancies | pub=data.bloomington.in.gov | desc: Current Boards and Commissions Vacancies | cols: Seat Code, Appointer, Term End, Seat Name, Firstname, Term Start, Committee, Lastname, Appointment Start, Appointment End
[38] COVID-19 Recover Forward Funding Grant Recipients | pub=data.bloomington.in.gov | desc: COVID-19 Recovery Funding Grant Recipients | cols: Project Description, RF Categories, Amount of Funding, Project Name, Funding Source, As of Date, Notes, Recover Forward Phase
[44] Use of Force | pub=Bloomington Police Department | desc: Bloomington Police Department Use of Force data | cols: Date, Suspect Race Asian/Pacific Islander, Non-Hispanic, Suspect Race Indian/Alaskan Native, Non-Hispanic, Suspect Race AA, Non-Hispanic, Suspect Armed, Less Lethal, Vehicle Pursuit, Suspect Gender Female, Taser Fired, Taser Pointed
[45] Solar Facilities | pub=data.bloomington.in.gov | desc: Solar installation sites for the city | cols: address, name, id, longitude, latitude, department, Georeference
[49] Boards and Commissions | pub=data.bloomington.in.gov | desc: Current city boards and commissions | cols: City, Website, Video Archive, Type, Phone Number, End Date, State, seats, vacancies, Zip | tags: commissions, boards, committees
[58] Boards and Commission Seats | pub=data.bloomington.in.gov | desc: Current Boards and Commissions Seats | cols: Appointer, Committee, Appointment End, Lastname, Term Start, Term End, Appointment Start, Seat Code, Seat Name, Firstname
[66] Water Main Breaks | pub=data.bloomington.in.gov | desc: Main breaks from 2013 to present. Beginning in 2023, breaks on the CBU-owned side of the water meter were added to this dataset. | cols: address, type, date, pipe_material, break_strike
[72] Yard Waste Data | pub=data.bloomington.in.gov | desc: Data from the yard waste neighborhood program. | cols: Lucky Thirteen Status, Neighborhoods With Bags, Number of Bags Per Neighborhood, Number of Bags per House (Editable), #BagsDiv#Houses, location_id, #HousesPerNeighborhood, Matched # Bags Records, neighborhood, neighborhood 1
[74] American Community Survey 5-Year Estimates | pub=data.bloomington.in.gov | desc: DO NOT EDIT THIS DATASET. This dataset, which is automatically updated contains American Community Survey 5-Year Estimates. This dataset is updated by a Socrata process; please contact support@socrata | cols: Year, Variable Code, Variable Concept, Value, Date, Variable Label, Name, Percent Change, Difference, Internal Point
[77] CBU Customer Delinquent Account Dataset | pub=data.bloomington.in.gov | desc: Monthly delinquent CBU customer data. Blank cells indicate data retrieval issues from the software. | cols: month_year, no_accts, no_shutoff_notices, perc_delinquent, amt_delinquent, no_shutoffs_reported, perc_cust_shutoff, amt_of_delinquent, no_shutoffs_actual, sccap_amt_paid
[86] Work Orders | pub=Public Works | desc: Work orders for the public works street department | cols: action, problem, number, id, category, address, status_date, status
[89] Network Availability | pub=Zabbix | desc: Thirty day uptime for core networking | cols: date, time_ok, percent
[94] Website Availability | pub=Zabbix | desc: Thirty day uptime for the city's website | cols: date, percent, time_ok
[123] Climate Action Plan Measures | pub=data.bloomington.in.gov | cols: Goal Area, Goal, Metric, Year, Value, Data Source, Unit, Note, Updated
[133] Intake Elec Bills | pub=City of Bloomington Utilities | desc: Electricity costs from the water intake facility | cols: mg, cost, kwh, start_date, end_date, kw
[158] 2018 Pavement Branch Report | pub=Public Works | desc: Pavement information by street branch. This includes section information, length, width, area and various Pavement Condition Index (PCI) information. Please see the Bloomington project summary documen | cols: Average PCI, Weighted Average PCI, Sum Section Length (Ft), Number of Sections, PCI Standard Deviation, Branch ID, Avg Section Width (Ft), True Area (SqFt), Use
[160] 2018 IU Fire Incident Type Summary | pub=Fire Department | desc: Emergency responses to IU by incident type | cols: Apr, Jul, Aug, Oct, Call Types, Feb, May, Nov, YTD, Mar
[165] 2018 Public Fire Education Activity Summary | pub=Fire Department | desc: Public Education Activity Summary | cols: Oct, Jul, Jan, YTD, Aug, May, Dec, Mar, Sep, Jun
[172] 2019 Fire Incident Type Summary | pub=Fire Department | desc: Emergency response by incident type | cols: Sep, Oct, Nov, Aug, Jul, Apr, Mar, _id, Call Types, Dec
[174] 1999-2018 Frank Southern Center | pub=Parks and Recreation | desc: Annual Participation | cols: Special Events, IU Hockey, Adult Hockey, Rentals, Blades Hockey, IU Figure Skating, Learn to Skate, BYHA, Stick & Puck, Figure Skating
[175] 1999-2018 Youth Programs | pub=Parks and Recreation | desc: Annual participation. These participation numbers reflect, youth programs held at the Alison Jukebox Building and Banneker Community Center. | cols: AJB Kid City Camps Participations, Year, Inculsive Recreation Participation, Banneker After School Participation, Banneker Food Service Program Meals Served, AJB Break Days Participation, Banneker Drop-ins Participation
[177] 2018 Fire Inspection Activity Summary | pub=Fire Department | desc: Fire Inspection Activity by Type | cols: YTD, Inspection Type, Apr, Jun, Sep, Oct, Dec, _id, Jan, Feb
[178] 2019 Fire Inspection Activity Summary | pub=Fire Department | cols: Sep, Oct, Nov, May, Jun, Apr, Mar, Inspection Type, _id, Jan
[181] 1999-2018 Farmers' Market | pub=Parks and Recreation | desc: Annual participations. 2004 was the first year for the Holiday Market. | cols: Farmers Market Tuesday Attendance, Farmer Market Saturday Attendance, Holiday Market Attendance, Year
[182] 2001-2018 Shelter Rentals | pub=Parks and Recreation | desc: Number of times shelters were rented per year. | cols: Henderson  Bryan Park, Woodlawn  Bryan Park, Buildings and Trades, Sycamore                  Lower Cascades, Pavillion - Olcott Park, Lions Den Upper Cascades, RCA (Small), Winslow Woods, Twin Lakes Lodge, Year
[184] 2018 Fire Response Area Summary | pub=Fire Department | desc: Emergency responses by area served. Includes within City limits, IU, and mutual aid responses. | cols: Sep, Mar, _id, Oct, Aug, May, YTD, Dec, Nov, Jul
[185] 2019 Fire Response Area Summary | pub=Fire Department | desc: Emergency responses by area served. Includes within City limits, IU, and mutual aid responses. | cols: Oct, Mar, _id, May, Call Types, Jul, Jan, Feb, YTD, Dec
[187] Lead and copper 2021 | pub=data.bloomington.in.gov | cols: Sample ID, Copper (µg/l), Lead (µg/l) | tags: water quality, drinking water
[188] 2019 IU Fire Incident Type Summary | pub=Fire Department | desc: Emergency responses to IU by incident type | cols: Jun, Jul, Sep, Mar, YTD, Jan, Feb, Oct, Nov, _id
[190] 1999-2018 Natural Resources | pub=Parks and Recreation | desc: Annual participations. Due to a Brazilian elodea infestation, outside boats were not allowed onto Griffy Lake in 2006. Leonard Springs Nature Day program began in 2008. Griffy Lake Nature Day program  | cols: Annual Launch Permits, Daily Launch Permits, Leonard Springs Nature Day Participation, Boat Rentals, Year, Griffy Lake Nature Day Participation
[195] 2018 Fire Incident Type Summary | pub=Fire Department | desc: Emergency response by incident type | cols: May, Apr, Jun, Jul, Sep, _id, Call Types, Mar, Aug, Oct
[197] Digital Equity Grant Recipients | pub=Information & Technology Services | cols: Recipient Organization, Project Name, Year, Award Amount | tags: digital equity
[198] StreetTypology | pub=data.bloomington.in.gov | cols: Proposed Right-Of-Way Width, Address Block, Length (ft), Street Typology, Bicycle Facility Recommendation, Centerline ID, Full Street Name, Functional Classification, Right-Of-Way Adjustment Reason, Geometry | tags: streets, transportation, planning
