[7674] Registro de Activos de Información | pub=Fondecun | desc: Registro de Activos de Información | cols: Lugar donde se encuentra disponible, Información disponible, Medio de conservación y/o soporte, Nombre o título de la categoría de Información, Información Publicada, Formato, Descripción del contenido la categoría de información, Subcategorías, Idioma
[7686] ESQUEMA DE PUBLICACION DE INFORMACION | pub=NOTARIA UNICA PLAYON | cols: Nombre o título de la información, Frecuencia  de actualización, Nombre del responsable de la información, Medio de conservación, Formato, Idioma, Nombre del responsable de la producción de la información, Lugar de consulta, Fecha de Generación  de la Información | tags: notaria, gestión documental
[7689] INDICE DE INFORMACION CLASIFICADA Y RESERVADA | pub=NOTARIA PRIMERA DE SANTA MARTA | cols: Fecha de generación de la información, Idioma, Fundamento jurídico de la excepción, Nombre o título  de la categoría de información, Formato, Plazo de clasificación o reserva, Nombre del responsable de la información, Nombre del responsable de la producción de la información, Fundamento constitucional o legal, Fecha de la calificación | tags: notaria, gestión documental
[7704] INDICE DE INFORMACION CLASIFICADA Y RESERVADA | pub=NOTARIA DE ANDALUCIA | cols: Nombre o título  de la categoría de información, Fecha de la calificación, Fundamento jurídico de la excepción, Formato, Medio de conservación y/o soporte, Idioma, Plazo de clasificación o reserva, Nombre del responsable de la información, Excepción total o parcial, Objetivo legítimo de la excepción | tags: notaria, gestión documental
[7711] Indice de Información clasificada y reservada_2 | pub=Colombia Open Data | desc: Indice de Información clasificada y reservada_2 | cols: Plazo de clasificación o reserva, Nombre o título de la información, Fundamento constitucional o legal, Calificación, Formato, Medio de conservación y/o soporte, Subcategorías, Nombre del responsable de la producción de la información, Fecha de generación de la información, Idioma
[7730] Índice de Información Clasificada y Reservada | pub=Notaría Única del Círculo de San Andrés de Cuerquí | cols: Excepción total o parcial, Idioma, Objetivo legítimo de la excepción, Nombre del responsable de la información, Calificación, Plazo de clasificación o reserva, Fundamento jurídico de la excepción, Subcategorías, Nombre o título  de la categoría de información, Fecha de generación de la información | tags: notaría, indice de información clasificada y reservada, gestión documental
[7749] ACTIVOS DE LA INFORMACION | pub=NOTARIA UNICA CHARALA | cols: Descripción del contenido la categoría de información, Nombre o título de la categoría de Información, Formato, Información Disponible, Medio de conservación y/o soporte, Información Publicada, Lugar donde se encuentra disponible, Idioma | tags: gestión documental, notaria
[7765] ESQUEMA DE PUBLICACION DE INFORMACION | pub=NOTARIA UNICA DE SANVICENTE | cols: Nombre del responsable de la información, Medio de conservación, Formato, Frecuencia  de actualización, Lugar de consulta, Nombre del responsable de la producción de la información, Idioma, Fecha de Generación  de la Información, Nombre o título de la información | tags: gestión documental, notaria
[7769] Esquema de publicación de información | pub=NOTARÍA ÚNICA DEL CÍRCULO DE PAIPA | cols: Medio de conservación, Nombre o título de la información, Formato, Nombre del responsable de la producción de la información, Idioma, Lugar de consulta, Fecha de Generación  de la Información, Nombre del responsable de la información, Frecuencia  de actualización | tags: gestión documental, notaría, esquema de publicación de información
[7770] Esquema de publicación de información | pub=Notaría Única del Círculo de Machetá | cols: Lugar de consulta, Frecuencia  de actualización, Nombre del responsable de la producción de la información, Medio de conservación, Nombre del responsable de la información, Idioma, Fecha de Generación  de la Información, Nombre o título de la información, Formato | tags: esquema de publicación, notaria, gestion documental
[7776] ESQUEMA DE PUBLICACION DE INFORMACION | pub=NOTARIA UNICA DE GUADALUPE | cols: Nombre o título de la información, Lugar de consulta, Nombre del responsable de la información, Fecha de Generación  de la Información, Idioma, Formato, Frecuencia  de actualización, Medio de conservación, Nombre del responsable de la producción de la información | tags: notaria, gestión documental
[7783] Centros religiosos de la ciudad de Pereira | pub=Alcaldía de Pereira | desc: Centros religiosos de la ciudad de Pereira | cols: DEPARTAMENTO, COMUNA/CORREGIMIENTO, DIRECCION, NOMBRE DE LA ENTIDAD RELIGIOSA, CIUDAD, BARRIO
[7784] INDICE DE INFORMACION CLASIFICADA Y RESERVADA | pub=NOTARIA UNICA ZAPATOCA | cols: Formato, Fecha de la calificación, Fundamento constitucional o legal, Fecha de generación de la información, Idioma, Nombre o título de la información, Excepción total o parcial, Nombre o título  de la categoría de información, Fundamento jurídico de la excepción, Plazo de clasificación o reserva | tags: notaria, gestión documental
[7797] Tablas_de_Retención_Documental | pub=NOTARÍA ÚNICA DEL CÍRCULO DE SAN JOSÉ DEL GUAVIARE | desc: Tablas_de_Retención_Documental | cols: REUTILIZAR, TIEMPO DE RETENCIÓN, CÓDIGO, ELIMINACIÓN, CONSERVACIÓN, ELECTRÓNICA, CARPETA, DIGITALIZACIÓN Y DESTRUCCIÓN DEL ARCHIVO FÍSICO, RECICLAR, TIEMPO DE RETENCIÓN 1
[7798] Índice de Información Clasificada y Reservada | pub=Notaria Séptima del Círculo de Cúcuta | cols: Idioma, Nombre del responsable de la producción de la información, Nombre del responsable de la información, Fundamento constitucional o legal, Nombre o título de la información, Formato, Subcategorías, Fecha de generación de la información, Nombre o título  de la categoría de información, Calificación | tags: notaria, indice de información clasificada y reservada, gestión documental
[7810] Registro de Activos de Información | pub=NOTARÍA PRIMERA DEL CÍRCULO DE FLORIDABLANCA | cols: Lugar donde se encuentra disponible, Descripción del contenido la categoría de información, Formato, Información Disponible, Información Publicada, Medio de conservación y/o soporte, Nombre o título de la categoría de Información, Idioma | tags: registro de activos de información, gestión documental, notaría
[7846] ACTIVOS DE LA INFORMACION | pub=NOTARIA OCHENTA BOGOTA | cols: Lugar donde se encuentra disponible, Nombre o título de la categoría de Información, Idioma, Formato, Medio de conservación y/o soporte, Descripción del contenido la categoría de información, Información Disponible, Información Publicada | tags: notaria, gestión documental
[7847] INDICE DE INFORMACION CLASIFICADA Y RESERVADA | pub=NOTARIA UNICA DE SANVICENTE | cols: Nombre o título de la información, Nombre o título  de la categoría de información, Fecha de la calificación, Plazo de clasificación o reserva, Nombre del responsable de la información, Formato, Fecha de generación de la información, Idioma, Objetivo legítimo de la excepción, Medio de conservación y/o soporte | tags: notaria, gestión documental
