[0] ILOSTAT: Employment-to-population ratio | pub=ILO | desc: Employment-to-population ratio | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, emp
[1] ILOSTAT: Employment by status in employment | pub=ILO | desc: Employment by status in employment | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, emp
[2] ILOSTAT: Employment by economic activity | pub=ILO | desc: Employment by economic activity | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, emp
[3] ILOSTAT: Employment by occupation | pub=ILO | desc: Employment by occupation | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, emp
[4] ILOSTAT: Informal employment rate | pub=ILO | desc: Informal employment rate | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, emp
[5] ILOSTAT: Time-related underemployment rate | pub=ILO | desc: Time-related underemployment rate | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, emp
[6] ILOSTAT: Total employment | pub=ILO | desc: Total employment | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, emp
[7] ILOSTAT: Unemployment rate | pub=ILO | desc: Unemployment rate | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, une
[8] ILOSTAT: Total unemployment | pub=ILO | desc: Total unemployment | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, une
[9] ILOSTAT: Youth unemployment rate | pub=ILO | desc: Youth unemployment rate | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, une
[10] ILOSTAT: Long-term unemployment rate | pub=ILO | desc: Long-term unemployment rate | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, une
[11] ILOSTAT: Unemployment rate by age | pub=ILO | desc: Unemployment rate by age | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, une
[12] ILOSTAT: Labour force participation rate | pub=ILO | desc: Labour force participation rate | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, eap
[13] ILOSTAT: Labour force by sex and age | pub=ILO | desc: Labour force by sex and age | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, eap
[14] ILOSTAT: Working-age population | pub=ILO | desc: Working-age population | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, pop
[15] ILOSTAT: Labour force participation rate (modeled) | pub=ILO | desc: Labour force participation rate (modeled) | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, eap
[16] ILOSTAT: Youth NEET rate | pub=ILO | desc: Youth NEET rate | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, eip
[17] ILOSTAT: Monthly wages (nominal) | pub=ILO | desc: Monthly wages (nominal) | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, ear
[18] ILOSTAT: Minimum wage as share of median | pub=ILO | desc: Minimum wage as share of median | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, ear
[19] ILOSTAT: Mean monthly earnings by activity | pub=ILO | desc: Mean monthly earnings by activity | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, ear
[20] ILOSTAT: Average hourly earnings | pub=ILO | desc: Average hourly earnings | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, ear
[21] ILOSTAT: Mean weekly hours by activity | pub=ILO | desc: Mean weekly hours by activity | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, how
[22] ILOSTAT: Excessive working time | pub=ILO | desc: Excessive working time | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, how
