[3] Ferry Schedules | pub=Nova Scotia Open Data | desc: Public Works operates seven ferries. All are links in our provincial highway system and include: Four cable ferries: LaHave - Lunenburg County; Country Harbour, Guysborough County; Little Narrows, Vic | cols: Schedule, Ferry Type, Location , Contact, Notes | tags: summer, ferry, ocean
[6] Traffic Volumes - Provincial Highway System | pub=Nova Scotia Open Data | desc: Traffic volume census on Provincial Highway System | cols: SECTION, ADT, HIGHWAY, PRIORITY_POINTS, AADT, COUNTY, DESCRIPTION, Date, SECTION DESCRIPTION, SECTION ID | tags: traffic volume census, traffic, traffic volumes
[12] 1:10,000 Nova Scotia Primary Watersheds | pub=Nova Scotia Open Data | desc: 1:10,000 watersheds for Nova Scotia. Contains primary watersheds. Also available via GeoNova at: https://nsgi.novascotia.ca/WSF_DDS/DDS.svc/DownloadFile?tkey=fhrTtdnDvfytwLz6&id=82 | cols: Shape_Area, PERIMETER, AREA, PRIMARY_WS, PRIMARY__1, RIVER, FLOW_DIR, PRIMARY_CO, ACRES, HECTARES | tags: nswatersheds, watersheds
[96] News Releases Issued by Government of Nova Scotia | pub=Nova Scotia Open Data | cols: Department, Subject, URL, Timestamp, Contents | tags: media releases, news
[121] Schools with French Programs | pub=Nova Scotia Open Data | desc: List of schools offering French programs. | cols: Mail Address Line 1, School Code, School Board, Early Immersion, Civic Postal Code, Mail Address Line 2, Location (address), Location (state), Mail Postal Code, Telephone | tags: late immersion, early immersion, integrated french, intensive french
[142] Tancook Ferry Schedule | pub=Nova Scotia Open Data | desc: Public Works operates seven ferries. This data covers the ferry schedule for the Tancook Island ferry. Refer to 511 for current availability of service: http://511.gov.ns.ca/en/map/ | cols: Tuesday, Wednesday, Saturday, Sunday, Friday, Leaves, Thursday, Monday | tags: ferry, tancook, summer, schedule
[155] 1:10,000 Nova Scotia Secondary Watersheds | pub=Nova Scotia Open Data | desc: 1:10,000 watersheds for Nova Scotia. Contains secondary watersheds. Also available via GeoNova at: https://nsgi.novascotia.ca/WSF_DDS/DDS.svc/DownloadFile?tkey=fhrTtdnDvfytwLz6&id=82 | cols: SD_SEC_COD, SHAPE_LENG, MAIN_SEC_C, ACRES, Label_ID, the_geom, Shape_Le_1, SECONDARY_, HECTARES, AREA | tags: nswatersheds, watersheds
[157] Register of Private Career Colleges | pub=Nova Scotia Open Data | desc: Registered private career colleges and programs. | cols: College, Phone, Contact Title/Dept, Contact, Mailing - Postal Code, Mailing - City, Suite/Floor/Mailbox, City/Town, Postal Code, Mailing Detail | tags: contacts, colleges, programs
[173] Nova Scotia School Board Zones - English | pub=Nova Scotia Open Data | desc: Nova Scotia School Board zones. | cols: CIVIC2, CIVIC1, Shape_Area, BRDCODE, CPOSTCODE, PHONE, Shape_Leng, SCHLYR, FAX, the_geom | tags: school board, zone, map, maps, zones, school boards
[225] 1:10,000 Nova Scotia Tertiary Watersheds | pub=Nova Scotia Open Data | desc: 1:10,000 watersheds for Nova Scotia. Contains tertiary watersheds. Also available via GeoNova at: https://nsgi.novascotia.ca/WSF_DDS/DDS.svc/DownloadFile?tkey=fhrTtdnDvfytwLz6&id=82 | cols: OBJECTID, TERT_CODE, Acres, Shape_Area, Shape_Leng, SECONDARY, PRIMARY, SEC_NAME, SD_SEC_COD, SEC_CODE | tags: nswatersheds, watersheds
[247] Schools Offering the Pre-primary Program | pub=Nova Scotia Open Data | desc: List of schools offering the Pre-primary Program | cols: Region, Address, telephone, fax, email, georeference, School Name , Community, Postal Code , Province | tags: pre-primary
[278] 1:10,000 Nova Scotia Sub-Tertiary Watersheds | pub=Nova Scotia Open Data | desc: 1:10,000 watersheds for Nova Scotia. Contains sub-tertiary watersheds. Also available via GeoNova at: https://nsgi.novascotia.ca/WSF_DDS/DDS.svc/DownloadFile?tkey=fhrTtdnDvfytwLz6&id=82 | cols: PERIMETER, MAIN_SEC_C, TERT_CODE, SUB_TERT_C, SUB_TERTIA, the_geom, SD_SEC_COD, PRIMARY, Shape_Leng, TERTIARY_1 | tags: watersheds, nswatersheds
[322] Natural Resources and Renewables Field Office Locations | pub=Nova Scotia Open Data | desc: Physical NRR field office locations. Data fields include: region; addresses (address1, address 2, address 3); province; postal [code]; county. | cols: Location (address), Address 1, Location (zip), Location (state), County, Address 3, Province, Region, Office, Postal  | tags: field offices; field office locations; field office addresses
[347] Gaelic Courses Offered | pub=Nova Scotia Open Data | desc: Listing of Gaelic courses offered | cols: Year, Course Code, Course Title | tags: enrolment, courses, gaelic, education
[384] Nova Scotia School Board Zones - French | pub=Nova Scotia Open Data | desc: Nova Scotia School Board zones. | cols: Shape_Leng, the_geom, BRDCODE, BRDNAME, CIVIC1, PHONE, FAX, SCHLYR, Shape_Area, CIVIC2 | tags: school boards, school board, maps, map, zones, zone
[400] Roundabouts | pub=Nova Scotia Open Data | desc: Roundabouts owned by the Province of Nova Scotia | cols: IMP_YEAR, LOC_DESC, the_geom | tags: nova scotia, transporation, roundabout
[438] Early Years Centres (EYC) Contact Information | pub=Nova Scotia Open Data | desc: Contact Information: Early Years Centres | cols: Phone , Location1, Location1 (state), Location1 (city), Fax, Postal Code , Location , Location1 (address), Email, Street Address | tags: early years centres, eyc
[478] School Bus Survey Data | pub=Nova Scotia Open Data | desc: raw data from the school bus survey | cols: GROUP %, TABLE, GROUP, RESPONSE, GROUP #, SAMPLE SIZE (#) | tags: bus, chignecto-central regional centre for education, conseil scolaire acadien provincial, (csap), education, halifax regional centre for education
[488] EHS Ambulance Fees in Nova Scotia | pub=Nova Scotia Open Data | desc: EHS Ambulance Fees in Nova Scotia. Includes the following data fields: Patient Category, Transportation Category, Fee Amount | cols: Fee Amount, Patient Category, Transportation Category | tags: ehs ambulance fees, ambulance fees, ehs
[680] Project Areas | pub=Nova Scotia Open Data | cols: Acquisition Start Date, the_geom, Horizontal Datum, Projection, Acquisition End Date, OBJECTID, Pulse Density Requirement, Project Number, Year, LAS Version
