[12] Pro-poor public social spending | pub=United Nations | desc: Pro-poor public social spending | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG1, target-1.b
[13] Prevalence of undernourishment | pub=United Nations | desc: Prevalence of undernourishment | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG2, target-2.1
[26] Agricultural export subsidies | pub=United Nations | desc: Agricultural export subsidies | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG2, target-2.b
[27] Indicator of food price anomalies | pub=United Nations | desc: Indicator of food price anomalies | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG2, target-2.c
[28] Maternal mortality ratio | pub=United Nations | desc: Maternal mortality ratio | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.1
[30] Under‑5 mortality rate | pub=United Nations | desc: Under‑5 mortality rate | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.2
[31] Neonatal mortality rate | pub=United Nations | desc: Neonatal mortality rate | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.2
[33] Tuberculosis incidence per 100,000 population | pub=United Nations | desc: Tuberculosis incidence per 100,000 population | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.3
[34] Malaria incidence per 1,000 population | pub=United Nations | desc: Malaria incidence per 1,000 population | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.3
[36] Hepatitis B incidence per 100,000 population | pub=United Nations | desc: Hepatitis B incidence per 100,000 population | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.3
[38] Suicide mortality rate | pub=United Nations | desc: Suicide mortality rate | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.4
[41] Death rate due to road traffic injuries | pub=United Nations | desc: Death rate due to road traffic injuries | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.6
[45] Coverage of essential health services | pub=United Nations | desc: Coverage of essential health services | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.8
[52] Health product access index | pub=United Nations | desc: Health product access index | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.b
[53] Health worker density and distribution | pub=United Nations | desc: Health worker density and distribution | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG3, target-3.c
[63] Youth/adult literacy rate | pub=United Nations | desc: Youth/adult literacy rate | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG4, target-4.6
[75] Proportion of women in managerial positions | pub=United Nations | desc: Proportion of women in managerial positions | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG5, target-5.5
[87] Change in water-use efficiency over time | pub=United Nations | desc: Change in water-use efficiency over time | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG6, target-6.4
[88] Degree of integrated water resources management | pub=United Nations | desc: Degree of integrated water resources management | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG6, target-6.5
[99] Annual growth rate of real GDP per employed person | pub=United Nations | desc: Annual growth rate of real GDP per employed person | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG8, target-8.2
[107] Annual growth rate of real GDP per capita | pub=United Nations | desc: Annual growth rate of real GDP per capita | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG8, target-8.1
[111] Employed persons in the tourism industries | pub=United Nations | desc: Employed persons in the tourism industries | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG8, target-8.9
[114] Aid for Trade commitments and disbursements | pub=United Nations | desc: Aid for Trade commitments and disbursements | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG8, target-8.a
[122] CO2 emission per unit of value added | pub=United Nations | desc: CO2 emission per unit of value added | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG9, target-9.4
[131] Labour share of GDP | pub=United Nations | desc: Labour share of GDP | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG10, target-10.4
[133] Financial Soundness Indicators | pub=United Nations | desc: Financial Soundness Indicators | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG10, target-10.5
[161] (a) Food loss index and (b) food waste index | pub=United Nations | desc: (a) Food loss index and (b) food waste index | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG12, target-12.3
[164] National recycling rate, tons of material recycled | pub=United Nations | desc: National recycling rate, tons of material recycled | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG12, target-12.5
[174] Total greenhouse gas emissions per year | pub=United Nations | desc: Total greenhouse gas emissions per year | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG13, target-13.2
[189] Forest area as a proportion of total land area | pub=United Nations | desc: Forest area as a proportion of total land area | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG15, target-15.1
[191] Progress towards sustainable forest management | pub=United Nations | desc: Progress towards sustainable forest management | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG15, target-15.2
[195] Red List Index | pub=United Nations | desc: Red List Index | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG15, target-15.5
[236] Proportion of individuals using the Internet | pub=United Nations | desc: Proportion of individuals using the Internet | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.8
[238] Worldwide weighted tariff-average | pub=United Nations | desc: Worldwide weighted tariff-average | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.10
[241] Macroeconomic Dashboard | pub=United Nations | desc: Macroeconomic Dashboard | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.13
[248] Statistical capacity indicators | pub=United Nations | desc: Statistical capacity indicators | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG17, target-17.18
