[776] NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human | pub=CDC | desc: NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note: Thi | cols: Rabies, Animal, Cum 2018†, flag, Rabies, Animal, Cum 2019†, flag, Rabies, Animal, Previous 52 weeks Max†, flag, MMWR Year, Location 2 (address), Location 1 (address), Rabies, Human, Previous 52 weeks Max†, Rabies, Human, Cum 2019†, Location 1 (state), Location 2 | tags: nndss, rabies, human, wonder, netss, nedss
[777] NNDSS - TABLE 1V. Malaria to Measles, Indigenous | pub=CDC | desc: NNDSS - TABLE 1V. Malaria to Measles, Indigenous - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Notice: Due | cols: Measles§, Indigenous, Current week, flag, Measles§, Indigenous, Current week, Measles§, Imported, Previous 52 weeks Max†, Measles§, Imported, Current week, Measles§, Indigenous, Cum 2021†, Measles§, Indigenous, Cum 2020†, flag, Location 1, Location 2, Counties, States | tags: indigenous, malaria, measles, nedss, nndss, netss
[779] NNDSS - Table II. Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection to Ehrlichia ch | pub=CDC | desc: NNDSS - Table II. Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection to Ehrlichia chaffeensis infection - 2018. In this Table, provisional cases of selected notifiable diseases (≥1,000 | cols: Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection, Cum 2017, Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection, Cum 2017, flag, Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection, Cum 2018, Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection, Previous 52 weeks Max, Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection, Previous 52 weeks Med, flag, Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection, Previous 52 weeks Med, Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection, Current week, Location 2, Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection, Cum 2018, flag, Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection, Cum 2017, flag | tags: ehrlichiosis and anaplasmosis, wonder, nndss, netss, nedss, 2018
[781] NNDSS - Table 1G. Carbapenemase-producing carbapenem-resistant Enterobacteriaceae to Chlamydia trach | pub=CDC | desc: NNDSS - Table 1G. Carbapenemase-producing carbapenem-resistant Enterobacteriaceae to Chlamydia trachomatis infection - 2021. In this Table, provisional cases* of notifiable diseases are displayed for  | cols: Location 2, Reporting Area Sort, Chancroid, Cum 2020†, flag, Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2021†, flag, MMWR Year, Chancroid, Cum 2021†, flag, Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week, States, Counties, Chancroid, Cum 2021† | tags: wonder, netss, nedss, chlamydia trachomatis infection, carbapenemase-producing carbapenem-resistant enterobacteriaceae, chancroid
[782] NNDSS - TABLE 1FF. Severe acute respiratory syndrome-associated coronavirus disease to Shigellosis | pub=CDC | desc: NNDSS - TABLE 1FF. Severe acute respiratory syndrome-associated coronavirus disease to Shigellosis - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S | cols: Severe acute respiratory syndrome-associated coronavirus desease, Current week, flag, Location 1 (address), Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†, Shiga toxin-producing Escherichia coli, Current week, flag, Shiga toxin-producing Escherichia coli, Previous 52 weeks Max†, flag, Shiga toxin-producing Escherichia coli, Cum 2019†, Location 1, Location 2 (state), Severe acute respiratory syndrome-associated coronavirus desease, Cum 2018†, flag, Shigellosis, Current week, flag | tags: netss, 2019, severe acute respiratory syndrome-associated coronavirus disease, shiga toxin-producing escherichia coli, wonder, shigellosis
[784] NNDSS - Table 1G. Carbapenemase-producing carbapenem-resistant Enterobacteriaceae to Chlamydia trach | pub=CDC | desc: NNDSS - Table 1G. Carbapenemase-producing carbapenem-resistant Enterobacteriaceae to Chlamydia trachomatis infection - 2020. In this Table, provisional cases* of notifiable diseases are displayed for  | cols: Chancroid, Cum 2020†, Chancroid, Cum 2019†, flag, Chlamydia trachomatis infection, Cum 2019†, Chlamydia trachomatis infection, Current week, flag, Location 2, Reporting Area Sort, New Georeferenced Column, Location 1, Chancroid, Cum 2020†, flag, Chancroid, Current week, flag | tags: wonder, carbapenemase-producing carbapenem-resistant enterobacteriaceae, chlamydia trachomatis infection, nedss, netss, nndss
[786] NNDSS - Table II. Tuberculosis | pub=Division of STD Prevention, National Center for HI | desc: NNDSS - Table II. Tuberculosis - 2019. This Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying WONDER data | cols: Location 2, Tuberculosis†, Previous 4 quarters Max, States, Counties, Tuberculosis†, Cum 2018, flag, Tuberculosis†, Previous 4 quarters Max, flag, Tuberculosis†, Previous 4 quarters Min, flag, MMWR Quarter, MMWR Year, Tuberculosis†, Cum 2018
[788] CDC STATE System E-Cigarette Legislation - Smokefree Indoor Air Summary | pub=CDC | desc: 1995-2025. Centers for Disease Control and Prevention (CDC). State Tobacco Activities Tracking and Evaluation (STATE) System. E-Cigarette Legislation – Smokefree Indoor Air. The STATE System houses cu | cols: TopicDesc, Geolocation, TopicTypeId, Restaurants, Quarter, Bars, MeasureId, LocationAbbr, Type_Of_Restriction, Private_Worksites | tags: state system, ecigarette, policy, osh, legislation, smokefree indoor air
[790] NNDSS - Table II. Vibriosis | pub=CDC | desc: NNDSS - Table II. Vibriosis - 2018. In this Table, provisional cases of selected notifiable diseases (≥1,000 cases reported during the preceding year), and selected low frequency diseases are displaye | cols: Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed Previous 52 weeks Max, Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed Previous 52 weeks Max, flag, Location 1 (state), Location 2 (zip), Location 2 (state), MMWR Year, Reporting Area, Location 1 (city), Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed Current week, flag , Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed Previous 52 weeks Med, flag | tags: 2018, nedss, netss, nndss, vibriosis, wonder
[792] NNDSS - TABLE 1JJ. Tuberculosis to Tularemia | pub=CDC | desc: NNDSS - TABLE 1JJ. Tuberculosis to Tularemia – 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Notice: Due to  | cols: Tularemia, Cum 2021†, flag, Counties, States, Tuberculosis, Previous 52 weeks Max†, flag, Tularemia, Previous 52 weeks Max†, flag, geocode, Tuberculosis, Cum 2021†, flag, MMWR Year, Tularemia, Cum 2021†, MMWR Week | tags: netss, 2021, nedss, nndss, wonder, tuberculosis
[793] NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human | pub=CDC | desc: NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note: Thi | cols: Rabies, Animal, Current week, Rabies, Animal, Current week, flag, Rabies, Animal, Cum 2020†, Rabies, Animal, Cum 2020†, flag, Rabies, Animal, Cum 2019†, Location 1, Reporting Area Sort, Counties, States, Rabies, Human, Cum 2020† | tags: animal, nndss, rabies, wonder, nedss, human
[794] NNDSS - TABLE 1EE. Salmonella Paratyphi infection to Salmonellosis (excluding Salmonella Typhi infec | pub=CDC | desc: NNDSS - TABLE 1EE. Salmonella Paratyphi infection to Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) - 2019. In this Table, provisional cases* of notifiable dis | cols: Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**), Cum 2018†, Location 2 (zip), Salmonella Paratyphi infection§, Cum 2018†, Salmonella Typhi infection¶,Previous 52 weeks Max†, Salmonella Typhi infection¶, Current week, Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**), Cum 2019†, flag, Location 1, Location 1 (state), Location 1 (zip), MMWR Week | tags: netss, nedss, wonder, 2019, nndss, salmonellosis (excluding salmonella typhi infection and salmonella paratyphi infection)
[796] NNDSS - TABLE 1GG. Spotted fever rickettsiosis, Confirmed to Smallpox | pub=CDC | desc: NNDSS - TABLE 1GG. Spotted fever rickettsiosis, Confirmed to Smallpox - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. r | cols: Location 1 (address), Spotted fever rickettsiosis, Probable, Current week, Spotted fever rickettsiosis, Confirmed, Previous 52 weeks Max†, flag, MMWR Week, Spotted fever rickettsiosis, Confirmed, Cum 2018†, flag, Reporting Area, Spotted fever rickettsiosis, Confirmed, Cum 2019†, Spotted fever rickettsiosis, Confirmed, Previous 52 weeks Max†, Location 1 (state), Location 2 (address) | tags: smallpox, nndss, wonder, spotted fever rickettsiosis probable, 2019, nedss
[799] NNDSS - TABLE 1J. Dengue virus infections, Dengue to Severe dengue | pub=CDC | desc: NNDSS - TABLE 1J. Dengue virus infections, Dengue to Severe dengue - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. resi | cols: Dengue virus infections, Dengue, Cum 2019†, flag, Counties, States, Dengue virus infections, Severe dengue, Previous 52 weeks Max†, flag, Dengue virus infections, Dengue, Cum 2020†, flag, Dengue virus infections, Severe dengue, Current week, Dengue virus infections, Severe dengue, Current week, flag, Dengue virus infections, Severe dengue, Cum 2019†, flag, Dengue virus infections, Dengue, Cum 2020†, Dengue virus infections, Dengue-like illness, Current week | tags: nndss, 2020, dengue, dengue-like illness, dengue virus infections, nedss
[803] NNDSS - TABLE 1II. Tetanus to Trichinellosis | pub=CDC | desc: NNDSS - TABLE 1II. Tetanus to Trichinellosis - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note: This tabl | cols: Tetanus, Cum 2018†, flag, Location 2 (address), Location 1 (city), Toxic shock snydrome (other than streptococcal), Current week, flag, MMWR Year, Trichinellosis, Cum 2018†, flag, Location 1, Location 2, Location 2 (zip), Reporting Area Sort | tags: trichinellosis, 2019, nedss, netss, nndss, tetanus
[805] NNDSS - TABLE 1N. Haemophilus influenzae, invasive disease, (age <5 years), Non-b serotype to Unknow | pub=CDC | desc: NNDSS - TABLE 1N. Haemophilus influenzae, invasive disease, (age <5 years), Non-b serotype to Unknown serotype - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United | cols: Haemophilus influenza, invasive disease (age <5 years), Non-b serotype, Cum 2019†, flag, Haemophilus influenza, invasive disease (age <5 years), Unknown serotype, Cum 2019†, Haemophilus influenza, invasive disease (age <5 years), Unknown serotype, Current week, Haemophilus influenza, invasive disease (age <5 years), Nontypeable, Cum 2019†, flag, Haemophilus influenza, invasive disease (age <5 years), Nontypeable, Previous 52 weeks Max†, Haemophilus influenza, invasive disease (age <5 years), Non-b serotype, Cum 2018†, Haemophilus influenza, invasive disease (age <5 years), Non-b serotype, Previous 52 weeks Max†, Haemophilus influenza, invasive disease (age <5 years), Unknown serotype, Cum 2018†, Haemophilus influenza, invasive disease (age <5 years), Nontypeable, Cum 2019†, Haemophilus influenza, invasive disease (age <5 years), Non-b serotype, Current week | tags: nndss, nedss, invasive disease, haemophilus influenzae, (age <5 years), 2019
[806] NNDSS - TABLE 1DD. Rubella to Rubella, congenital syndrome | pub=CDC | desc: NNDSS - TABLE 1DD. Rubella to Rubella, congenital syndrome - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. N | cols: Rubella, Cum 2020†, flag, Reporting Area, Reporting Area Sort, Location 1, Rubella, congenital syndrome, Cum 2020†, flag, Rubella, congenital syndrome, Cum 2020†, Rubella, congenital syndrome, Cum 2021†, Rubella, Current week, flag, geocode, Location 2 | tags: netss, nedss, nndss, rubella, rubella congenital syndrome, 2021
[807] NNDSS - TABLE 1M. Gonorrhea to Haemophilus influenzae, invasive disease, Age <5 years, Serotype b | pub=data.cdc.gov | desc: NNDSS - TABLE 1M. Gonorrhea to Haemophilus influenzae, invasive disease, Age <5 years, Serotype b - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. | cols: MMWR Week, Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2020†, Haemophilus influenza, invasive disease, All ages, all serotypes, Previous 52 weeks Max†, flag, Haemophilus influenza, invasive disease, All ages, all serotypes, Previous 52 weeks Max†, Gonorrhea, Cum 2020†, flag, Gonorrhea, Cum 2020†, Gonorrhea, Cum 2021†, Gonorrhea, Current week, Reporting Area, Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2021†, flag | tags: 2021, all ages all serotypes, gonorrhea, haemophilus influenzae, invasive disease, nndss
[808] NNDSS - TABLE 1OO. Viral hemorrhagic fevers, Machupo virus to Viral hemorrhagic fevers, Sabia virus | pub=CDC | desc: NNDSS - TABLE 1OO. Viral hemorrhagic fevers, Machupo virus to Viral hemorrhagic fevers, Sabia virus – 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U. | cols: Location 1, Viral hemorrhagic fevers§, Machupo virus, Previous 52 weeks Max†, flag, Viral hemorrhagic fevers§, Machupo virus, Cum 2020†, Viral hemorrhagic fevers§, Marburg virus, Cum 2019†, flag, Viral hemorrhagic fevers§, Sabia virus, Cum 2020†, flag, New Georeferenced Column, Viral hemorrhagic fevers§, Sabia virus, Cum 2020†, Reporting Area, Viral hemorrhagic fevers§, Marburg virus, Previous 52 weeks Max†, flag, Viral hemorrhagic fevers§, Sabia virus, Previous 52 weeks Max†, flag | tags: marburg virus, machupo virus, wonder, viral hemorrhagic fevers, sabia virus, nndss
[812] NNDSS - TABLE 1Z. Pertussis to Poliomyelitis, paralytic | pub=CDC | desc: NNDSS - TABLE 1Z. Pertussis to Poliomyelitis, paralytic - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Noti | cols: Plague, Cum 2021†, flag, Poliomyelitis, paralytic, Previous 52 weeks Max†, Plague, Cum 2020†, Pertussis, Cum 2020†, flag, Pertussis, Cum 2021†, flag, Pertussis, Previous 52 weeks Max†, Pertussis, Current week, MMWR Week, Reporting Area, Poliomyelitis, paralytic, Cum 2020†, flag | tags: nedss, wonder, poliomyelitis, plague, pertussis, nndss
