[3043] dbhs20131031 | pub=Utah Division of Wildlife Resources | desc: Desert Bighorn Sheep Habitat Areas Utah 2014 | cols: the_geom, SEASON, COMMENTS, IDNUM, HECTARES, YYYYMMDD, VALUE_ | tags: bighorn sheep
[3045] Waterbodies_144K | pub=State of Utah | desc: Polygon features representing waterbodies. | cols: Area in Acres, Municipal Type, Last Editor, Elevation, LAST_EDITED_DATE, the_geom, GNISID, Hydro ID, ISVISIBLE, SHAPE_Area
[3046] btpi20060701 | pub=Band-tailed Pigeon, | desc: Band-tailed Pigeon habitat areas Utah 2014 | cols: the_geom, HECTARES, DATE_, VALUE_, COMMENTS, SEASON, IDNUM | tags: band-tailed pigeon
[3047] Parcels | pub=State of Utah | cols: own_name, Section_, Annexation, Subdivision, nbhrd_low_sale, Tax_Class2_Desc, Property_Type_Simple_Desc, own_zip_four, Lot, parcel_acres
[3048] Waterbodies Labels_36K | pub=State of Utah | desc: Polygon features representing waterbodies. | cols: Waterbody Type_2, LAST_EDITED_USER, Area in Acres, EDITCOMMENTS, LAST_EDITED_DATE, Waterbody Type, SHAPE_Area, DATASOURCENAME, Name of Facility, SHAPE_Length
[3049] Storm Drain Pipes | pub=State of Utah | cols: STATUS, VideoDate, MaintRating, VerifiedDate, PRIORITY, InvertNum, last_edited_user, IRRIGATION, FacilityID, Pipe Condition
[3050] Building Outlines_1K | pub=State of Utah | cols: Building Height, CREATED_DATE, LAST_EDITED_USER, Building Class, City, Name, LABEL_BASEMAP, Year Built, SHAPE_Area, Improvement Number
[3051] Parcels | pub=State of Utah | cols: CREATED_USER, TRAVNUM, LAST_EDITED_USER, Book & Page, UNIT, SERIAL, SHAPE_Area, LOT, SOURCE, CREATED_DATE
[3052] CountyBoundary_label_288K | pub=State of Utah | desc: The geographic extent of a County | cols: CREATED_DATE, County Name, LAST_EDITED_DATE, CREATED_USER, SHAPE_Length, EDITCOMMENTS, the_geom, Last Editor, State County FIPS, OBJECTID
[3053] Without_Codefile | pub=State of Utah | cols: CREATED_DATE, Book & Page, Parcel ID Number, SHAPE_Area, SHAPE_Length, TRAVNUM, LOT, SERIAL, SOURCE, UNIT
[3055] Commercial Labels | pub=State of Utah | cols: Longitude, the_geom, NAME, OBJECTID, Has_Footprint, Latitude, Address
[3057] CedarBeaverLU2001 | pub=Utah Division of Natural Resources | desc: Cedar and Beaver River Shapefile 2001 | cols: BASIN, LANDUSE, COUNTY, ACRES, COUNTYNBR, OldDescrip, DESCRIPTIO, LUID, the_geom, LANDCOV | tags: cedar, beaver
[3058] live_parcel_line | pub=State of Utah | cols: GLOBALID, SHAPE_Length, LAST_EDITED_DATE, CREATED_USER, TRAVID, Imperial Distance, Radius, CREATED_DATE, LENGTH, Parcel ID Number
[3059] Subdivision_blacklabel | pub=State of Utah | cols: LAST_EDITED_USER, SHAPE_Length, OBJECTID, Sub or Condo Name, ENTRYNO, CREATED_DATE, Book & Page, CREATED_USER, ESRI_OID, ENTRYYR
[3060] parcel_polygon | pub=State of Utah | cols: LOT, UNIT, SERIAL, Parcel ID Number, OBJECTID, LAST_EDITED_USER, LAST_EDITED_DATE, GLOBALID, SHAPE_Length, SHAPE_Area
[3061] Agriculture and Food yearly performance measures | pub=State of Utah | cols: Projects to Manage Grazing Intensity, Agriculture Loan Default Rate, Retail Fuel Inspections Compliance Rate, Water System Improvements, Fertilizer Compliance Violation Rate, Seed Compliance Violation Rate, Pesticide Compound Enforcement Action Rate, Reduce Critical Violations on Dairy Inspections, Year
[3062] BLM Citizen's Red Rock Wilderness Proposal (2008)_data | pub=State of Utah | cols: the_geom, NAME, ACRES, GlobalID, OBJECTID
[3063] Avalanche Paths | pub=State of Utah | cols: NAME, OBJECTID, SHAPE_Area, GLOBALID, SHAPE_Length, ID, NUMSLIDES, the_geom
[3064] live_parcel_polygon | pub=State of Utah | cols: DUPS, LASTEDITOR, SUB_PLAT, LAST_EDITED_USER, the_geom, SOURCE, SHAPE_Length, OBJECTID, BLOCK, CREATED_USER
[3065] General_Spike_Elk_14 | pub=Utah Division of Wildlife Resources | desc: Spike Elk Hunting Areas Utah 2014 | cols: the_geom, OBJECTID, Shape_Area, Shape_Leng, BoundaryID, Unit_Name | tags: spike elk
[3067] Camping Zones_data | pub=State of Utah | cols: Camp_Zone_Code, Agency_Code, OBJECTID, the_geom
[3068] Parcels | pub=State of Utah | cols: own_zip_four, tax_year, parcel_id, own_citystate, property_type, Sensitive_Overlay, Property_Type_Desc, Garbage, prop_location, taxable_value
[3069] Uranium Boundary_data | pub=State of Utah | cols: OBJECTID, FTYPE, PERIMETER, NAME, NAME2, AREA_, the_geom, FCODE, SHAPE.STLength(), COM_ID
[3070] Deed points~4K | pub=State of Utah | cols: DOC_ENTRY, ANGLE, LAST_EDITED_USER, CREATED_USER, ParcelID Label, CREATED_DATE, SCALE, Parcel Identification Number, LAST_EDITED_DATE, Book & Page
[3072] Salem Zoning | pub=State of Utah | cols: EDITCOMMENTS, the_geom, SALEM ZONE LABEL, OBJECTID, CREATEDON, ISVISIBLE, SHAPE_Area, SHAPE_Length, DOCUMENT ENTRY#, LASTUPDATE
[3073] cogo_Parcels | pub=State of Utah | cols: LAST_EDITED_DATE, OBJECTID, TRAVNUM, SHAPE.LEN, SOURCE, Book & Page, CREATED_USER, the_geom, LAST_EDITED_USER, Parcel ID Number
[3074] Waterways | pub=State of Utah | cols: OBJECTID, CLASS___TYPE, NAME, CHANNEL_TYPE, Municipality, InPark, Shape.len, the_geom, CLASS
[3075] Centerbuffers | pub=State of Utah | cols: OBJECTID, Shape.STArea(), Shape.STLength(), the_geom
[3078] Inpatient Hospital Charges by Procedure Salt Lake County 2019-2021 | pub=State of Utah | cols: Rndrng_Prvdr_City, Avg_Tot_Pymt_Amt, Avg_Mdcr_Pymt_Amt, Avg_Submtd_Cvrd_Chrg, Rndrng_Prvdr_RUCA_Desc, Year, Rndrng_Prvdr_State_Abrvtn, Rndrng_Prvdr_Org_Name, DRG_Desc, Tot_Dschrgs
[3079] Incorporated Cities Background | pub=State of Utah | cols: SHAPE.AREA, ISVISIBLE, ACRES, LAST_EDITED_DATE, LAST_EDITED_USER, GLOBALID, EDITCOMMENTS, DATASOURCENAME, Last Update Date, Area in Square Miles
[3080] Deed points~.75K | pub=State of Utah | cols: TYPE, ParcelID Label, CREATED_USER, MAP#, OBJECTID, DOC_ENTRY, Book & Page, ANGLE, CREATED_DATE, the_geom
[3081] Parcels | pub=State of Utah | cols: SHAPE_Length, LAST_EDITED_DATE, GLOBALID, CREATED_DATE, SOURCE, SERIAL, OBJECTID, the_geom, UNIT, SHAPE_Area
[3082] boosters | pub=State of Utah | cols: FEATURE_ID, NORTHING, HEAD__FEET, last_edited_user, created_date, the_geom, PUMPS, PWTYPE, Enabled, ZONES
[3083] Bunker | pub=State of Utah | cols: Area_Type, Location, Description, the_geom, OBJECTID, Shape.STLength(), Shape_STArea__, AssetID, Address, Shape.STArea()
[3085] Parcels | pub=State of Utah | cols: Book & Page, DATASOURCE, CREATED_DATE, GLOBALID, SERIAL, LAST_EDITED_USER, SOURCE, Parcel ID Number, OBJECTID_2, SERIAL_
[3086] CountyRoads_RRAMS~4k | pub=State of Utah | cols: Concrete: Lane/Shoulder Separation Severity, FAE Route Number, Asph/Chip: Edge Crack Density, Grav/Dirt: Corrugation (Wash Boarding) Density, Left Curb Type, Grav/Dirt: Pot Hole Severity, Grav/Dirt: Lateral Erosion Density, Last Editor, Service Est, Grav/Dirt: Washout Density
[3087] Street Lights | pub=State of Utah | cols: created_user, Watts (2), Pole Replace Date, FIXTURE_INSTALL, last_edited_date, Pole Owner, POLESUFFIX, LOCATION, Lamp Install Date, last_edited_user
[3088] live_parcel_line | pub=State of Utah | cols: the_geom, Parcel ID Number, Radius2, SERIAL, Imperial Distance, TRAVNUM, LAST_EDITED_DATE, LAST_EDITED_USER, OBJECTID, Radius
[3089] Impervious Surface | pub=State of Utah | cols: the_geom, TYPE, F_Code, OBJECTID
[3090] Locator Wire Box | pub=State of Utah | cols: OBJECTID, EASTING, NORTHING, the_geom, GlobalID
[3091] Building Footprints | pub=State of Utah | cols: Comments, Number of Stories, LAST_EDITED_USER, CREATED_USER, Facility Site Code, Address Range, SOURCEFEATUREID, BLDG_ID, CREATED_DATE, Address Number
[3092] Communities | pub=State of Utah | cols: Date_Updated, HOME_PHONE, Unicorp_Pop, Color, CELL_PHONE, EMERGENCY_PREPAREDNESS_LEADER2, HOME_EMAIL, Shape.area, Sandy_PPH, Updated_By
[3093] UtahLakeLU2002 | pub=Utah Division of Natural Resources | desc: Utah Lake ESRI Shapefile 2002 | cols: COUNTYNBR, the_geom, COUNTY, LABEL, IRR_TYPE, SURV_YEAR, OldDescrip, BASIN, LUID, BASIN_NAME | tags: utah lake
[3094] Building Outlines_.5K | pub=State of Utah | cols: SHAPE_Area, Year Demolished, LAST_EDITED_USER, Full Site Address, Number of Stories, Source, OBJECTID, Address Number, CREATED_USER, Address Range
[3098] Building Footprints | pub=State of Utah | cols: OBJECTID, Ownership_Type, Shape.area, RuleID_80, CopyID, HT_Eaves_Ft, NAME, HT_Floors, TYPE, Usage_Type
[3099] SGID93.POLITICAL.VistaBallotAreas_data | pub=State of Utah | cols: the_geom, GlobalID, OBJECTID, VistaID, PrecinctID, VersionNbr, Comments, CountyID, RcvdDate, Shape_Length
[3100] parcel_polygon | pub=State of Utah | cols: CREATED_USER, the_geom, CREATED_DATE, SHAPE_Area, Parcel ID Number, LAST_EDITED_USER, Book & Page, TRAVNUM, SOURCE, OBJECTID
[3101] 15 Year Capture Zone | pub=State of Utah | cols: Id, SHAPE.len, the_geom, OBJECTID, SHAPE.area
[3103] DRG24K_Collarless_data | pub=State of Utah | cols: EXT, SIZE, SHAPE_Area, PATH, SHAPE_Length, OBJECTID, the_geom, TILE
[3104] High School Boundary Labels | pub=State of Utah | cols: the_geom, Shape.len, Shape.area, OBJECTID_1, school, URL, Id, OBJECTID, Shape_Leng
[3105] live_parcel_line | pub=State of Utah | cols: CREATED_DATE, the_geom, TRAVNUM, Direction, TRAVID, LENGTH, LAST_EDITED_DATE, GLOBALID, Parcel ID Number, Radius
[3106] live_parcel_line | pub=State of Utah | cols: Parcel ID Number, Direction, LENGTH, SERIAL, GLOBALID, Radius2, OBJECTID, CREATED_USER, LAST_EDITED_DATE, CREATED_DATE
