[3844] Buildings | pub=State of Utah | cols: DATE_UPDATED, Shape.len, RuleID_80, Ht_by, CopyID, Notes, NAME, Sources, OBJECTID, HT_Floors
[3846] Local - Unpaved | pub=State of Utah | cols: Last Update Date, Alternate Federal Route Type, CREATED_DATE, In Water, Maintained By, CenterlineID, County Name, Cul de sac, Federal Route, LAST_EDITED_USER
[3847] Washout | pub=State of Utah | cols: AncillaryRole, Enabled, created_date, GlobalID, last_edited_date, OBJECTID, CONST_STATUS, sub type code, the_geom, created_user
[3848] Plat Hook~.125K | pub=State of Utah | cols: ANGLE, CREATED_DATE, GLOBALID, LAST_EDITED_USER, CREATED_USER, OBJECTID, the_geom, SCALE, LAST_EDITED_DATE
[3850] MayTaxParcels | pub=State of Utah | cols: SUB_PLAT, SHAPE_Length, GB_ONLY, SALE_YEAR, SERIAL_NUM, LAST_EDITED_DATE, LASTUPDATE, Book & Page, CREATED_USER, ESRI_OID
[3851] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Culex tarsalis_2, Aedes melanimon, Comments, CREATED_DATE, X Long, OBJECTID, Coquillettidia perturbans_2, Culex erythrothorax_2, Aedes melanimon_2, LAST_EDITED_DATE
[3852] Open Space | pub=State of Utah | cols: Bocci_Ball, Water_Feature_Indoor, Daycare_Full_Time, CLASS, Tennis_Court, Pickle_Ball, TYPE, Daycare_Drop_In, the_geom, Program_Code_PK
[3853] Swing Joints | pub=State of Utah | cols: created_date, Irr_Conpany, last_edited_user, the_geom, created_user, Size, last_edited_date, OBJECTID, SN_No, Name
[3855] Sections | pub=State of Utah | cols: OBJECTID_1, the_geom, OBJECTID_2, AREA_NUMBE, OBJECTID, TOWN_RANGE, TARGET_FID, Shape_Le_1, OBJECTID_12, Shape_Area
[3856] UICWell_data | pub=State of Utah | cols: the_geom, PARCEL_ID, PROP_CLASS, ENVIROAPPLABEL, ENVIROAPPSYMBOL, FullAdd, TYPE, COUNTY, AddNum, OBJECTID
[3857] White Background_288K | pub=State of Utah | cols: OBJECTID, SHAPE_Length, the_geom, SHAPE_Area
[3858] live_parcel_line | pub=State of Utah | cols: SERIAL, COGO Radius, DUPS, LASTEDITOR, the_geom, COGO Side, GLOBALID, LAST_EDITED_USER, TRAVNUM, CREATED_USER
[3859] live_parcel_line | pub=State of Utah | cols: LAST_EDITED_DATE, TRAVNUM, COGO Distance, COGO Tangent, COGO Direction, TRAVID, COGO Radius, GLOBALID, LASTUPDATE, HAS_SELECTED_TAG
[3860] Daycares and Preschools | pub=State of Utah | cols: State, Status, Ymax, the_geom, ARC_ZIP, Addr_type, Loc_name, Phone, Score, Address
[3861] Clayey Soil | pub=State of Utah | cols: MUID, Shape.STLength(), COMPOSITIO, Shape_Le_1, Shape.STArea(), Scoring_De, Seckey, the_geom, Score, Firstkey
[3862] City Limits- Large Scale | pub=State of Utah | cols: the_geom, RuleID_2, NAME, OBJECTID, RuleID_1, Shape.area, Shape.len
[3864] SGID93.POLITICAL.VistaBallotAreas 2_data | pub=State of Utah | cols: Shape_Length, SubPrecinctID, VersionNbr, AliasName, the_geom, RcvdDate, OBJECTID, Comments, EffectiveDate, CountyID
