[4229] Major Bulding Labels | pub=State of Utah | cols: the_geom, TYPE, Longitude, HAS_FOOTPRINT, NAME, OBJECTID, Address, CATEGORY, Latitude
[4230] Irr Mh | pub=State of Utah | cols: OBJECTID, the_geom, NORTHING, EASTING
[4231] Cable Routes | pub=State of Utah | cols: LENGTH, Conduit Size, last_edited_user, Shape.STLength(), CABLE_, Wire Size, last_edited_date, In Conduit (Y/N), the_geom, FNODE_
[4232] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Last Catch Date, Culex pipiens, OBJECTID, CREATED_USER, CREATED_DATE, the_geom, Aedes vexans, Y Lat, LOCATION, Culex erythrothorax
[4233] CountyRoads_RRAMS~18k | pub=State of Utah | cols: Asph/Chip: Depression (Birth baths) Severity, Right Shoulder Paved, Last Inspector, Asph/Chip: Slippage (Peeling) Crack Density, Other Segment Value, Concrete: Corner Breaks Density, Grav/Dirt: Sink Hole Density, Grav/Dirt: Improper Cross Section (Inadequate Crown) Density, Concrete: Scaling Density, Danger Zone Condition
[4234] Major Bulding Labels | pub=State of Utah | cols: the_geom, CATEGORY, Longitude, OBJECTID, TYPE, HAS_FOOTPRINT, NAME, Latitude, Address
[4235] CountyRoads_RRAMS~4k | pub=State of Utah | cols: Total Res Primary Accesses, Asph/Chip: Pot Hole Severity, Grav/Dirt: Severity of Mud or Slipperiness, Grav/Dirt: Longitudinal Erosion Severity, Asph/Chip: Alligator (Fatigue) Crack Density, Asph/Chip: Polished Aggregate Severity, Grav/Dirt: Corrugation (Wash Boarding) Density, Asph/Chip: Rutting Density, Asph/Chip: Bleeding (Excess asphalt/binder) Density, Asph/Chip: Depression (Birth baths) Density
[4236] Communities | pub=State of Utah | cols: LEADER_ADDRESS, Color, Sandy_HH, COMMUNITY_ID, OBJECTID, COMMUNITY_NAME, CELL_PHONE, EMAIL, Unicorp_HH, Shape.area
[4237] Dept of Cultural & Community Engagement Performance Outcome Measures | pub=State of Utah | cols: pm_id, pm_reportdate, Unnamed Column, agencyname, organizationalunitid, pm_entryvalue, pm_category, pm_entrytarget, Count Impact Areas, pm_entryFY
[4239] Parcels | pub=State of Utah | cols: OBJECTID, GLOBALID, the_geom, Total Improvement Market Value, Site Full Address, Cost Per SqFt, LAST_EDITED_USER, Map Filing Number, RCNLD, Book & Page
[4240] CountyRoads_RRAMS~18k | pub=State of Utah | cols: Other Segment Value, Safety Condition Index, Grav/Dirt: Rutting Density, Segment Road Value_2, Asph/Chip: Depression (Birth baths) Density, Asph/Chip: Bleeding (Excess asphalt/binder) Density, Surface Type, Asph/Chip: Corrugation Density, Concrete: Pumping (Rocking Panels) Severity, Grav/Dirt: Corrugation (Wash Boarding) Severity
