[4359] Roads not Plowed by Sandy | pub=State of Utah | cols: CARTO_CODE, fromleft, SUF_DIR, LABEL, S_ACCESS, S_ROW, M_DATE, CFCC, S_ACCUR, ALT_NAME
[4360] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Ochlerotatus campestris, Coquillettidia perturbans, OBJECTID, TRAP_NUM, Ochlerotatus dorsalis, Anopheles freeborni, Trap Type, Last Amount, CITY, Aedes melanimon
[4361] Open Work Orders | pub=State of Utah | cols: OBJECTID, Project ID, Date Resolved, Work Order ID, Action Added By, Date Added, Resolved By, Action Type, Severity, Other Action Needed
[4363] Masters Degree Salaries Complete Dataset Utah Yrs 1-4 | pub=State of Utah | cols: Wages Median 4YR, Male Median Wages 3YR, Median Wages 1YR, MAJOR, Wages Median 3YR, Final Degree Med Wage 2YR, Female Median Wages 1YR, Female Wages Median 4YR, Male Wages Median 4YR, Pell Wages Median 4YR
[4364] Remediated 2013 to 2016  (Risk Assessment Completed) | pub=State of Utah | cols: OBJECTID, Score, Status, City, Address, the_geom, Addr_type, UTAH, ZIP Code, Match_type
[4365] parcel_polygon | pub=State of Utah | cols: GLOBALID, LAST_EDITED_USER, SHAPE_Area, Book & Page, LOT, SHAPE_Length, TRAVNUM, UNIT, OBJECTID, CREATED_USER
[4367] County Libraries | pub=State of Utah | cols: NAME, ADDRESS, OBJECTID, GlobalID, ZIP, the_geom
[4368] Structures and Hardscape | pub=State of Utah | cols: the_geom, AssetID, Location, OBJECTID, Address, Shape_STArea__, Shape.STLength(), Description, Shape_STLength__, Shape.STArea()
[4369] Roads not Plowed by Sandy | pub=State of Utah | cols: COMMENTS, S_ACCESS, RuleID, M_DATE, Lcitycd, ACS_SUFDIR, toright, S_SURF, FS_ZONE, CARTO_CODE
[4370] No Fireworks Zone | pub=State of Utah | cols: Shape.STArea(), OBJECTID, Acres, Type, Reason, Home_Count, the_geom, Shape.STLength()
[4371] Outfalls | pub=State of Utah | cols: Northing, Last Inspection Date, GPS Date, Easting, Pipe_Size, Pipe Material, last_edited_date, Receiving_Waters, OBJECTID, created_date
[4373] Borders | pub=State of Utah | cols: the_geom, Shape.area, Shape.len, Label, OBJECTID, City, Sq_Miles
[4374] Pavement Markings | pub=State of Utah | cols: GlobalID, LAST_EDITED_USER, the_geom, OBJECTID, LAST_EDITED_DATE, Last Editor, CREATED_DATE, AW_SEGMENTID, Managed By, CREATED_USER
[4376] Inlets | pub=State of Utah | cols: MaintSched, Structure Condition, INVERT4, SCOUTS, INVERT1, PIPE_SIZE, Floor/Bench Condition, MaintRating, FACILITYID, Last Inspection Date
[4377] Detention Ponds | pub=State of Utah | cols: OBJECTID, FACILITYID, created_user, ADDRESS, last_edited_date, Last Inspection Date, FloorBench, DamGopher, OWNERSHIP, NAME
[4378] Facility Inspections | pub=State of Utah | cols: created_user, last_edited_user, created_date, the_geom, FacilityID, NAME, last_edited_date, Last Inspection Date, Inspection Schedule, OBJECTID
[4379] CustomerPoint | pub=State of Utah | cols: Active Service Request, POINT_X, REQUESTSTATUS, CREATED_USER, OBJECTID, LAST_EDITED_USER, the_geom, Last Name, Email, COMMENTS
[4380] cogo_Parcel Lines | pub=State of Utah | cols: TRAVNUM, Imperial Distance, SERIAL, LAST_EDITED_DATE, GLOBALID, CREATED_DATE, COGO Radius, COGO Direction, COGO ArcLength, OBJECTID
[4381] Approximate Response Times | pub=State of Utah | cols: Name, FacilityID, Shape.len, ToBreak, the_geom, Shape.area, FromBreak, OBJECTID
[4382] Water Bodies | pub=State of Utah | cols: Shape.len, OBJECTID, TYPE, Shape.area, NAME, the_geom
[4383] Legislative Services Performance Outcome Measures | pub=State of Utah | cols: pm_entryannotations, pm_entryid, agency_inactive, pm_entrytarget, pm_status_id, Combined Impact Area, intend_to_archive, pm_id, pm_entryFY, organizationalunitid
[4384] Centerlines | pub=State of Utah | cols: HIGH, SPEED_LIMIT, LABEL, MAINTENANCE, FUNCTIONAL_CLASS, M_DATE, ALT_NAME, S_ACCESS, S_DATE, ACS_SUFDIR
[4385] Depot District 1,000' Parcels | pub=State of Utah | desc: Depot District 1,000' Parcels | cols: next_tax_d, tax_rate, OBJECTID, multi_name, neighborho, adjusted_p, num_old_pr, nbrhd_low_, untaxed_no, parcel_id
[4387] BusinessLicenseEnforcements | pub=State of Utah | cols: Township, Enforcement Action, Project Controller, Address, Business Name, Project ID, OBJECTID, the_geom, License Inspector, Date Created
[4388] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Last Catch Date, GLOBALID, LOCATION, Ochlerotatus campestris, CREATED_USER, Comments, TRAP_NUM, LAST_EDITED_DATE, Aedes melanimon, Culex tarsalis
[4389] Building Footprints | pub=State of Utah | cols: Needed_Fire_Flow, the_geom, Usage_Type, HT_Assigned, HT_Highest_Ft, HT_ISO_Flag, TYPE, RuleID_50, HT_Floors, CopyID
[4390] Guardrails | pub=State of Utah | cols: Facility Identifier, LAST_EDITED_USER, Managed By, AW, End Treatment, Start Treatment, OBJECTID, LAST_INSPECTED, Last Editor, the_geom
