[4834] Primary Recharge Zone | pub=State of Utah | cols: PERIMETER, the_geom, SHAPE.len, OBJECTID, SHAPE.area
[4835] Mosquito Call Before Spray | pub=State of Utah | cols: NAME, ADDRESS, COMMENT, LAST_EDITED_DATE, LAST_EDITED_USER, OBJECTID, SHAPE.LEN, SHAPE.AREA, CITY, PHONE
[4836] Capture Zone 3 (3 Year) | pub=State of Utah | cols: UHDID, OBJECTID, the_geom, LABEL, LAYER
[4838] Bell Canyon Aqueduct Meter | pub=State of Utah | cols: OBJECTID, the_geom, GlobalID
[4839] County Recreation Centers | pub=State of Utah | cols: NAME, GlobalID, ORG, OBJECTID, OWNED, LEASE_SQFT, TOTAL_SQFT, YR_OCCUP, the_geom, CITY
[4840] Waterbodies_.125K | pub=State of Utah | desc: Polygon features representing waterbodies. | cols: Waterbody Type_2, Elevation, DATASOURCENAME, Hydro ID, Reach Code, CREATED_DATE, the_geom, Waterbody Type, LAST_EDITED_DATE, CREATED_USER
[4841] Zoning (Color Coded)_data | pub=State of Utah | cols: CLASS, the_geom, ZONING05_I, PERIMETER, Shape_Le_1, ZONING05_, OBJECTID_1, AREA, ZONE_TYP, LAST_ORD
[4843] SGID93.POLITICAL.VistaBallotAreas 4_data | pub=State of Utah | cols: PrecinctID, Shape_Area, VistaID, VersionNbr, OBJECTID, EffectiveDate, the_geom, Comments, Shape_Length, GlobalID
[4844] State Senate_data | pub=State of Utah | cols: Shape_Length, the_geom, COLOR4, Shape_Area, DIST, OBJECTID
[4845] live_parcel_polygon | pub=State of Utah | cols: SHAPE_Area, GLOBALID, Parcel ID Number, TRAVNUM, UNIT, CREATED_DATE, the_geom, SOURCE, LAST_EDITED_DATE, CREATED_USER
[4846] Entertainment Venues | pub=State of Utah | cols: Needed_Fire_Flow, RuleID_50, Ht_by, Shape.area, CATEGORY, Sources, RuleID_80, the_geom, Ownership_Type, NAME
[4847] Outfall | pub=State of Utah | cols: Location, Receiving_Waters, OBJECTID, MaintSched, Pipe Material, GPS Date, last_edited_date, Type, Pipe_Size, Structural Condition Rating
[4848] NPL Sites | pub=State of Utah | cols: CITY, RPM, AREA_SQMI, Shape_Leng, SITE__DESC, CERCLA_ID, Shape_Area, OBJECTID, SITE__DE_1, ZIP_CODE
[4850] Cemetery.PARKS.Cem_Sections | pub=State of Utah | cols: Section, Shape.len, OBJECTID, the_geom, Shape.area
[4851] White Background | pub=State of Utah | cols: the_geom, SHAPE_Area, SHAPE_Length, OBJECTID
[4852] Cemeteries | pub=State of Utah | cols: Owner, City, HECTARES, Shape.area, Acres, Shape.len, Number_of_Burials, First_Burial, Phone, the_geom
[4853] Wild Scenic River Status | pub=State of Utah | cols: OFFICIALACRES, COMMENTS, OBJECTID, WILDSCENICRIVERSTATUSID, the_geom, ACTIONDATE, LOCALCASEID, BOUNDARYSTATUS, BLM_SERIALNO_EXT, AREANAME
[4854] Public_Works_Areas | pub=State of Utah | cols: the_geom, SYMBOL, AREA_NUM, DATE, PAGE, OBJECTID, Shape.len, Shape.area
[4855] CountyRoads_RRAMS_CurYear~1K | pub=State of Utah | cols: Total Condition Index, Right Shoulder Paved, Safety Condition Index, Asph/Chip: Raveling Severity_2, Danger Zone Condition, Grav/Dirt: Washout Density, Asph/Chip: Tranverse Crack Severity, Concrete: Cracked Panels (Meander Cracks) Density_2, Grav/Dirt: Upheaval Severity, Concrete: Cracked Panels (Meander Cracks) Density
[4856] Parcels | pub=State of Utah | cols: tax_class1, Tax_District_2022, total_sq_ft, HouseNum, Wildland_Interface, Subdivision, Section_, year_built, own_zip_four, neighborhood_code
[4857] Parcels | pub=State of Utah | cols: the_geom, prop_location, own_addr, last_vesting, own_country_code, Shape.STArea(), Legal_Description, Floodplain, Historic_Tiers, Sensitive_Overlay
[4858] Fiber Box | pub=State of Utah | cols: MATERIAL, MANUFACTURER, the_geom, NAME, last_edited_date, OBJECTID, GlobalID, last_edited_user, created_date, created_user
[4861] Subdivision | pub=State of Utah | cols: Last_Action, Acres, Final_Approval, SLCO_Rec_Numb, the_geom, IsCorrect, Easements_Digitized, Rectified, SLCO_Book_Page, Year_
[4862] Garbage Can | pub=State of Utah | cols: Enclosure, Address, AssetID, the_geom, Size(gal), Type, Location, OBJECTID
[4863] SGID93.POLITICAL.VistaBallotAreas_Proposed_data | pub=State of Utah | cols: EffectiveDate, OBJECTID, AliasName, VistaID, Comments, VersionNbr, RcvdDate, Shape_Length, SubPrecinctID, Shape_Area
[4864] Code Inspection Districts | pub=State of Utah | cols: Officer_Name, Id, the_geom, Commercial_Business, Businesses, Temporary_Permit, General_Contractor_Business, Sub_contractor, Households, OBJECTID
[4865] Concrete Locations | pub=State of Utah | cols: Short List Start Date, LastInspFY, PSCond, GrindingUpdate, Short List 4in Sidewalk (SF), CGCond, FrogCond, the_geom, Contractor_Comments, Short List Remove Stumps
[4867] live_parcel_polygon | pub=State of Utah | cols: SOURCE, UNIT, the_geom, OBJECTID, SHAPE_Area, LOT, CREATED_USER, CREATED_DATE, Parcel ID Number, Book & Page
[4868] Horizontal_04152015 | pub=State of Utah | cols: COORDS_BHL, LEASE_NUM, DIRECTIONA, LEASE_TYPE, CONF_FLAG, the_geom, TOTAL_CUM1, WELL_TYPE_, ORIG_TD, ALT_ADDRES
[4869] BLM National Conservation Areas_data | pub=State of Utah | cols: GlobalID, OBJECTID, NCA_NAME, the_geom
[4870] Hospitals_data | pub=State of Utah | cols: LONG_, TEACH_NON_, CONTACT, FACILITY, OBJECTID, FAX, the_geom, ADDRESS, PHONE, CITY
[4871] Bulk Waste Areas | pub=State of Utah | desc: Notes:3/4/2014 - Edited P.W. Area 1 boundary to include 11451 S, 11467 S & 2960 E Oberland Rd. These properties are not in Sandy but they do have a Sandy Garbage account. Paul and Rick discussed this  | cols: SYMBOL, Shape.STArea(), AREA_NUM, Shape.STLength(), OBJECTID, DATE, the_geom
[4872] Sandy Plow Roads | pub=State of Utah | cols: BWAREA, Shape.len, OBJECTID, the_geom
[4873] BLM Congressionally Designated Wilderness_data | pub=State of Utah | cols: Label_Federal, Tribe, Label_State, UTAH BLM LEGEND, the_geom, ADMIN, OBJECTID, OWNER AGENCY, DESIG, COUNTY
[4874] CountyRoads_RRAMS~1k | pub=State of Utah | cols: Asph/Chip: Slippage (Peeling) Crack Density, Grav/Dirt: Lateral Erosion Density, Action Needed, ROW Width, Asph/Chip: Bleeding (Excess asphalt/binder) Density, Grav/Dirt: Sink Hole Severity, Fatal Accidents In 3 Years, Horizontal Alignment, Concrete: Joint Seal Damage Severity, Safety Condition Index
[4875] Metro Township/City Districts | pub=State of Utah | cols: Shape_Area, SQUARE_M, NAME, the_geom, SHAPE_Leng, Shape_STAr, Shape_STLe, Shape_Length, OBJECTID, TYPE
[4877] Railroads | pub=State of Utah | cols: CLASS, the_geom, OBJECTID, SHAPE.STLength()
[4878] CountyRoads_RRAMS~.5k | pub=State of Utah | cols: Asph/Chip: Edge Crack Density, Grav/Dirt: Upheaval Severity, Avg PCI for Project ID, Avg Condition for Project ID, Owned By, Project Length, Concrete: Lane/Shoulder Separation Severity, Surface Thickness, Right ROW Type, Total Recreational Accesses
