[5218] Hospital | pub=State of Utah | cols: the_geom, Latitude, Address, HAS_FOOTPRINT, OBJECTID, NAME, Longitude, CATEGORY, TYPE
[5219] Bridge - UDOT | pub=State of Utah | desc: UDOT bridges | cols: Inspection, Bridge ID, the_geom, State or Local, Waterway, Condition, Notes, OBJECTID, GlobalID, Longitude
[5222] Waterway Inspections | pub=State of Utah | cols: last_edited_date, Condition, Work Completed By, Work Completion Date, InspectionDate, Location Notes, Work Notes, Associated Waterway, created_date, Condition Updated?
[5223] State Parks_data | pub=State of Utah | cols: NAME, OBJECTID, the_geom, TYPE
[5224] Pipe | pub=State of Utah | cols: Shape.len, Id, OBJECTID, the_geom
[5225] GolfCourses | pub=State of Utah | desc: GolfCourses | cols: County, Holes, Shape__Length, Shape__Area, NAME, City, OBJECTID, the_geom, Par, Type
[5226] CountyRoads_RRAMS~2k | pub=State of Utah | cols: Concrete: Pop Outs Density, Total Recreational Accesses, Asph/Chip: Raveling Density, Asph/Chip: Longitudinal (Seam) Cracking Density, Asph/Chip: Bleeding (Excess asphalt/binder) Density, Concrete: Lane/Shoulder Separation Severity, Asph/Chip: Pot Hole Severity, Concrete: Patched Panels (Pot Holes) Density, Grav/Dirt: Longitudinal Erosion Severity, Road Structure Thickness
[5227] SITLA.PUB.Development_Lots_Subdivision_data | pub=State of Utah | cols: OBJECTID, lot_descr, leasegis, sufix, the_geom, GlobalID, sold_status_descr, customer_name, nbr, certificate_dt
[5230] Storm Drain Pipe | pub=State of Utah | cols: VerifiedDate, PIPE_TYPE, Crit_Loc, Crit_Irr, MaintSched, Total_Score, Cond_Material, InspectionZone, FacilityID, the_geom
[5231] Trees | pub=State of Utah | cols: AssetID, Disease_Biotic, Pruning_Date, Height, Pruning_Needs, Photo, Hazard, ADDRESS, Collection_date, OBJECTID
[5232] Multi-Family Buildings | pub=State of Utah | cols: SHAPE_Area, OBJECTID, the_geom, Color, Name, Type, SHAPE_Length
[5233] Junction Boxes | pub=State of Utah | cols: PERIMETER, the_geom, last_edited_user, created_user, AREA, OBJECTID, GlobalID, last_edited_date, created_date
[5234] Municipalities_data | pub=State of Utah | cols: GLOBALID, CREATED_DATE, OBJECTID, ACRES, LAST_EDITED_USER, SHAPE.STArea(), SHAPE.STLength(), NAME, the_geom, CREATED_USER
[5235] Salem Zoning | pub=State of Utah | cols: CREATEDON, the_geom, SOURCEFEATUREID, ZONEDESC, ISVISIBLE, LASTUPDATE, OBJECTID, ZONECLASS, SALEM ZONE LABEL, DOCUMENT YEAR
[5236] County_Council_2 | pub=State of Utah | cols: Shape_STAr, Shape_STLe, WEBSITE, Shape_Area, EMAIL, Shape_Length, NAME, OBJECTID, OBJECTID_1, Picture
[5237] Drinking Water Source Protection Zone 2 | pub=State of Utah | cols: Figure_No, OBJECTID_1, Name, OBJECTID, LAYER, UHDID, LABEL, SOWN, GIS_ID, Well_No
[5238] Wells Points | pub=State of Utah | cols: SCALE, POLYGONID, Status, ANGLE, AncillaryRole, last_edited_date, created_date, NAME, the_geom, created_user
[5240] LiDAR_Extents_data | pub=State of Utah | cols: LYR_File, Description, Horizontal_Accuracy, Upload_Date, Estimated_Date, SHOW, Total_Size, METADATA, REST_Endpoint, SHAPE_Length
[5241] Inlet | pub=State of Utah | cols: ACTIVE, InvertNum, PROJECT, Frame and Grate, created_user, last_edited_user, OBJECTID, DATEINSTALLED, Comments, GlobalID
[5242] Lakes_data | pub=State of Utah | cols: OBJECTID, LAKE_NAME, ACRES, the_geom
[5243] SITLA Active Contracts - All_data | pub=State of Utah | cols: begindt, app_descr, SHAPE.STLength(), GlobalID, lseacres, expireyy, OBJECTID, Label, primary_term, class
[5244] CountyRoads_RRAMS~4k | pub=State of Utah | cols: Accident Rating, Grav/Dirt: Sink Hole Severity, Grav/Dirt: Pot Hole Severity, Last Editor, Asph/Chip: Depression (Birth baths) Density, D Road ID, Asph/Chip: Excavation Failure Severity, Asph/Chip: Raveling Density, Horizontal Alignment, Access Point Condition
[5245] State Roads | pub=State of Utah | cols: STREET, Lcitycd, EXCLUDE, M_DATE, toright, S_DATE, UNIQUE_ID, ALT_NAME, COMMENTS, the_geom
