[5357] Buildings maintained by Facilities | pub=State of Utah | cols: Fire_Alarm_Model_Number, Fire_Alarm_Brand, Chiller_Efficiency, Cam_System_Camera_Megapixel, Second_Floor_Square_Footage, Third_Floor_Square_Footage, Boiler_Brand, Building_Controls_Software, Generator_Volts, Chiller_Installed_By
[5358] Code Compliance Areas_data | pub=State of Utah | cols: Zone, Id, OBJECTID, Shape_Area, the_geom, Shape_Length, PHONE, Officer
[5359] Elder Care_data | pub=State of Utah | cols: CITY, PHONE, ADDRESS, OBJECTID, CONT_NAME, STATE, TYPE, the_geom, NAME, ZIPCODE
[5361] Mosquito Customer ID | pub=State of Utah | cols: Mosquito Customer ID, LAST_EDITED_USER, CREATED_USER, COMMENTS, Email, LAST_EDITED_DATE, the_geom, OBJECTID, Last Name, Y Lat
[5363] DRG250K_Collared_data | pub=State of Utah | cols: SIZE, the_geom, TILE, SHAPE_Length, OBJECTID, SHAPE_Area, EXT, PATH
[5364] Water Improvement Districts | pub=State of Utah | cols: NAME2, EMERGENCY_, CITY, PHONE, Shape_Length, CONTACT, Shape_Area, the_geom, WTR_DIST_I, ADDRESS
[5365] Mileposts_data | pub=State of Utah | cols: CARTO, OBJECTID, XCOORD, RT_DIR, YCOORD, MP, the_geom, LABEL, RT_TYPE, RT_NAME
[5366] Roads not Plowed by Sandy | pub=State of Utah | cols: DATA_DATE, fromright, S_NAME, SPEED_LIMIT, ACS_ALIAS, ALT_NAME, the_geom, Shape.STLength(), STREET, FS_ZONE
[5367] Floor Drain Pipes | pub=State of Utah | cols: GlobalID, OBJECTID, last_edited_user, created_date, Shape.len, last_edited_date, created_user, the_geom
[5368] Waterbodies_1K | pub=State of Utah | desc: Polygon features representing waterbodies. | cols: Elevation, DATASOURCENAME, CREATED_USER, Last Editor, Waterbody Type, Name, Waterbody Type_2, CREATED_DATE, SHAPE_Area, Area in Acres
[5370] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Last Amount, Y Lat, LAST_EDITED_DATE, Culex erythrothorax, LOCATION, CREATED_USER, GLOBALID, Culiseta inornata, the_geom, TRAP_NUM
[5371] Capture Zone 3 (3 Year) | pub=State of Utah | cols: LABEL, the_geom, OBJECTID, UHDID, LAYER
[5374] Borders | pub=State of Utah | cols: Label, Shape.area, OBJECTID, Shape.len, City, Sq_Miles, the_geom
[5376] Boosters | pub=State of Utah | cols: Enabled, created_user, H_POWER, EASTING, created_date, FACILITYID, OBJECTID, PWTYPE, GlobalID, FLOW__GPM_
[5378] Workforce Services Performance Outcome Measures ALL | pub=State of Utah | cols: pm_name, pm_entrytarget, pm_entryvalue, pm_entryannotations, pm_format, pm_entryFY, pm_description
[5379] Aqueduct Air Vent | pub=State of Utah | cols: GlobalID, the_geom, OBJECTID
[5381] SITLA Blocks_data | pub=State of Utah | cols: New_Block_Id, the_geom, GIS_Acres, OBJECTID, GlobalID
[5384] Environmental Risk Water Points_data | pub=State of Utah | cols: SOURCE, STATUS, VAL, SUMMARY_ST, MapQual, the_geom, BUFF_DIST, WRLINK, Shape_Area, USES
[5385] Backflow Preventers | pub=State of Utah | cols: FacilityType, InspectionMonthDue, Status, created_date, Size, DegreeOfHazard, City, OwnerOfAssembly, Model, OBJECTID
