[5613] LiDAR2016_50cm_FORGE_DSM_Tiles_data | pub=State of Utah | cols: SHAPE_Length, SHAPE_Area, the_geom, TILE, PATH, SIZE, OBJECTID, EXT
[5614] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: LOCATION, OBJECTID, Ochlerotatus nigromaculis, Last Catch Date, Culiseta inornata, Comments, LAST_EDITED_DATE, Trap Name, Culiseta incidens, Ochlerotatus campestris
[5616] Cemeteries | pub=State of Utah | cols: First_Burial, Shape.len, ACRES, City, NAME, OBJECTID, Shape.area, Owner, Phone, HECTARES
[5617] LiDAR2011_1m_OgdenValley_DEM_Tiles_data | pub=State of Utah | cols: EXT, PATH, METADATA, Shape_Length, DATE, Shape_Area, SIZE, WORLDFILE, the_geom, OBJECTID
[5618] GeoSketch_Line | pub=State of Utah | cols: last_edited_user, GlobalID, created_user, last_edited_date, Description, User Name, SHAPE.STLength(), created_date, Time Stamp, Color
[5619] Roads | pub=State of Utah | cols: Edit Comments, Road Class, Zip on Left, Cul de sac, Zip on Right, CREATED_USER, CenterlineID, OBJECTID, In Water, Road Type
[5620] Wilderness | pub=State of Utah | cols: the_geom, AREAID, BOUNDARYSTATUS, Wilderness Name, WID, OBJECTID
[5621] Sandy Plow Roads | pub=State of Utah | cols: the_geom, Shape.len, OBJECTID, BWAREA
[5623] Plat Hook~.5K | pub=State of Utah | cols: the_geom, ANGLE, GLOBALID, OBJECTID, SCALE
[5624] IDDE Response | pub=State of Utah | cols: FACILITYID, OBJECTID, created_user, Owner, the_geom, created_date, GlobalID, Site Contact, Receiving Waters, last_edited_user
[5626] Blocks | pub=State of Utah | cols: American Indian Tribal Subdivision (NS), Total population 18 years and over Population of five races: White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race, Total population 18 years and over: Not Hispanic or Latino: Population of six races, Metropolitan/Micropolitan Indicator, Total population 18 years and over: Not Hispanic or Latino: Population of two races: American Indian and Alaska Native; Asian, Summary Level, Percent Asian alone, not Hispanic or Latino, American Indian Area/Alaska Native Area/Hawaiian Home Land (NS), Total population 18 years and over: Not Hispanic or Latino: Population of three races: American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race, Alaska Native Regional Corporation (FIPS)
[5629] SITLA Active Sales Contracts (including Development Sales)_data | pub=State of Utah | cols: Contract_Action, class, process_status, app_con_lcd, lseacres, nbr, GlobalID, label, descr, customer_name
[5630] Schools | pub=State of Utah | cols: Sources, CATEGORY, Usage_Type, HT_Eaves_Ft, RuleID_50, DATE_UPDATED, HT_Assigned, RuleID_80, Shape.len, ID_NUMBER
[5631] Section_data | pub=State of Utah | cols: RANGE, TOWNSHIP, the_geom, RNUM, SECTION, TNUM, OBJECTID, SHAPE.STArea(), SHAPE.STLength()
[5632] Trails | pub=State of Utah | cols: Status, Length Units, Equestrian, Location, Shape_Length_1, Other Protections, Length Source, the_geom, On-Street Bike, AssetID
[5635] Police Station_data | pub=State of Utah | cols: Email, Comments, OBJECTID, Operational Hours, Phone, Feature Code, Website, Full Address, Contact Name, Operational Days
[5636] Orem Neighborhoods in Action | pub=State of Utah | cols: ChairAdd, Vice_Zip, URL, Secretary, Chairperson Phone, VChair_2, Neighborhood, Chairperson, OBJECTID, Vice_Add
[5637] Sub-watersheds | pub=State of Utah | cols: Shape.STArea(), OBJECTID, Shape.STLength(), Level_2_Name, the_geom
[5639] National Grassland | pub=State of Utah | cols: the_geom, Grassland Name, OBJECTID
[5640] Parcels > 5000_data | pub=State of Utah | cols: HouseNum, taxable_value, full_mkt_total_land, own_addr, multi_names, multi_structure, nbhrd_low_sale, num_housing_units, care_of, total_assessed
[5641] BLM Fires_data | pub=State of Utah | cols: cause, ProtectionType, organizati, state, subunit, firenumber, firename, sizeclass, firecode, speccause
[5642] Police Station | pub=State of Utah | cols: the_geom, NAME, Latitude, TYPE, HAS_FOOTPRINT, Address, OBJECTID, CATEGORY, Longitude
[5643] White Background_72K | pub=State of Utah | cols: the_geom, SHAPE_Area, OBJECTID, SHAPE_Length
[5644] Environmental Risk Lakes_data | pub=State of Utah | desc: 332 Meter Decision Ring | cols: IsMajor, FType_Text, BUFF_DIST, OBJECTID, FCode, GNIS_ID, AreaSqKm, ORIG_FID, FDate, GNIS_Name
[5645] LiDAR2006_2m_BareEarth_Tiles_data | pub=State of Utah | cols: EXT, WORLDFILE, SIZE, the_geom, METADATA, PATH, DATE, TILE, SHAPE_Length, OBJECTID
[5646] Subdivision Ownership_data | pub=State of Utah | cols: classvalue, Contract_Type, app_descr, lot_price, certificate_nbr, nbr, SHAPE.STArea(), patent_dt, the_geom, sufix
[5647] BLM Units_data | pub=State of Utah | cols: Comment, SHAPE.STLength(), AFSNUM, OBJECTID, LR2000 Serial Number, UNITNAME, Percent Non-Federal, COUNTY, SHAPE.STArea(), the_geom
[5648] Watercourses_data | pub=State of Utah | cols: VELOCITY, CST_MDL_ID, BFE_REVERT, DEPTH, SFHA_TF, HYDRO_ID, AR_REVERT, VEL_UNIT, FLD_ZONE, STATIC_BFE
[5650] Outdoor Pools | pub=State of Utah | cols: Dog_Park, Comp_Lap_Pool_5M_Indoor, Horse_Trails, Comp_Lap_Pool_25M_Outdoor, Shuffle_Board, Splash_Pad, Pickle_Ball, Water_Feature_Indoor, Frisbee_Golf_18_Holes, SEARCH
[5651] Garbage PickUp_data | pub=State of Utah | cols: the_geom, PickupDay, OBJECTID, Shape.area, GlobalID, Shape.len, Cartegraph_ID
[5652] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: CREATED_DATE, GLOBALID, Culex pipiens, LAST_EDITED_USER, Ochlerotatus nigromaculis, Last Amount, Culiseta incidens, Ochlerotatus dorsalis, Y Lat, X Long
[5653] Reducers | pub=State of Utah | cols: Enabled, ROTATION, created_date, last_edited_user, created_user, last_edited_date, GlobalID, OBJECTID, size_, the_geom
[5654] Sump | pub=State of Utah | cols: FEATURE_ID, ID, OBJID, OWNERSHIP, PROJECT, PIPE_TYPE, DATEINSTALLED, PWTYPE, TRAPDEPTH, INVERT1
[5655] LiDAR2017_100cm_WashingtonCo_DSM_Tiles_data | pub=State of Utah | cols: PATH, SHAPE_Length, SIZE, TILE, OBJECTID, SHAPE_Area, EXT, the_geom
[5656] Laterals | pub=State of Utah | cols: OBJECTID, Shape.STLength(), Enabled, last_edited_user, created_user, LINE_TYPE, CONST_STATUS, last_edited_date, the_geom, FACILITYID
[5660] Earthquake Ground Shaking MMI - Anderson_data | pub=State of Utah | cols: OBJECTID, SHAPE_Area, GRID_CODE, SHAPE_Length, the_geom
[5661] SD Drainage Area AsBuilt | pub=State of Utah | cols: SHAPE.STArea(), pweng.SLCOEN.sd_drainageArea_AsBuilt.area, OBJECTID, date, SHAPE.STLength(), the_geom
[5662] Railroads | pub=State of Utah | cols: OBJECTID, CLASS, the_geom, SHAPE.STLength()
[5663] OilGasWells | pub=State of Utah | cols: LeaseNumbe, OrigComplD, UnitName, TotCum_Wat, TotCum_Gas, TotCum_Oil, WellType, AbandonDat, ConfRelDat, LeaseType
[5664] SGID93.CADASTRE.Parcels_Grand_data | pub=State of Utah | cols: Parcel Year, FIPS, PARCEL_CITY, County Parcel Website, Shape_Area, OWN_TYPE, the_geom, Parcels Received, PARCEL_ID, PARCEL_ZIP
[5665] CommunityCenter_data | pub=State of Utah | cols: Location Type, Phone, Operational Days, Full Address, Capture Method, Description, State Name, the_geom, OBJECTID, Name of Facility
[5666] Roads not Plowed by Sandy | pub=State of Utah | cols: fromright, S_ROW, ONE_WAY, Lcitycd, LABEL, toleft, ACS_ALIAS, S_ACCESS, ALT_NAME, MAINTENANCE
[5668] Recycling Location_data | pub=State of Utah | cols: Description, Owner Name, Feature Code, State Name, Municipality Name, Facility Identifier, OBJECTID, Website, Contact Name, Operational Days
[5669] Dambreaks BOR Flaming Gorge_data | pub=State of Utah | cols: the_geom, NAME, Shape_Area, Shape_Length, TYPE, SHAPE_Leng, AREA_SQMI, OBJECTID
[5670] UDOTMileposts | pub=State of Utah | cols: YCOORD, FID, LABEL, RT_NAME, MP, XCOORD, RT_TYPE, RT_DIR, CARTO, the_geom
