[5867] LiDAR2006_1m_FirstReturn_Tiles_data | pub=State of Utah | cols: OBJECTID, SHAPE_Length, SIZE, PATH, EXT, WORLDFILE, METADATA, the_geom, SHAPE_Area, TILE
[5868] Street Pavement Segments_data | pub=State of Utah | cols: outsideSJC, last_edited_user, Shape_Length, Ownership, last_OCI, Category, created_user, Street, Alias, CL_UniqueID
[5869] FEMA Flood Hazard_data | pub=State of Utah | cols: SHAPE_LE_1, FLD_AR_ID, FLD_ZONE, AR_REVERT, FLOODWAY, OBJECTID, BFE_REVERT, CST_MDL_ID, SFHA_TF, STATIC_BFE
[5870] MayTaxParcels | pub=State of Utah | cols: SQUAREFEET, SUB_NAME, LASTEDITOR, SERIAL_NUM, Book & Page, SUB_PLAT, SHAPE_Area, GLOBALID, LASTUPDATE, TRAVNUM
[5871] Tanks | pub=State of Utah | cols: TANK_NAME, MGCAPACITY, ELEV_BOTTOM, FEATURE_ID, last_edited_date, created_date, CAPACITY, OVER_DEPTH, ZONE, SHAPE.STArea()
[5872] Trail_.5K | pub=State of Utah | cols: Trail Map App, GWT, the_geom, Managed By, LAST_EDITED_DATE, Show in Atlas, BONNEVILLE, Cycling Allowed, Facility Identifier, Motorcycling Allowed
[5873] Census2000blk | pub=State of Utah | cols: POP00, OBJECTID, GlobalID, Shape_Length, ID, FIPSSTCO, STFID, Shape_Area, BLOCK2000, the_geom
[5874] Wells Points | pub=State of Utah | cols: CONST_STATUS, last_edited_user, Enabled, WELLS_, AncillaryRole, ANGLE, AREA, PERIMETER, SCALE, POLYGONID
[5875] Watercourses_data | pub=State of Utah | cols: DRAIN_, the_geom, WB_COM_ID, RCH_COM_ID, COM_ID, SHAPE.STLength(), NAME, METERS, TYPE, OBJECTID
[5876] FUTURE_LAND_USE_15_data | pub=State of Utah | cols: COMMENTS, LANDUSE_ID, created_user_2, DENSITY, OBJECTID, GlobalID, CALC_ACRES, last_edited_date, RES_NUMBER, Shape.STLength()
[5877] Jordan Canal | pub=State of Utah | cols: FNODE_, Link, LPOLY_, the_geom, CONTACT, IRR_DITCH1, Project, Owner, Size, NAME
[5878] Waterways | pub=State of Utah | cols: InPark, the_geom, OBJECTID, Municipality, NAME, CLASS, CLASS___TYPE, CHANNEL_TYPE, Shape.len
[5879] Welby Riverton Canal | pub=State of Utah | cols: OBJECTID, Shape_Length, FeatId1, the_geom, LAYER, Name
[5880] Parcels | pub=State of Utah | cols: Garbage, own_country_code, nbrhd_av_home_sf, Range, tax_rate, RECORDER_DATA_AS_OF, Property_Type_Desc, exempt_type, Legal_Description, multi_names
[5881] Misc | pub=State of Utah | cols: OBJECTID, Comment, AssetID, the_geom, Item, Address, Location
[5882] Storm SCADA | pub=State of Utah | cols: FacilityID, NORTHING, OBJECTID, Stem Condition, the_geom, Last Inspection Date, last_edited_date, EASTING, created_date, Name
[5883] Fire hydrants | pub=State of Utah | cols: last_edited_date, PROVIDER, FIRE_INSP_DIST, the_geom, INSTDATE, Enabled, last_edited_user, INSPDATE, VTYPE, ACAD_ANGLE
[5884] Utah Valley Hospital Standard Costs 2023 | pub=State of Utah | cols: Cigna Healthcare HMO - Inpatient/Outpatient, Healthy Premier - University of Utah - Inpatient/Outpatient, Revenue Code, Cigna Healthcare OAP - Inpatient/Outpatient, Cigna Healthcare PPO - Inpatient/Outpatient, Humana One PPO - Inpatient/Outpatient, United Healthcare - Inpatient, Surest - UHC Choice Plus - Inpatient, HealthScope Benefits - UHC - Inpatient, UMR United Medical Resource Options PPO - Inpatient
[5885] Master_Address_Points | pub=State of Utah | cols: STREET_DIR, New_Municipality_Code, Building_Units, Zip_Four, Addy_ID, HSNO, Municipality_Code, Zip, IsRental, APT
[5886] Concrete_Locations | pub=State of Utah | cols: Short List Remove Stumps, GlobalID, Short List Waterway / Frog (SF), OBJECTID, Frogs, PSCond, Shape.STArea(), Bill - Raising, District, ADDRESS
[5887] Valve not found | pub=State of Utah | cols: last_edited_date, OBJECTID, created_user, GlobalID, last_edited_user, created_date, Valve id number, Enabled, the_geom
[5888] MayTaxParcels | pub=State of Utah | cols: Parcel ID Number, UNIT, LASTEDITOR, TRAVNUM, GB_ONLY, LAST_EDITED_USER, CREATED_DATE, TAX_YEAR, LAST_EDITED_DATE, CREATED_USER
[5889] Electric Generation_data | pub=State of Utah | cols: UTILNAME, the_geom, TOTALCAP, PHONE, CONTACT, OBJECTID, PLANTNAME
[5890] SGID93.CADASTRE.Parcels_Iron_data | pub=State of Utah | cols: OWN_TYPE, PARCEL_ID, Shape_Area, PARCEL_ADD, the_geom, PARCEL_ZIP, Parcels Current As Of, Shape_Length, Parcels Received, OBJECTID
[5891] TWS_UT_CoDissolve | pub=State of Utah | cols: SUM_ClpP_1, the_geom, SUM_ClpPop, Shape_Leng, OBJECTID_1, GeoID_Co, SUM_Clp_Sq, OBJECTID
[5893] GeoNotes | pub=State of Utah | cols: Date, GlobalID, last_edited_user, OBJECTID, created_date, Note, the_geom, created_user, last_edited_date
[5894] State School Board_data | pub=State of Utah | cols: Shape_Area, COLOR4, DIST, OBJECTID, Shape_Length, the_geom
[5896] SureSites_data | pub=State of Utah | cols: Electric Service, ZIP, Geo-Technical Assessment Available, Water, Broker Email, Broker Name, Cached Report JSON, Year Built, Natural Gas Service, Description
[5897] CountyRoads_RRAMS~.25k | pub=State of Utah | cols: Asph/Chip: Polished Aggregate Density, Concrete: Longitudinal Joint Spalling Density, Average Daily Traffic, Grav/Dirt: Density of Mud or Slipperiness, Asph/Chip: Tranverse Crack Density, Grav/Dirt: Corrugation (Wash Boarding) Severity, Asph/Chip: Corrugation Density, Drainage, Project Length, Shoulder Width Condition
[5898] Cities | pub=State of Utah | cols: Shape_STArea__, SQUARE_M, Shape_Length, OBJECTID, Shape_Area, the_geom, TYPE, LABEL, NAME, Shape_STLength__
[5899] Guardrails | pub=State of Utah | cols: Start Treatment, Owned By, LAST_EDITED_USER, CREATED_DATE, Pole Spacing, LAST_INSPECTED, AW, Install Date, the_geom, Managed By
[5900] Water Valves | pub=State of Utah | cols: Manufacture Date, Inspected By, Inspection Date, ELEVATION, EASTING, NORTHING, FACILITYID, INSTALL_DATE, Map NO., the_geom
[5903] Cemetery.PARKS.Cem_Sections | pub=State of Utah | cols: Section, the_geom, OBJECTID, Shape.area, Shape.len
[5905] Borders | pub=State of Utah | cols: Shape.len, Sq_Miles, OBJECTID, Shape.area, Label, City, the_geom
[5907] Borders | pub=State of Utah | cols: OBJECTID, Shape.len, Shape.area, Sq_Miles, the_geom, Label, City
[5908] GolfCourse_Pts_data | pub=State of Utah | cols: the_geom, OBJECTID, NAME
[5909] VistaBallotAreas_Proposed_data | pub=State of Utah | cols: SHAPE_Area, SHAPE_Length, the_geom, PrecinctID, Comments, EffectiveDate, AliasName, VersionNbr, SubPrecinctID, GlobalID
[5910] Canals and Rivers_data | pub=State of Utah | cols: Shape_Length, len, OBJECTID, MODIFIED_DATE, Cartegraph_ID, METHOD, LOCATION, Name, Type, SUBTYPE
[5911] sandy_tanks | pub=State of Utah | cols: GlobalID, TANK_NAME, FLOOR_EL, MAINT_TYPE, last_edited_user, DIMENSIONS, ZONE, created_date, LOCATION, GROUND_EL
[5912] Sandy Priority Roads | pub=State of Utah | cols: the_geom, OBJECTID, Shape.len
[5913] Washouts | pub=State of Utah | cols: the_geom, Enabled, sub type code, AncillaryRole, created_date, GlobalID, OBJECTID, last_edited_date, CONST_STATUS, created_user
[5914] Bridges | pub=State of Utah | cols: LAST_INSPECTED, ADDRESS, CREATED_DATE, STRUCTURE_NO, BRIDGEID, SEGMENTID, OBJECTID, LAST_EDITED_USER, CREATED_USER, PROJID
[5915] Pipes | pub=State of Utah | cols: the_geom, OBJECTID, FacilityID, PIPE_TYPE, IRRIGATION, PIPE_SIZE, GlobalID, INVERT_IN, INVERT_OUT, DIP_IN
[5916] TaxParcels_Test201Data | pub=State of Utah | cols: Residential Improvement Market Value, Tax District Description, Market Value Year Over Year Change, Vesting Document, Prop Type Use Description, Neighborhood LEA Code, CREATED_DATE, Total Previous Taxes Owed, GLOBALID, SHAPE_Area
[5917] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Ochlerotatus increpitus, LOCATION, Aedes vexans, TRAP_NUM, the_geom, CREATED_USER, CITY, LAST_EDITED_USER, LAST_EDITED_DATE, Ochlerotatus nigromaculis
[5918] Parcels < 5000_data | pub=State of Utah | cols: tax_class3, lot_use, own_apt_num, new_growth_value, multi_names, StreetName, HouseNum, nbhrd_av_sale, PreDir, nbhrd_high_sale
[5920] Communities | pub=State of Utah | cols: HOME_EMAIL, COMMUNITY_ID, LEADER_PHONE, HOME_PHONE2, OBJECTID, Shape.area, Updated_By, Unicorp_HH, Unicorp_Pop, Color
[5921] Borders | pub=State of Utah | cols: City, OBJECTID, Label, Shape.area, Sq_Miles, Shape.len, the_geom
[5922] GeoNotes | pub=State of Utah | cols: last_edited_date, OBJECTID, last_edited_user, created_user, the_geom, GlobalID, Note, created_date, Date
[5923] LiDAR2013_2014_50cm_WasatchFront_DTM_Tiles_data | pub=State of Utah | cols: EXT, OBJECTID, SIZE, the_geom, PATH, TILE, Shape_Area, Shape_Length
[5925] DWMRCLLRWUMillFacilities_data | pub=State of Utah | cols: CountyFIPS, TYPE, Facility City, EditedBy, Shape_Area, CITY, Facility ZIP, GlobalID, ADDRESS, CreatedOn
[5926] DAQAirMonitorByStation_data | pub=State of Utah | cols: StationAddress, StationName, ADDRESS, CITY, MapLabel, ENVIROAPPLABEL, NAME, TYPE, StationCity, ID
[5927] VistaBallotAreas_Proposed_data | pub=State of Utah | cols: Comments, PrecinctID, AliasName, SHAPE_Area, SubPrecinctID, CountyID, VistaID, VersionNbr, GlobalID, SHAPE_Length
[5929] Noxious Weeds_data | pub=State of Utah | cols: BIKE, URL, SHAPE.STLength(), HORSE, the_geom, SURFACE_TYPE, TRAIL_NAME, MILES, DESCRIPTION, MANAGEMENT
[5930] Waterway Inspections | pub=State of Utah | cols: Work Completion Date, GlobalID, Associated Waterway, ConditionNotes, last_edited_date, InspectionDate, Condition, Work Completed By, last_edited_user, OBJECTID
[5931] La Verkin_data | pub=State of Utah | cols: UPDATED, SOURCE, the_geom, GEN_ZONE, ZONINGCODE, SHAPE.STArea(), SHAPE.STLength(), OBJECTID, DESCRIPTION
[5932] Hike_data | pub=State of Utah | cols: BIKE_DIFFICULTY, ZONE, ADA_ACCESSIBLE, Recreation_Area, ROUTE_TYPE, MILES, URL, HISTORIC_SIGNIFICANCE, DESCRIPTION, Trail_Name
[5933] Railroads | pub=State of Utah | cols: the_geom, CLASS, OBJECTID, SHAPE.STLength()
[5934] Outfalls | pub=State of Utah | cols: Type, GPS Date, Pipe Material, Elevation, Location, Pipe_Size, Enabled, MaintRating, created_user, last_edited_date
[5935] Highway Shields_4K | pub=State of Utah | desc: Shields Designating Highways | cols: OBJECTID, GLOBALID, Source Feature ID, Data Source, Last Update Date, Last Editor, Edit Comments, CREATED_USER, CREATED_DATE, LAST_EDITED_USER
[5936] Plows | pub=State of Utah | cols: name, deviceId, OBJECTID, odometer, vin, speed, bearing, the_geom, serialNumber, isOn
[5937] DDWIrrigatedCropConsumptiveUseZones_data | pub=State of Utah | cols: ENVIROAPPSYMBOL, SHAPE_Area, TYPE, ADDRESS, NAME, ENVIROAPPLABEL, ID, CUZONE, OBJECTID, CITY
[5938] pubutils.PU.SampleTaps | pub=State of Utah | cols: Enabled, Location, OBJECTID, last_edited_date, last_edited_user, FACILITYID, created_date, created_user, the_geom, InstallDate
[5939] Home Businesses | pub=State of Utah | cols: Bus_Typ, Bus_Desc, Open_Dt, BillCycle, Appl_Dt, ACC, Address, ContactTel, Zip, Inspection_Date
[5940] Watercourses_data | pub=State of Utah | cols: OBJECTID, SHAPE.STArea(), AllotName, AllotNo, PastureNm, SHAPE.STLength(), Manager, the_geom
[5941] DWQMercuryInFishTissue_data | pub=State of Utah | cols: FISH_ADVIS, LONNAD83DD, MAX, TYPE, AVERAGE, MAPLABEL, ENVIROAPPLABEL, TYPE_2, the_geom, AVE_WEIGHT
