[5984] Railroads | pub=State of Utah | cols: SHAPE.STLength(), OBJECTID, the_geom, CLASS
[5985] Golf Course Labels | pub=State of Utah | cols: Indoor_Pavilion, YearOpen, Baseball_Lighting, Jogging_Path_Miles, Water_Outlets, AcreSource, State, Volleyball_Courts, ResPrtCmnt, DevSource
[5987] Trailheads_data | pub=State of Utah | cols: OBJECTID, the_geom, ID, SHAPE.STLength(), NAME, SHAPE.STArea()
[5988] Fixed Wireless_data | pub=State of Utah | cols: OBJECTID, Identifier, LastVerified, LastEdit, MAXADDOWN, Shape_Length, the_geom, MAXADUP, UTProvCode, Shape_Area
[5990] Mosq_Spots | pub=State of Utah | cols: Last Dip Count, the_geom, Water Source, District Number, C_TARSALIS, SHAPE.LEN, Last Spot Status, Last Technician Name, SHAPE.AREA, Lab Work Completed
[5991] Mosquito No Spray Areas | pub=State of Utah | cols: CITY, LAST_EDITED_USER, CREATED_USER, the_geom, SHAPE.AREA, SHAPE.LEN, CREATED_DATE, GLOBALID, LAST_EDITED_DATE, COMMENT
[5993] Roads | pub=State of Utah | cols: ADDR_QUAD, PREDIR, ONEWAY, ACCURACY, ACCESS, LOCALFUNC, ALIAS1TYPE, LOCALID, DOT_COFUND, ACSALIAS
[5995] Sections Annotation | pub=State of Utah | cols: Shape_Area, Shape_Leng, Shape_Le_1, OBJECTID_1, AREA_NUMBE, OBJECTID, Shape_Length, Section_Nu, TOWN_RANGE, TARGET_FID
[5996] Storm Inspection Zones | pub=State of Utah | cols: OBJECTID, PIPE_FT, created_date, last_edited_date, created_user, the_geom, ZONE, INLETS, GlobalID, last_edited_user
[5997] Transformers | pub=State of Utah | cols: PERIMETER, the_geom, last_edited_user, last_edited_date, created_date, OBJECTID, AREA, GlobalID, created_user
[5999] Immediate Action Needed | pub=State of Utah | cols: Date Resolved, Latitude, ACTIONSTATUS, Action Added By, Resolved By, Other Action Needed, Longitude, Work Order ID, Work Order Comments, Segment ID
[6000] Clayey Soil | pub=State of Utah | cols: MUKEY, OBJECTID, SSAID, TEXTURE, Shape.STLength(), Firstkey, MUSYM, FID, MUID, Shape_Le_1
[6001] Backflow Preventers | pub=State of Utah | cols: Zip, Facility Name, OBJECTID, FacilityType, the_geom, Facility_ID, OwnerOfAssembly, Manufacturer, created_date, City
[6002] Trail Head | pub=State of Utah | cols: Status, the_geom, OBJECTID, Brochure_ID, Maintenance, Elevation, Name, Address, Latitude, Longitude
[6003] Cemeteries | pub=State of Utah | cols: First_Burial, NAME, City, Phone, the_geom, OBJECTID, Shape.area, Owner, Shape.len, HECTARES
[6004] JC 100 Ft Buffer | pub=State of Utah | cols: IRR_DITCH1, Shape_Area, BUFF_DIST, Shape_Length, TYPE, TNODE_, Project, Enabled, Link, Location
[6005] Valves | pub=State of Utah | cols: Enabled, Inspection Date, ELEVATION, Land Ties, CONST_STATUS, Shut Down, LOCATION, Valve Manufacturer, DATE_COLLECTED, INSTALL_DATE
[6006] Waterways | pub=State of Utah | cols: CLASS, InPark, Shape.len, NAME, Municipality, OBJECTID, CLASS___TYPE, the_geom, CHANNEL_TYPE
[6007] State Roads | pub=State of Utah | cols: RZIP, Lcitycd, R_JURIS, PRE_DIR, L_JURIS, ACS_ALIAS, SOURCE, MAINTENANCE, Shape.STLength(), ALT_NAME
[6008] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Coquillettidia perturbans, CITY, Y Lat, Trap Type, Ochlerotatus campestris, Last Amount, Anopheles freeborni, Ochlerotatus nigromaculis, Culiseta inornata, Culex tarsalis
[6009] Pull Box | pub=State of Utah | cols: Location, OBJECTID, AssetID, Type, the_geom, Address, Ownership, Size
[6010] Blocks | pub=State of Utah | cols: Percent of Housing Units that are Occupied, Total population 18 years and over Population of five races: White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race, Population of four races: Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race, Non-Hispanic or Latino Population: Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race, Total population 18 years and over: Population of four races: American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race, Combined Statistical Area, Total population 18 years and over: Population of four races: Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race, Population of three races: American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race, Geographic Record Identifier, FIPS Alaska Native Regional Corporation Class Code
[6011] Fire Flow District | pub=State of Utah | cols: Shape_Area, SHAPE_LENG, Shape_Length, SPECIAL_RE, OBJECTID, the_geom
[6012] Separator | pub=State of Utah | cols: RuleID, INVERT1, NORTHING, Frame and Lid, ELEVATION, ACTIVE, INVERT4, INVERT_OUT, Comments, CONDITION
[6013] Railroads | pub=State of Utah | cols: OBJECTID, CLASS, SHAPE.STLength(), the_geom
[6015] Parks | pub=State of Utah | cols: Tennis_Courts, Restrooms, RefComment, Softball_Diamonds, StreetType, Parking_Stalls, County, AddedTrails, Address, Notes
[6016] Nickle Ditch Abandoned | pub=State of Utah | cols: created_user, OBJECTID, last_edited_user, NAME, HasAttachment, the_geom, SIZE, GlobalID, last_edited_date, created_date
[6017] September | pub=State of Utah | cols: VehicleId, VehicleName, the_geom, DataMonth, EndTime, Shape.STLength(), ArcMapStartTime, ArcMapEndTime, ColorCode, OBJECTID
