[6224] Parks | pub=State of Utah | cols: Jogging_Path_Miles, Basketball_Lighting, Soccer_Fields, Shape.len, Restrooms, ServicArea, OBJECTID, Indoor_Pavilion, Park_Acres, Tennis_Lighting
[6225] Picnic Table | pub=State of Utah | cols: AssetID, the_geom, OBJECTID, Material, ADA, Address, Size, Type, Location, Anchored
[6226] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Comments, Ochlerotatus campestris, LAST_EDITED_USER, Trap Type, Y Lat, Aedes vexans, Ochlerotatus nigromaculis, CREATED_USER, Culiseta inornata, OBJECTID
[6227] Township and Range Lines_data | pub=State of Utah | cols: area, the_geom, RANGE, BASEMERIDIAN, QNUM, OBJECTID, Shape.STArea(), STEWARD, LABEL, GCDBPLSSID
[6228] Sandy Plow Roads | pub=State of Utah | cols: OBJECTID, Shape.len, BWAREA, the_geom
[6229] Sump | pub=State of Utah | cols: EditNotes, INVERT1, INVERT4, INVERT_OUT, FEATURE_ID, the_geom, OilSeparator, CONDITION, OBJECTID, STATUS
[6230] Drain Valve | pub=State of Utah | cols: GlobalID, the_geom, OBJECTID
[6231] Water Service Area | pub=State of Utah | cols: ACRES, created_date, the_geom, created_user, OBJECTID, AGENCY, Shape.STArea(), GlobalID, Shape.STLength(), last_edited_user
[6232] UtahQualified | pub=State of Utah | cols: County, QOZ, State, Economic Development District, Tract, Per Capita Income ($), the_geom, Unemployment Rate (%), OBJECTID, Shape.STLength()
[6233] Quarter Quarter LABELS_data | pub=State of Utah | cols: GlobalID, the_geom, SECDIVTP, SECDIVNO, OBJECTID, ACRES, SECDIVTXT, SECDIVLAB, PLSSID, SECDIVSUF
[6234] DRG100K_Collared_data | pub=State of Utah | cols: SIZE, SHAPE_Area, the_geom, OBJECTID, SHAPE_Length, EXT, TILE, PATH
[6235] Overpressure Zone | pub=State of Utah | cols: Thickness, PSI, HEX_CODE, Shape_Leng, Shape_Length, Layer, Shape_Area, Elevation, OBJECTID, Linetype
[6236] Parks - Not managed by Sandy City | pub=State of Utah | cols: LWCFProt, OBJECTID, Jogging_Path_Miles, AcqSource, AcqComment, Baseball_Diamonds, Unit, Reservable, AcqMethod, Volleyball_Courts
[6237] Treatment 2021 | pub=State of Utah | cols: the_geom, Applicator, OBJECTID, Shape_Length, DateofApp, WeedSpecie, ID, Shape_Area, POLY_AREA
[6238] State Roads | pub=State of Utah | cols: S_TYPE, fromleft, ACS_SUFDIR, Shape.STLength(), L_JURIS, CARTO_CODE, VECCOMMENTS, ACS_STREET, LABEL, M_DATE
[6239] State | pub=State of Utah | cols: FS_ZONE, ALT_NAME, VECCOMMENTS, S_ACCUR, the_geom, S_ROW, S_DATE, CARTO_CODE, S_USE, EXCLUDE
[6242] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: LAST_EDITED_DATE, LAST_EDITED_USER, CREATED_USER, Last Amount, Last Catch Date, X Long, Culex erythrothorax, Ochlerotatus increpitus, Y Lat, Ochlerotatus dorsalis
[6243] BLM National Conservation Areas_data | pub=State of Utah | cols: NCA_NAME, the_geom, Shape.STArea(), OBJECTID, Shape.STLength(), GlobalID
[6244] Recycling Weeks | pub=State of Utah | cols: Shape.STLength(), the_geom, DAY_NAME, WEEKDAY, OBJECTID, Week, Color, Shape.STArea(), HomeCount
[6245] Roads not Plowed by Sandy | pub=State of Utah | cols: EXCLUDE, ONE_WAY, S_USE, toright, S_ROW, PRE_DIR, LZIP, S_ACCUR, DATA_EDITOR, ACS_STREET
[6246] Schools | pub=State of Utah | cols: Usage_Type, HT_Highest_Ft, HT_Sources, OBJECTID, CopyID, the_geom, Shape.area, RuleID_50, HT_Eaves_Ft, RuleID_80
[6247] Roads not Plowed by Sandy | pub=State of Utah | cols: ACS_STREET, DATA_EDITOR, M_DATE, OBJECTID, LS_ZONE, S_ROW, ACS_ALIAS, Shape.STLength(), LABEL, S_ACCUR
[6249] FiberRoutes | pub=State of Utah | cols: Label, ConduitSize, OBJECTID, GlobalID, Description, last_edited_date, created_user, created_date, the_geom, last_edited_user
[6250] Bunker | pub=State of Utah | cols: Address, Description, OBJECTID, Location, Area_Type, Shape_STLength__, Shape_STArea__, Shape.STArea(), Shape.STLength(), AssetID
[6251] Reducers | pub=State of Utah | cols: size_, created_date, GlobalID, last_edited_user, ROTATION, OBJECTID, Enabled, last_edited_date, the_geom, created_user
[6253] Points | pub=State of Utah | cols: Canopy Cover, Collector_Agency, Latitude, EditDate, Notes/Comments, Longitude, Ownership, CreationDate, OBJECTID, Weed_Scientific_Name
[6254] Irr Air Release | pub=State of Utah | cols: NORTHING, gps, OBJECTID, Id, the_geom, EASTING
[6256] Mosq_Spots YES-No | pub=State of Utah | cols: Last Technician Name, LAST_EDITED_USER, SHAPE.AREA, SHAPE.LEN, Last Inspection Date, Ochlerotatus fitchii, Chemical Amt in Ounces, Last Technician Comments, Chemical Amt in lbs, OBJECTID
[6257] Transformers | pub=State of Utah | cols: the_geom, last_edited_date, created_user, PERIMETER, created_date, AREA, OBJECTID, last_edited_user
[6259] Police Gate Locations | pub=State of Utah | cols: Name, Quadrant, Include_Checked, Access_Code, the_geom, Comments, Address, OBJECTID
[6261] TrailCrack_Points | pub=State of Utah | cols: Status, the_geom, Crack Height, Crack Width, Last Fixed Date, OBJECTID, GLOBALID, Last Inspection Date, Trail Section, Technician Name
[6262] Mosquito Customer ID | pub=State of Utah | cols: Email, CREATED_USER, OBJECTID, Y Lat, Phone Number, Street Name, COMMENTS, First Name, the_geom, POINT_X
[6263] Water Bodies | pub=State of Utah | cols: the_geom, NAME, OBJECTID
[6264] Railroads | pub=State of Utah | cols: CLASS, the_geom, OBJECTID, SHAPE.STLength()
[6266] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Last Amount, Last Catch Date, LOCATION, Anopheles freeborni, CITY, Ochlerotatus increpitus, Aedes vexans, Culex tarsalis, CREATED_DATE, Ochlerotatus campestris
[6267] Continent | pub=State of Utah | cols: Shape_Area, SQMI, SQKM, OBJECTID, CONTINENT, Shape_Length, the_geom
[6268] Food Pantries | pub=State of Utah | cols: Zip_Code, Status, F8, Addr_type, ARC_Street, Loc_name, Side, User_fld, Match_addr, Ymax
[6269] MAIN.parcel_polygon | pub=State of Utah | cols: Parcel ID Number, SHAPE.AREA, DUPS, GLOBALID, CREATED_USER, SOURCE, SHAPE.LEN, TRAVNUM, CREATED_DATE, ROAD_OR_OTHER
[6270] Railroads | pub=State of Utah | cols: the_geom, OBJECTID, CLASS, Shape.STLength()
[6271] Pump Station | pub=State of Utah | cols: the_geom, Enabled, AncillaryRole, ZONES, CONST_STATUS, GlobalID, LOCATION, created_user, FEATURE_ID, PWTYPE
[6272] Sandy Plow Roads | pub=State of Utah | cols: the_geom, OBJECTID, Shape.len, BWAREA
[6273] Sandy Irrigation Abandoned | pub=State of Utah | cols: NAME, Shape.len, HasAttachment, OBJECTID, last_edited_user, the_geom, created_user, last_edited_date, created_date, GlobalID
[6274] Outfalls | pub=State of Utah | cols: created_date, FacilityID, last_edited_date, GlobalID, Location, Last Inspection Date, the_geom, Enabled, MaintSched, GPS Date
[6275] Jordan and Salt Lake Canal | pub=State of Utah | cols: HasAttachment, GlobalID, Shape.len, created_date, NAME, SIZE, the_geom, last_edited_user, OBJECTID, last_edited_date
[6276] Mosquito Customer ID | pub=State of Utah | cols: LAST_EDITED_DATE, OBJECTID_2, GLOBALID, Y Lat, GlobalID, OBJECTID, Time Start, Request Status, Last Name, Customer Comments
[6278] FiberRoutes | pub=State of Utah | cols: ConduitSize, the_geom, OBJECTID, Description, last_edited_date, created_date, Label, SHAPE.len, last_edited_user, GlobalID
[6279] Detention Ponds | pub=State of Utah | cols: MaintSched, SpillwaySinkHoles, Detention or Retention, MaintRating, OWNERSHIP, created_date, the_geom, FloorBench, Last Inspection Date, SpillwayGopher
[6280] Laterals | pub=State of Utah | cols: Shape.STLength(), created_user, FACILITYID, GlobalID, YEAR_, Enabled, last_edited_user, sub type code, LINE_TYPE, created_date
[6281] Elementary Schools | pub=State of Utah | cols: SCHOOL_DIS, GlobalID, TYPE, SCHOOLS_ID, OBJECTID, the_geom, SHORT_NAME, NAME, ADDRESS
[6283] State Roads | pub=State of Utah | cols: PRE_DIR, R_JURIS, CFCC, Lcitycd, L_JURIS, RZIP, the_geom, CARTO_CODE, EXCLUDE, ALT_NAME
[6285] Heber Valley Hospital Standard Costs 2023 | pub=State of Utah | cols: Description, Cash Price, HealthScope Benefits - UHC - Inpatient, UMR United Healthcare Options PPO - Inpatient, UMR United Medical Resource Options PPO - Inpatient, United Healthcare - Inpatient, Bill Item, Oxford Health - Inpatient, Medicaid SelectHealth Community Care - Inpatient, Aetna Global Benefits Standard Network - Inpatient/Outpatient
[6286] Distribution Main (Construction/Proposed) | pub=State of Utah | cols: GlobalID, last_edited_user, WATER_ENTITY, TracerWire, FACILITYID, created_user, DIAMETER, Shape.STLength(), YEAR_, last_edited_date
[6287] J Boxes | pub=State of Utah | cols: OBJECTID, PERIMETER, Ownership, AREA, the_geom, created_user, GPS Date, created_date, last_edited_user, last_edited_date
[6288] Curbs_AsBuilt | pub=State of Utah | cols: type, the_geom, date, SHAPE.STLength(), OBJECTID
