[1] ClinicalTrials.gov: Observational Studies | pub=NLM/NIH | desc: Observational Studies. Cohort, case-control, cross-sectional studies. ~95,000 studies. | cols: nctId, briefTitle, overallStatus, studyType, phase, conditions, interventions, startDate, primaryCompletionDate, enrollment | tags: clinical-trials, observational, nlm
[2] ClinicalTrials.gov: Expanded Access Programs | pub=NLM/NIH | desc: Expanded Access Programs. Compassionate use / expanded access for unapproved treatments. ~15,000 studies. | cols: nctId, briefTitle, overallStatus, studyType, phase, conditions, interventions, startDate, primaryCompletionDate, enrollment | tags: clinical-trials, expanded_access, nlm
[3] ClinicalTrials.gov: Cancer Studies | pub=NLM/NIH | desc: All clinical trials studying Cancer. Includes interventional, observational, and expanded access studies. | cols: nctId, briefTitle, overallStatus, studyType, phase, conditions, interventions, startDate, primaryCompletionDate, enrollment | tags: clinical-trials, cancer
[4] ClinicalTrials.gov: Diabetes Studies | pub=NLM/NIH | desc: All clinical trials studying Diabetes. Includes interventional, observational, and expanded access studies. | cols: nctId, briefTitle, overallStatus, studyType, phase, conditions, interventions, startDate, primaryCompletionDate, enrollment | tags: clinical-trials, diabetes
[5] ClinicalTrials.gov: COVID-19 Studies | pub=NLM/NIH | desc: All clinical trials studying COVID-19. Includes interventional, observational, and expanded access studies. | cols: nctId, briefTitle, overallStatus, studyType, phase, conditions, interventions, startDate, primaryCompletionDate, enrollment | tags: clinical-trials, covid-19
[8] ClinicalTrials.gov: Alzheimer Studies | pub=NLM/NIH | desc: All clinical trials studying Alzheimer. Includes interventional, observational, and expanded access studies. | cols: nctId, briefTitle, overallStatus, studyType, phase, conditions, interventions, startDate, primaryCompletionDate, enrollment | tags: clinical-trials, alzheimer
[9] ClinicalTrials.gov: HIV Studies | pub=NLM/NIH | desc: All clinical trials studying HIV. Includes interventional, observational, and expanded access studies. | cols: nctId, briefTitle, overallStatus, studyType, phase, conditions, interventions, startDate, primaryCompletionDate, enrollment | tags: clinical-trials, hiv
[10] ClinicalTrials.gov: Obesity Studies | pub=NLM/NIH | desc: All clinical trials studying Obesity. Includes interventional, observational, and expanded access studies. | cols: nctId, briefTitle, overallStatus, studyType, phase, conditions, interventions, startDate, primaryCompletionDate, enrollment | tags: clinical-trials, obesity
[11] ClinicalTrials.gov: Asthma Studies | pub=NLM/NIH | desc: All clinical trials studying Asthma. Includes interventional, observational, and expanded access studies. | cols: nctId, briefTitle, overallStatus, studyType, phase, conditions, interventions, startDate, primaryCompletionDate, enrollment | tags: clinical-trials, asthma
[13] ClinicalTrials.gov: Parkinson Studies | pub=NLM/NIH | desc: All clinical trials studying Parkinson. Includes interventional, observational, and expanded access studies. | cols: nctId, briefTitle, overallStatus, studyType, phase, conditions, interventions, startDate, primaryCompletionDate, enrollment | tags: clinical-trials, parkinson
[14] ClinicalTrials.gov: Stroke Studies | pub=NLM/NIH | desc: All clinical trials studying Stroke. Includes interventional, observational, and expanded access studies. | cols: nctId, briefTitle, overallStatus, studyType, phase, conditions, interventions, startDate, primaryCompletionDate, enrollment | tags: clinical-trials, stroke
[15] ClinicalTrials.gov: Arthritis Studies | pub=NLM/NIH | desc: All clinical trials studying Arthritis. Includes interventional, observational, and expanded access studies. | cols: nctId, briefTitle, overallStatus, studyType, phase, conditions, interventions, startDate, primaryCompletionDate, enrollment | tags: clinical-trials, arthritis
[16] ClinicalTrials.gov: Epilepsy Studies | pub=NLM/NIH | desc: All clinical trials studying Epilepsy. Includes interventional, observational, and expanded access studies. | cols: nctId, briefTitle, overallStatus, studyType, phase, conditions, interventions, startDate, primaryCompletionDate, enrollment | tags: clinical-trials, epilepsy
[17] ClinicalTrials.gov: COPD Studies | pub=NLM/NIH | desc: All clinical trials studying COPD. Includes interventional, observational, and expanded access studies. | cols: nctId, briefTitle, overallStatus, studyType, phase, conditions, interventions, startDate, primaryCompletionDate, enrollment | tags: clinical-trials, copd
[18] ClinicalTrials.gov: Hepatitis Studies | pub=NLM/NIH | desc: All clinical trials studying Hepatitis. Includes interventional, observational, and expanded access studies. | cols: nctId, briefTitle, overallStatus, studyType, phase, conditions, interventions, startDate, primaryCompletionDate, enrollment | tags: clinical-trials, hepatitis
