[0] Power density limit at 900 MHz (W/m^2) | pub=WHO | desc: Power density limit at 900 MHz (W/m^2) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1] Power frequency (Hz) | pub=WHO | desc: Power frequency (Hz) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[8] Electric field limit at 900 MHz (V/m) | pub=WHO | desc: Electric field limit at 900 MHz (V/m) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[9] Electric field (kV/m) | pub=WHO | desc: Electric field (kV/m) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[10] Power density limit at 1800 MHz (W/m^2) | pub=WHO | desc: Power density limit at 1800 MHz (W/m^2) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[11] Existence of standards | pub=WHO | desc: Existence of standards | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[16] Number of pharmaceutical technicians/assistants | pub=WHO | desc: Number of pharmaceutical technicians/assistants | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[17] Power density (W/m^2) | pub=WHO | desc: Power density (W/m^2) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[18] Specific absorption rate (SAR) (W/kg) | pub=WHO | desc: Specific absorption rate (SAR) (W/kg) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[19] Legislative status | pub=WHO | desc: Legislative status | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[20] Prevalence of overweight and obesity | pub=WHO | desc: Prevalence of overweight and obesity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[28] Number of traditional medicine practitioners | pub=WHO | desc: Number of traditional medicine practitioners | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[29] Number of medical assistants | pub=WHO | desc: Number of medical assistants | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
