[284] Contraceptive prevalence - modern methods (%) | pub=WHO | desc: Contraceptive prevalence - modern methods (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[285] ICT Development Index (IDI) | pub=WHO | desc: ICT Development Index (IDI) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[287] Lead attributable DALYs ('000) | pub=WHO | desc: Lead attributable DALYs ('000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[289] Laboratory | pub=WHO | desc: Laboratory | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[290] Food safety | pub=WHO | desc: Food safety | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[291] Radionuclear | pub=WHO | desc: Radionuclear | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[298] Human development index rank | pub=WHO | desc: Human development index rank | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[300] Number of reported cases of cholera | pub=WHO | desc: Number of reported cases of cholera | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[301] Number of under-five deaths | pub=WHO | desc: Number of under-five deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[302] Number of infant deaths | pub=WHO | desc: Number of infant deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[304] Number of laboratory scientists | pub=WHO | desc: Number of laboratory scientists | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[305] Number of dentists | pub=WHO | desc: Number of dentists | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[306] Number of personal care workers | pub=WHO | desc: Number of personal care workers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[309] Specialist medical practitioners (number) | pub=WHO | desc: Specialist medical practitioners (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[310] Nursing and midwifery personnel (per 10,000) | pub=WHO | desc: Nursing and midwifery personnel (per 10,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[311] Nursing personnel (number) | pub=WHO | desc: Nursing personnel (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[313] Community residential facilities (per 100,000) | pub=WHO | desc: Community residential facilities (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[315] Mental hospital admissions (per 100,000) | pub=WHO | desc: Mental hospital admissions (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[316] Outpatient visits (per 100,000) | pub=WHO | desc: Outpatient visits (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[320] Tx - person-years lived above age x | pub=WHO | desc: Tx - person-years lived above age x | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[321] ex - expectation of life at age x | pub=WHO | desc: ex - expectation of life at age x | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[322] Youth indicator 1 rate | pub=WHO | desc: Youth indicator 1 rate | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[326] Total density per 100 000 population: Health posts | pub=WHO | desc: Total density per 100 000 population: Health posts | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[330] Type of nomenclature system | pub=WHO | desc: Type of nomenclature system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[331] Use of nomenclature system | pub=WHO | desc: Use of nomenclature system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[335] Lead attributable deaths per 100'000 capita | pub=WHO | desc: Lead attributable deaths per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[336] Lead attributable DALYs per 100'000 capita | pub=WHO | desc: Lead attributable DALYs per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[339] Years of life lost (YLLs) due to leptospirosis | pub=WHO | desc: Years of life lost (YLLs) due to leptospirosis | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[340] nqx - probability of dying between ages x and x+n | pub=WHO | desc: nqx - probability of dying between ages x and x+n | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[341] lx - number of people left alive at age x | pub=WHO | desc: lx - number of people left alive at age x | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
