[527] Compliance of ban on advertising at point of sale | pub=WHO | desc: Compliance of ban on advertising at point of sale | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[529] Ban on advertising: Internet | pub=WHO | desc: Ban on advertising: Internet | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[533] Compliance with bans on direct advertising | pub=WHO | desc: Compliance with bans on direct advertising | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[534] Electric field (kV/m) | pub=WHO | desc: Electric field (kV/m) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[535] Electric field limit at 1800 MHz (V/m) | pub=WHO | desc: Electric field limit at 1800 MHz (V/m) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[541] Number of new G2D leprosy cases | pub=WHO | desc: Number of new G2D leprosy cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[543] Status of endemicity of Taenia solium | pub=WHO | desc: Status of endemicity of Taenia solium | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[546] Children aged <5 years stunted (%) | pub=WHO | desc: Children aged <5 years stunted (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[549] Educational attainment in prevention | pub=WHO | desc: Educational attainment in prevention | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[551] Continuing professional development in prevention | pub=WHO | desc: Continuing professional development in prevention | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[552] Educational attainment in treatment | pub=WHO | desc: Educational attainment in treatment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[558] Status of endemicity of onchocerciasis | pub=WHO | desc: Status of endemicity of onchocerciasis | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[560] Status of pinta endemicity | pub=WHO | desc: Status of pinta endemicity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[561] Reported number of human rabies deaths | pub=WHO | desc: Reported number of human rabies deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[562] Presence of porcine cysticercosis | pub=WHO | desc: Presence of porcine cysticercosis | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[570] Open access interventions for drugs | pub=WHO | desc: Open access interventions for drugs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[572] Postgraduate training programme in treatment | pub=WHO | desc: Postgraduate training programme in treatment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[573] Exclusive breastfeeding under 6 months (%) | pub=WHO | desc: Exclusive breastfeeding under 6 months (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[578] NGOs for alcohol use disorders | pub=WHO | desc: NGOs for alcohol use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[580] Self-help groups for substance use disorders | pub=WHO | desc: Self-help groups for substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[597] Employment services for drug use disorders | pub=WHO | desc: Employment services for drug use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[598] Open access interventions for alcohol | pub=WHO | desc: Open access interventions for alcohol | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[601] Harm reduction programmes for IDUs | pub=WHO | desc: Harm reduction programmes for IDUs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[603] Standards of care for health professionals | pub=WHO | desc: Standards of care for health professionals | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[604] Service delivery data collection for substance use | pub=WHO | desc: Service delivery data collection for substance use | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[610] Bupropion - place available | pub=WHO | desc: Bupropion - place available | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[614] Estimate of daily tobacco use prevalence (%) | pub=WHO | desc: Estimate of daily tobacco use prevalence (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[615] Daily tobacco smoking, crude adjusted | pub=WHO | desc: Daily tobacco smoking, crude adjusted | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[616] Monitoring tobacco use and prevention policies | pub=WHO | desc: Monitoring tobacco use and prevention policies | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[617] Adult survey age range - smokeless | pub=WHO | desc: Adult survey age range - smokeless | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[618] Adult smokeless tobacco use indicator definition | pub=WHO | desc: Adult smokeless tobacco use indicator definition | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[619] Youth smokeless tobacco use indicator definition | pub=WHO | desc: Youth smokeless tobacco use indicator definition | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[620] Name of survey of youth - smokeless | pub=WHO | desc: Name of survey of youth - smokeless | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[621] Year of survey of adults - smokeless | pub=WHO | desc: Year of survey of adults - smokeless | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[622] Name of survey of youth | pub=WHO | desc: Name of survey of youth | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[623] Representativeness of survey of adults | pub=WHO | desc: Representativeness of survey of adults | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[624] Estimated number of malaria cases | pub=WHO | desc: Estimated number of malaria cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
