[803] Bupropion - cost covered | pub=WHO | desc: Bupropion - cost covered | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[806] NGOs for drug use disorders | pub=WHO | desc: NGOs for drug use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[813] Decayed, missing, or filled teeth | pub=WHO | desc: Decayed, missing, or filled teeth | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[818] Hospice centre beds (per 10 000 population) | pub=WHO | desc: Hospice centre beds (per 10 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[824] Current health expenditure (CHE) per capita in US$ | pub=WHO | desc: Current health expenditure (CHE) per capita in US$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[832] Disability-adjusted life years (DALYs) | pub=WHO | desc: Disability-adjusted life years (DALYs) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[842] National smoking ban in PUBS AND BARS | pub=WHO | desc: National smoking ban in PUBS AND BARS | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[852] Subnational smoking bans - authority exists | pub=WHO | desc: Subnational smoking bans - authority exists | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[853] National smoking ban: FINES ON THE PATRON | pub=WHO | desc: National smoking ban: FINES ON THE PATRON | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[855] Comprehensive bans in place subnationally | pub=WHO | desc: Comprehensive bans in place subnationally | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[856] Care facilities [long-term care] | pub=WHO | desc: Care facilities [long-term care] | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[857] Adult day centres | pub=WHO | desc: Adult day centres | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[859] Adult day centre places (per 10,000 population) | pub=WHO | desc: Adult day centre places (per 10,000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[861] Years of life lost from mortality (YLLs) | pub=WHO | desc: Years of life lost from mortality (YLLs) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[864] Compliance of ban on smoking in UNIVERSITIES | pub=WHO | desc: Compliance of ban on smoking in UNIVERSITIES | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[865] National smoking ban in UNIVERSITIES | pub=WHO | desc: National smoking ban in UNIVERSITIES | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[866] Compliance of ban on smoking in RESTAURANTS | pub=WHO | desc: Compliance of ban on smoking in RESTAURANTS | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[867] National smoking ban in RESTAURANTS | pub=WHO | desc: National smoking ban in RESTAURANTS | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
