[1065] Off-premise sales restrictions on places | pub=WHO | desc: Off-premise sales restrictions on places | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1071] Annual tax revenues - year | pub=WHO | desc: Annual tax revenues - year | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1073] Annual tax revenues - tobacco products included | pub=WHO | desc: Annual tax revenues - tobacco products included | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1077] Number of registered vehicles | pub=WHO | desc: Number of registered vehicles | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1078] Restrictions on sponsorship of youth events | pub=WHO | desc: Restrictions on sponsorship of youth events | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1082] Applicability of seat-belt law to all occupants | pub=WHO | desc: Applicability of seat-belt law to all occupants | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1083] Existence of a national child-restraint law | pub=WHO | desc: Existence of a national child-restraint law | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1085] Law requires helmet to be fastened | pub=WHO | desc: Law requires helmet to be fastened | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1086] On-premise sales restrictions on hours | pub=WHO | desc: On-premise sales restrictions on hours | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1087] On-premise sales restrictions on places | pub=WHO | desc: On-premise sales restrictions on places | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1088] On-premise sales restrictions at specific events | pub=WHO | desc: On-premise sales restrictions at specific events | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1090] Restrictions on sponsorship of sporting events | pub=WHO | desc: Restrictions on sponsorship of sporting events | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1092] Mandatory preventive measures (new buildings) | pub=WHO | desc: Mandatory preventive measures (new buildings) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1093] Annual tax revenues - currency | pub=WHO | desc: Annual tax revenues - currency | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1095] Minimum legal drinking age | pub=WHO | desc: Minimum legal drinking age | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1096] Off-premise sales restrictions on days | pub=WHO | desc: Off-premise sales restrictions on days | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
