[1241] Lack of demand for eLearning programmes | pub=WHO | desc: Lack of demand for eLearning programmes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1242] Competing educational priorities | pub=WHO | desc: Competing educational priorities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1244] Competing health system priorities | pub=WHO | desc: Competing health system priorities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1246] Value-added tax (VAT) on alcohol (%) | pub=WHO | desc: Value-added tax (VAT) on alcohol (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1247] Awareness activities | pub=WHO | desc: Awareness activities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1248] National drinking guidelines | pub=WHO | desc: National drinking guidelines | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1249] Perceived trend in production | pub=WHO | desc: Perceived trend in production | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1250] Perceived trend in imports | pub=WHO | desc: Perceived trend in imports | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1259] Open access services for substance use disorders | pub=WHO | desc: Open access services for substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1260] Infrastructure | pub=WHO | desc: Infrastructure | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1261] Funding | pub=WHO | desc: Funding | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1262] Cost-effectiveness | pub=WHO | desc: Cost-effectiveness | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1263] Legal | pub=WHO | desc: Legal | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1264] Country has telehealth policy or strategy | pub=WHO | desc: Country has telehealth policy or strategy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1267] Improving access to content and experts | pub=WHO | desc: Improving access to content and experts | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1271] Lack of infrastructure | pub=WHO | desc: Lack of infrastructure | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1272] Lack of capacity | pub=WHO | desc: Lack of capacity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1273] Lack of funding | pub=WHO | desc: Lack of funding | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1274] lack of evidence showing effectiveness of EHR | pub=WHO | desc: lack of evidence showing effectiveness of EHR | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1275] Lack of evidence showing cost-effectiveness or EHR | pub=WHO | desc: Lack of evidence showing cost-effectiveness or EHR | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1277] On-premise sales restrictions on outlet density | pub=WHO | desc: On-premise sales restrictions on outlet density | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1278] On-premise sales restrictions on outlet density | pub=WHO | desc: On-premise sales restrictions on outlet density | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1282] Income level | pub=WHO | desc: Income level | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1283] Existence of a national seat-belt law | pub=WHO | desc: Existence of a national seat-belt law | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1284] Seat-belt wearing rate (%) | pub=WHO | desc: Seat-belt wearing rate (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1285] On-premise sales restrictions at specific events | pub=WHO | desc: On-premise sales restrictions at specific events | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1286] Restrictions on sponsorship of sporting events | pub=WHO | desc: Restrictions on sponsorship of sporting events | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1287] Restrictions on sponsorship of youth events | pub=WHO | desc: Restrictions on sponsorship of youth events | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1289] Licence required for retail sales | pub=WHO | desc: Licence required for retail sales | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1294] Gross national income per capita (Atlas method) | pub=WHO | desc: Gross national income per capita (Atlas method) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1303] Registration of medications for opioid dependence | pub=WHO | desc: Registration of medications for opioid dependence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1304] Sector for outpatient treatment of drug dependence | pub=WHO | desc: Sector for outpatient treatment of drug dependence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1307] Treatment system for substance use disorders | pub=WHO | desc: Treatment system for substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1309] Pharmacotherapy with methadone | pub=WHO | desc: Pharmacotherapy with methadone | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1310] Access restrictions to maintenance treatment | pub=WHO | desc: Access restrictions to maintenance treatment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1312] Framework of national alcohol policy | pub=WHO | desc: Framework of national alcohol policy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1314] Age limits off-premise sales | pub=WHO | desc: Age limits off-premise sales | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1316] System for monitoring alcohol-related harm | pub=WHO | desc: System for monitoring alcohol-related harm | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1320] Capacity building required for new skills | pub=WHO | desc: Capacity building required for new skills | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1321] Advertising restrictions on social media | pub=WHO | desc: Advertising restrictions on social media | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1322] Advertising restrictions on social media | pub=WHO | desc: Advertising restrictions on social media | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1323] Government support for community action | pub=WHO | desc: Government support for community action | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1324] Penalties for drink driving | pub=WHO | desc: Penalties for drink driving | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1325] Price measures | pub=WHO | desc: Price measures | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1328] Registration of medications for opioid withdrawal | pub=WHO | desc: Registration of medications for opioid withdrawal | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1330] Availability of naloxone | pub=WHO | desc: Availability of naloxone | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1334] Level of adoption of national alcohol policy | pub=WHO | desc: Level of adoption of national alcohol policy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1341] Server training on a regular basis | pub=WHO | desc: Server training on a regular basis | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1344] Privacy and security laws need to be in place | pub=WHO | desc: Privacy and security laws need to be in place | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1346] Restrictions on product placement in films/movies | pub=WHO | desc: Restrictions on product placement in films/movies | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1351] Sectors represented in national alcohol policy | pub=WHO | desc: Sectors represented in national alcohol policy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1353] National surveys on drink-driving | pub=WHO | desc: National surveys on drink-driving | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1355] Restrictions on product placement in films/movies | pub=WHO | desc: Restrictions on product placement in films/movies | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1370] Excise tax on alcoholic beverages | pub=WHO | desc: Excise tax on alcoholic beverages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1371] Restrictions on alcohol use in public places | pub=WHO | desc: Restrictions on alcohol use in public places | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1372] Health warning labels on alcohol containers | pub=WHO | desc: Health warning labels on alcohol containers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1373] Government support for community action | pub=WHO | desc: Government support for community action | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1376] Penalties for drink driving | pub=WHO | desc: Penalties for drink driving | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1377] Penalties for marketing infringements | pub=WHO | desc: Penalties for marketing infringements | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1378] Awareness activities | pub=WHO | desc: Awareness activities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1379] Information, education, prevention | pub=WHO | desc: Information, education, prevention | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1380] Surveys, research | pub=WHO | desc: Surveys, research | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1381] Production in 1000s hectolitres | pub=WHO | desc: Production in 1000s hectolitres | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1382] Sales of wine in 1000s hectolitres | pub=WHO | desc: Sales of wine in 1000s hectolitres | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1383] Sales of spirits in 1000s hectolitres | pub=WHO | desc: Sales of spirits in 1000s hectolitres | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1390] Bupropion - place available | pub=WHO | desc: Bupropion - place available | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1394] Bupropion - legally sold | pub=WHO | desc: Bupropion - legally sold | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1395] Varenicline - place available | pub=WHO | desc: Varenicline - place available | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1404] Access to a toll-free quit line | pub=WHO | desc: Access to a toll-free quit line | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1407] Nicotine replacement therapy - legally sold | pub=WHO | desc: Nicotine replacement therapy - legally sold | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1408] Nicotine replacement therapy - place available | pub=WHO | desc: Nicotine replacement therapy - place available | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1411] Prevention programmes for alcohol | pub=WHO | desc: Prevention programmes for alcohol | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1414] Commencement of treatment with opioid agonists | pub=WHO | desc: Commencement of treatment with opioid agonists | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1417] Self-help groups | pub=WHO | desc: Self-help groups | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1418] Main substance at treatment entry | pub=WHO | desc: Main substance at treatment entry | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1420] Pharmacotherapy with buprenorphine | pub=WHO | desc: Pharmacotherapy with buprenorphine | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1421] Pharmacotherapy with buprenorphine/naloxone | pub=WHO | desc: Pharmacotherapy with buprenorphine/naloxone | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1425] Framework of national alcohol policy | pub=WHO | desc: Framework of national alcohol policy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1426] Level of adoption of national alcohol policy | pub=WHO | desc: Level of adoption of national alcohol policy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1427] Sectors represented in national alcohol policy | pub=WHO | desc: Sectors represented in national alcohol policy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1430] Age limits off-premise sales | pub=WHO | desc: Age limits off-premise sales | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1432] Country has national EHR | pub=WHO | desc: Country has national EHR | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1434] Lack of infrastructure | pub=WHO | desc: Lack of infrastructure | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1439] Special housing services for drug use disorders | pub=WHO | desc: Special housing services for drug use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1443] Prevention programmes for drugs | pub=WHO | desc: Prevention programmes for drugs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1445] Special treatment programmes for gambling disorder | pub=WHO | desc: Special treatment programmes for gambling disorder | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1449] Civil registration coverage of cause-of-death (%) | pub=WHO | desc: Civil registration coverage of cause-of-death (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1459] Representativeness of youth survey | pub=WHO | desc: Representativeness of youth survey | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1462] Deaths attributable to the environment (%) | pub=WHO | desc: Deaths attributable to the environment (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1463] Index of Essential Service Coverage (Actual) | pub=WHO | desc: Index of Essential Service Coverage (Actual) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1464] Employment services for alcohol use disorders | pub=WHO | desc: Employment services for alcohol use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1467] Repeating interval for survey of youth (years) | pub=WHO | desc: Repeating interval for survey of youth (years) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1476] Japanese encephalitis - number of reported cases | pub=WHO | desc: Japanese encephalitis - number of reported cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1477] Number of new leprosy cases | pub=WHO | desc: Number of new leprosy cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1478] Poliomyelitis - number of reported cases | pub=WHO | desc: Poliomyelitis - number of reported cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1479] Number of reported cases of tuberculosis | pub=WHO | desc: Number of reported cases of tuberculosis | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1480] Mumps - number of reported cases | pub=WHO | desc: Mumps - number of reported cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1481] Sobriety checkpoints | pub=WHO | desc: Sobriety checkpoints | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1482] Sobriety checkpoints | pub=WHO | desc: Sobriety checkpoints | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1483] Detection of marketing infringements | pub=WHO | desc: Detection of marketing infringements | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
